Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-12-04,0.121808998286724,0.1248729974031448,0.1180730015039444,0.1203709989786148,36033594.0,[],[],[]
2022-12-11,0.1203590035438537,0.1374190002679824,0.1201440021395683,0.1326459944248199,95756684.0,[],[],[]
2022-12-18,0.1326169967651367,0.1443420052528381,0.1305689960718155,0.1398410052061081,93254958.0,[],[],[]
2022-12-25,0.1398140043020248,0.1524080038070678,0.1346510052680969,0.1519650071859359,41536289.0,[],[],[]
2023-01-01,0.1519680023193359,0.1651259958744049,0.1418910026550293,0.1572349965572357,163994942.0,[],[],[]
2023-01-08,0.1572879999876022,0.1760710030794143,0.1556469947099685,0.1667760014533996,93615679.0,[],[],[]
2023-01-15,0.1667760014533996,0.1869290024042129,0.1663579940795898,0.185712993144989,71344940.0,[],[],[]
2023-01-22,0.1856060028076172,0.1888220012187957,0.1736799925565719,0.1809020042419433,64063189.0,[],[],[]
2023-01-29,0.1808989942073822,0.221557006239891,0.1752399951219558,0.1887969970703125,171749466.0,[],[],[]
2023-02-05,0.1888010054826736,0.213469997048378,0.1752839982509613,0.1942840069532394,89594528.0,[],[],[]
2023-02-12,0.1943569928407669,0.2413900047540664,0.1895850002765655,0.2169640064239502,220796864.0,[],[],[]
2023-02-19,0.2168940007686615,0.2435420006513595,0.2168850004673004,0.2408159971237182,142132127.0,[],[],[]
2023-02-26,0.2408760040998459,0.3290160000324249,0.2371139973402023,0.2827759981155395,372103856.0,[],[],[]
2023-03-05,0.2826949954032898,0.3149119913578033,0.2679849863052368,0.2839590013027191,249640709.0,[],[],[]
2023-03-12,0.2838430106639862,0.3327890038490295,0.2700499892234802,0.321954995393753,251993747.0,[],[],[]
2023-03-19,0.3220080137252807,0.3715260028839111,0.3039050102233886,0.3100819885730743,185633708.0,[],[],[]
2023-03-26,0.3100700080394745,0.3197709918022156,0.2989419996738434,0.3064050078392029,128759797.0,[],[],[]
2023-04-02,0.3063699901103973,0.357342004776001,0.2884899973869324,0.3000580072402954,311610626.0,[],[],[]
2023-04-09,0.3000479936599731,0.3342519998550415,0.2965770065784454,0.3124229907989502,131438694.0,[],[],[]
2023-04-16,0.3124440014362335,0.3302429914474487,0.3059220016002655,0.3199819922447204,77422558.0,[],[],['shooting_star']
2023-04-23,0.3199639916419983,0.3202579915523529,0.2907499969005584,0.2937580049037933,47836836.0,[],[],[]
2023-04-30,0.2937839925289154,0.3012369871139526,0.2796379923820495,0.2901119887828827,56266716.0,[],[],[]
2023-05-07,0.2898660004138946,0.3064909875392914,0.2758859992027282,0.2911669909954071,50575286.0,[],[],[]
2023-05-14,0.2910639941692352,0.3030239939689636,0.2749919891357422,0.2828699946403503,55125726.0,[],[],[]
2023-05-21,0.2829490005970001,0.288085013628006,0.2744979858398437,0.2827619910240173,31405575.0,[],[],[]
2023-05-28,0.2827849984169006,0.2938869893550873,0.2763740122318268,0.2927489876747131,29318676.0,[],[],[]
2023-06-04,0.2927449941635132,0.3038530051708221,0.2879210114479065,0.3000009953975677,33199837.0,[],[],[]
2023-06-11,0.3000380098819732,0.3157120048999786,0.2646229863166809,0.2698389887809753,113733827.0,[],[],[]
2023-06-18,0.2698380053043365,0.2727890014648437,0.2526229918003082,0.2603980004787445,29124090.0,[],[],[]
2023-06-25,0.2603870034217834,0.2889460027217865,0.2532869875431061,0.280236005783081,35439549.0,[],[],[]
2023-07-02,0.2802540063858032,0.2805140018463135,0.2692550122737884,0.2761839926242828,32721538.0,[],[],[]
2023-07-09,0.2761360108852386,0.2890079915523529,0.2683730125427246,0.2721039950847626,41052102.0,[],[],[]
2023-07-16,0.2721120119094848,0.2996090054512024,0.2709130048751831,0.2858839929103851,51034105.0,[],[],[]
2023-07-23,0.2859039902687073,0.2874639928340912,0.2797429859638214,0.287211000919342,37809618.0,[],[],[]
2023-07-30,0.287106990814209,0.3068259954452514,0.2756089866161346,0.2822130024433136,114880239.0,[],[],[]
2023-08-06,0.2822059988975525,0.2899839878082275,0.2765310108661651,0.2795020043849945,43102757.0,[],[],[]
2023-08-13,0.2795079946517944,0.297461986541748,0.2777940034866333,0.2914130091667175,52105105.0,[],[],[]
2023-08-20,0.2913919985294342,0.3087750077247619,0.2704539895057678,0.2811439931392669,75611848.0,[],[],[]
2023-08-27,0.2811430096626282,0.3083660006523132,0.2762989997863769,0.2918919920921325,70205923.0,[],[],[]
2023-09-03,0.2918890118598938,0.3335680067539215,0.2913669943809509,0.3092580139636993,113009270.0,[],[],[]
2023-09-10,0.3092460036277771,0.3337920010089874,0.3033640086650848,0.3324959874153137,55281870.0,[],[],[]
2023-09-17,0.3325349986553192,0.4008449912071228,0.3232789933681488,0.4008449912071228,175827291.0,[],[],[]
2023-09-24,0.4007390141487121,0.4017490148544311,0.357912003993988,0.3673450052738189,142575653.0,[],[],[]
