Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-12-04,136.4365997314453,148.1871337890625,132.96115112304688,142.35516357421875,515339818.0,[],[],[]
2022-12-11,142.34292602539062,151.9121551513672,141.3232879638672,150.44447326660156,468638548.0,[],[],[]
2022-12-18,150.44564819335938,152.787841796875,138.76577758789062,144.34039306640625,547882262.0,[],[],[]
2022-12-25,144.34652709960938,148.7784423828125,140.0797576904297,145.2751007080078,402100122.0,[],[],[]
2023-01-01,145.25405883789062,148.9310302734375,143.8689422607422,148.57693481445312,394132493.0,[],[],[]
2023-01-08,148.58218383789062,158.63919067382812,147.6288604736328,155.6488037109375,475700320.0,[],[],[]
2023-01-15,155.65292358398438,187.20660400390625,155.3035125732422,174.0115203857422,799327322.0,[],[],[]
2023-01-22,174.15139770507812,181.88882446289065,156.98521423339844,177.02378845214844,665175263.0,[],[],[]
2023-01-29,177.0149688720703,186.7217254638672,166.4945526123047,186.2373046875,629905567.0,[],[],[]
2023-02-05,186.23504638671875,186.7347717285156,165.38729858398438,166.95095825195312,543132363.0,[],[],[]
2023-02-12,166.9086456298828,169.03517150878906,150.998291015625,159.3105926513672,615052892.0,[],[],[]
2023-02-19,159.34368896484375,166.83790588378906,153.88551330566406,161.98513793945312,646155973.0,[],[],[]
2023-02-26,162.11770629882812,168.87083435058594,145.71726989746094,151.3755340576172,537320759.0,[],[],[]
2023-03-05,151.38473510742188,153.59706115722656,141.26596069335938,149.53465270996094,467935102.0,[],[],[]
2023-03-12,149.5294952392578,154.82022094726562,132.24391174316406,150.90472412109375,605852958.0,[],[],[]
2023-03-19,150.9033203125,158.87579345703125,142.86151123046875,153.6919403076172,635923672.0,[],[],[]
2023-03-26,153.70663452148438,165.82986450195312,146.1460723876953,161.56651306152344,725041281.0,[],[],[]
2023-04-02,161.5683135986328,164.90203857421875,149.85133361816406,160.2241668701172,586788173.0,[],[],[]
2023-04-09,160.2176055908203,161.7454833984375,155.27049255371094,160.32949829101562,483918011.0,[],[],[]
2023-04-16,160.31692504882812,164.40631103515625,155.4890594482422,163.61671447753906,598389861.0,[],[],[]
2023-04-23,163.6291961669922,163.80203247070312,149.52389526367188,157.36422729492188,557996378.0,[],[],[]
2023-04-30,157.37718200683594,162.3941650390625,152.4699249267578,156.45655822753906,478914701.0,[],[],[]
2023-05-07,156.33668518066406,158.95046997070312,151.10205078125,157.0870361328125,387879825.0,[],[],[]
2023-05-14,157.04075622558594,157.6858367919922,150.26513671875,153.9666748046875,341498200.0,[],[],[]
2023-05-21,153.96359252929688,154.57623291015625,149.30206298828125,150.16659545898438,296552889.0,[],[],[]
2023-05-28,150.16278076171875,156.44223022460938,148.22862243652344,155.41477966308594,368821092.0,[],[],[]
2023-06-04,155.40525817871094,156.59332275390625,144.95272827148438,148.2159423828125,442242880.0,[],[],[]
2023-06-11,148.2042999267578,148.5238494873047,127.86848449707033,138.15882873535156,441157690.0,[],[],[]
2023-06-18,138.1248016357422,141.127685546875,131.52874755859375,137.25193786621094,444320846.0,[],[],[]
2023-06-25,137.26255798339844,166.26324462890625,136.2633514404297,163.44493103027344,569166389.0,[],[],[]
2023-07-02,163.42254638671875,170.6588592529297,158.7871551513672,168.60145568847656,545975714.0,[],[],[]
2023-07-09,168.6082305908203,172.1734161376953,161.89076232910156,165.8794403076172,477012425.0,[],[],[]
2023-07-16,165.89044189453125,167.64747619628906,156.5673828125,165.4209747314453,463652141.0,[],[],[]
2023-07-23,165.42906188964844,170.03273010253906,160.94570922851562,163.7012176513672,665377400.0,[],[],[]
2023-07-30,163.7126007080078,164.5501708984375,158.6033477783203,160.262451171875,625870757.0,[],[],[]
2023-08-06,160.27130126953125,163.42050170898438,157.3433380126953,159.62782287597656,605413785.0,[],[],[]
2023-08-13,159.6248779296875,160.62637329101562,154.4073028564453,158.22772216796875,576746972.0,[],[],[]
2023-08-20,158.22950744628906,159.7809295654297,137.67552185058594,147.29470825195312,531123681.0,[],[],[]
2023-08-27,147.2899932861328,149.75836181640625,135.8259735107422,145.36038208007812,489814528.0,[],[],[]
2023-09-03,145.35877990722656,148.3677215576172,139.1280975341797,140.83998107910156,510148773.0,[],[],[]
2023-09-10,140.84280395507812,144.1243438720703,137.6355438232422,142.89443969726562,364988698.0,[],[],[]
2023-09-17,142.89007568359375,149.1507110595703,138.17822265625,145.7978515625,337333930.0,[],[],[]
2023-09-24,145.79347229003906,148.548828125,141.68739318847656,143.7339324951172,279097203.0,[],[],[]
2023-10-01,143.73553466796875,149.75393676757812,143.15957641601562,149.16140747070312,321617627.0,[],[],[]
2023-10-08,149.1581573486328,156.48204040527344,145.16590881347656,156.19122314453125,397274044.0,[],[],[]
2023-10-15,156.1905517578125,156.19293212890625,150.97042846679688,152.44898986816406,358838743.0,[],[],[]
2023-10-22,152.43753051757812,160.01437377929688,147.0373992919922,158.96075439453125,417344437.0,[],[],[]
2023-10-29,158.3448944091797,174.38412475585938,154.74752807617188,174.354248046875,625236620.0,[],[],[]
2023-11-05,174.3228302001953,174.7447052001953,164.99859619140625,169.69207763671875,609883500.0,[],[],[]
2023-11-12,169.69207763671875,173.6302947998047,160.13787841796875,171.1243438720703,698617472.0,[],[],[]
2023-11-19,171.15109252929688,172.87876892089844,157.6798095703125,164.18600463867188,593700016.0,[],[],[]
2023-11-26,164.16246032714844,172.93093872070312,158.56297302246094,169.5430450439453,532576991.0,[],[],[]
2023-12-03,169.49754333496094,173.6656494140625,164.2759246826172,172.25978088378906,559142458.0,[],[],[]
2023-12-10,172.24636840820312,178.48928833007812,167.0401611328125,175.762451171875,702199948.0,[],[],[]
2023-12-17,175.77268981933594,176.44143676757812,164.73919677734375,167.79757690429688,688602821.0,[],[],[]
2023-12-24,167.8016815185547,179.0787353515625,166.5563507080078,171.4071807861328,672812352.0,[],[],[]
2023-12-31,171.41529846191406,180.38673400878903,162.79727172851562,165.02818298339844,700382732.0,[],[],[]
2024-01-07,165.02304077148438,174.19151306152344,145.55857849121094,146.12338256835938,827609840.0,[],[],[]
2024-01-14,146.125732421875,161.8675079345703,142.914794921875,154.16371154785156,792433932.0,[],[],[]
2024-01-21,154.1146697998047,163.77432250976562,150.15118408203125,157.4999542236328,677146598.0,[],[],[]
2024-01-28,157.54832458496094,162.2913055419922,146.60333251953125,160.75698852539062,497552774.0,[],[],[]
2024-02-04,160.7564697265625,171.89364624023438,158.4705810546875,165.7895965576172,545345485.0,[],[],[]
2024-02-11,165.79428100585938,167.88267517089844,101.13884735107422,120.61019897460938,991863121.0,['engulfing'],[],[]
2024-02-18,120.64617919921876,131.72084045410156,118.19176483154295,122.18738555908205,534308118.0,[],[],[]
2024-02-25,122.1759262084961,129.35189819335938,109.6147689819336,129.17430114746094,1087540987.0,[],[],[]
2024-03-03,129.17491149902344,151.74342346191406,128.42227172851562,150.08303833007812,446359602.0,[],[],[]
2024-03-10,150.55551147460938,151.53488159179688,134.51046752929688,146.60830688476562,488808246.0,[],[],[]
2024-03-17,146.6046142578125,151.05618286132812,135.0897216796875,140.99462890625,456195641.0,[],[],[]
2024-03-24,140.99462890625,144.3041534423828,128.61297607421875,141.8865966796875,358401187.0,[],[],[]
2024-03-31,141.8865966796875,143.6093292236328,126.79547882080078,128.2857666015625,388626386.0,[],[],[]
2024-04-07,128.28585815429688,135.30096435546875,117.0282974243164,131.3164825439453,363800739.0,[],[],[]
2024-04-14,131.3164825439453,139.79989624023438,105.426025390625,121.53353118896484,355351431.0,[],[],[]
2024-04-21,121.53353118896484,127.28872680664062,110.77342224121094,118.64810943603516,342463836.0,[],[],[]
2024-04-28,118.64129638671876,129.9467010498047,116.9643325805664,126.5915756225586,308230485.0,[],[],[]
2024-05-05,126.5915756225586,134.4983673095703,116.16317749023438,134.41847229003906,383621817.0,[],[],[]
2024-05-12,134.4181671142578,135.1270751953125,126.21971130371094,133.18690490722656,281966542.0,[],[],[]
2024-05-19,133.18690490722656,137.70480346679688,130.18487548828125,134.49465942382812,269187296.0,[],[],[]
2024-05-26,134.49465942382812,143.9115447998047,134.10719299316406,142.33709716796875,359885450.0,[],[],[]
2024-06-02,142.33709716796875,152.751953125,137.41883850097656,152.6875457763672,363189974.0,[],[],[]
2024-06-09,152.6875457763672,175.28504943847656,151.57630920410156,173.8992462158203,495390330.0,[],[],[]
2024-06-16,173.99375915527344,182.25440979003903,164.21377563476562,177.2930145263672,596385816.0,[],[],[]
2024-06-23,177.24685668945312,178.0352020263672,158.22979736328125,164.17977905273438,331489840.0,[],[],[]
2024-06-30,164.21803283691406,169.48956298828125,155.9952392578125,167.92013549804688,302408894.0,[],[],[]
2024-07-07,167.94606018066406,173.19979858398438,134.03652954101562,149.10812377929688,358597343.0,[],[],[]
2024-07-14,148.8394012451172,162.5828094482422,144.55477905273438,159.6997528076172,478222804.0,[],[],[]
2024-07-21,159.7585906982422,165.04495239257812,157.43019104003906,164.6875762939453,561183559.0,[],[],[]
2024-07-28,164.69775390625,175.38316345214844,152.15887451171875,164.43466186523438,708479525.0,[],[],[]
2024-08-04,164.43429565429688,165.6873779296875,141.51248168945312,150.46397399902344,700470696.0,[],[],[]
2024-08-11,150.46397399902344,159.21337890625,136.7563018798828,149.0154266357422,528603226.0,[],[],[]
2024-08-18,149.0154266357422,153.5124053955078,147.35540771484375,151.23391723632812,312364360.0,[],[],[]
2024-08-25,151.23391723632812,176.39035034179688,150.01332092285156,166.53488159179688,519476809.0,[],[],[]
2024-09-01,166.53488159179688,172.4048614501953,153.56044006347656,169.71270751953125,482831272.0,[],[],[]
2024-09-08,169.71270751953125,176.5746307373047,162.40977478027344,171.95692443847656,448196720.0,[],[],[]
2024-09-15,171.95692443847656,175.21853637695312,166.11131286621094,170.25546264648438,386608393.0,[],[],[]
2024-09-22,170.25546264648438,178.70289611816406,168.05255126953125,176.7974853515625,385711473.0,[],[],[]
2024-09-29,176.7974853515625,176.85025024414062,152.16806030273438,152.91757202148438,350545458.0,[],[],[]
2024-10-06,152.91757202148438,155.70614624023438,135.39588928222656,147.6326141357422,454905406.0,[],[],[]
2024-10-13,147.6326141357422,154.57180786132812,144.0194549560547,148.56869506835938,369297343.0,[],[],[]
