Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2017-03-05,117.49896446260219,120.9841032390353,115.1091406750757,119.88875579833984,1392332.0,[],[],[]
2017-03-12,121.4819667464801,133.44595711653562,118.49469851659349,132.03697204589844,1647813.0,[],[],[]
2017-03-19,133.53059493762711,138.4097698265865,128.95010462921317,136.3186798095703,3549371.0,[],[],[]
2017-03-26,134.42675770091836,137.41403038822003,122.97559653388129,125.46498107910156,1444894.0,[],[],[]
2017-04-02,120.98409584841113,126.9586191001845,117.49896859252185,120.4862060546875,1544137.0,[],[],[]
2017-04-09,123.47347869873046,123.47347869873046,109.03504162049025,110.7776107788086,1993547.0,[],[],[]
2017-04-16,115.25850379388066,118.48475244630357,109.53291937215441,116.50320434570312,1127327.0,[],[],[]
2017-04-23,113.76486835885555,124.96710676487871,112.5201761448637,122.47772216796876,1417423.0,[],[],[]
2017-04-30,122.47771545410157,127.45650211653388,120.48621655668806,124.96711730957033,1124175.0,[],[],[]
2017-05-07,126.46073059082032,127.20754592895508,121.48196497271137,122.97560119628906,1632471.0,[],[],[]
2017-05-14,121.4819735060755,127.456484375,120.98408806708551,123.47347259521484,1047351.0,[],[],[]
2017-05-21,126.46074944573479,131.93739356775814,121.48196357172458,127.954345703125,1007219.0,[],[],[]
2017-05-28,131.43948352383268,131.4395290261448,124.46922168397066,125.71394348144533,1397373.0,[],[],[]
2017-06-04,126.46073257056574,131.19057851983595,124.46922392357052,128.45225524902344,928363.0,[],[],[]
2017-06-11,129.44800916568252,139.90341447310013,126.46073468650623,136.91615295410156,2031549.0,[],[],[]
2017-06-18,136.41824589722546,159.0717080768786,134.426763275199,151.3546142578125,4126351.0,[],[],[]
2017-06-25,144.38429464913386,154.34184740410475,143.38852381015758,151.8524627685547,576320.0,[],[],[]
2017-07-02,149.1141622078519,151.3546087184874,140.15237774998468,142.1438751220703,814126.0,[],[],[]
2017-07-09,141.39705311168325,149.36305231608628,141.39702709584049,148.36734008789062,726937.0,[],[],[]
2017-07-16,147.869415179225,149.36304563558082,139.40553211030507,146.3758087158203,513769.0,[],[],[]
2017-07-23,148.36730307943824,149.04444134497157,141.39705843538852,146.87367248535156,1551667.0,[],[],[]
2017-07-30,144.38430076421693,156.33335726868873,144.13534548502327,151.3546142578125,1223332.0,[],[],[]
