Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-06-19,28.18000030517578,28.350000381469727,26.0,22.676408767700195,4036498,[],[],[]
2022-06-26,26.940000534057617,27.670000076293945,26.200000762939453,22.87073135375977,2049132,[],[],[]
2022-07-03,27.0,27.200000762939453,25.940000534057617,22.777793884277344,2891802,[],[],[]
2022-07-10,27.15999984741211,28.14999961853028,27.15999984741211,23.3861026763916,1653567,[],[],[]
2022-07-17,27.51000022888184,27.75,26.959999084472656,23.048154830932617,1255781,[],[],[]
2022-07-24,27.350000381469727,27.68000030517578,27.0,23.03970718383789,827672,[],[],[]
2022-07-31,27.520000457763672,27.57999992370605,26.76000022888184,22.83693504333496,868090,[],[],[]
2022-08-07,27.09000015258789,27.25,26.46999931335449,22.929874420166016,905299,[],[],[]
2022-08-14,27.209999084472656,28.1299991607666,26.81999969482422,23.42834854125977,782926,[],[],[]
2022-08-21,27.780000686645508,28.21999931335449,27.690000534057617,23.842334747314453,913011,[],[],[]
2022-08-28,28.21999931335449,28.520000457763672,27.420000076293945,23.16643714904785,1037816,[],[],[]
2022-09-04,27.13999938964844,28.0,26.489999771118164,23.09039688110352,1240207,[],[],[]
2022-09-11,27.049999237060547,30.90999984741211,26.920000076293945,25.363109588623047,1231265,[],[],[]
2022-09-18,30.1200008392334,30.549999237060547,28.96999931335449,25.684158325195312,1117017,[],[],[]
2022-09-25,30.280000686645508,30.39999961853028,28.959999084472656,24.46754264831543,1044902,[],[],[]
2022-10-02,28.799999237060547,29.14999961853028,20.979999542236328,20.00398063659668,3374616,[],[],[]
2022-10-09,22.1299991607666,23.030000686645508,21.81999969482422,19.42609024047852,2435307,[],[],[]
2022-10-16,21.799999237060547,22.89999961853028,21.540000915527344,20.119558334350582,1360997,[],[],[]
2022-10-23,22.6200008392334,23.489999771118164,22.459999084472656,20.75079727172852,1179815,[],[],[]
2022-10-30,23.5,24.6299991607666,22.729999542236328,21.48872184753418,982566,[],[],[]
2022-11-06,24.40999984741211,24.809999465942383,24.040000915527344,21.75543975830078,951674,[],[],[]
2022-11-13,24.950000762939453,26.34000015258789,24.89999961853028,23.364652633666992,850142,[],[],[]
2022-11-20,26.450000762939453,26.690000534057617,25.690000534057617,23.089040756225582,819893,[],[],[]
2022-11-27,25.959999084472656,26.1299991607666,25.25,23.053476333618164,751996,[],[],[]
2022-12-04,25.850000381469727,25.850000381469727,25.13999938964844,22.69785118103028,950440,[],[],[]
2022-12-11,25.350000381469727,25.450000762939453,24.229999542236328,21.693204879760746,1006129,[],[],[]
2022-12-18,24.31999969482422,24.34000015258789,19.709999084472656,18.32364654541016,3062300,[],[],[]
2022-12-25,20.809999465942383,21.790000915527344,20.690000534057617,19.274948120117188,1051563,[],[],[]
2023-01-01,21.850000381469727,21.8700008392334,21.100000381469727,18.937101364135746,528039,[],[],[]
2023-01-08,21.520000457763672,23.13999938964844,21.46999931335449,20.52853012084961,873461,[],[],[]
2023-01-15,23.190000534057617,24.13999938964844,22.989999771118164,21.328689575195312,1008700,[],[],[]
2023-01-22,23.989999771118164,24.520000457763672,23.86000061035156,21.737659454345703,991481,[],[],[]
2023-01-29,24.59000015258789,24.68000030517578,23.790000915527344,21.586519241333008,726565,[],[],[]
2023-02-05,24.520000457763672,25.100000381469727,24.020000457763672,22.208864212036133,702698,[],[],[]
2023-02-12,24.799999237060547,25.89999961853028,24.729999542236328,22.537818908691406,826467,[],[],[]
2023-02-19,25.299999237060547,26.450000762939453,25.1200008392334,23.471338272094727,638181,[],[],[]
2023-02-26,26.450000762939453,26.5,25.38999938964844,22.7423038482666,461530,[],[],[]
2023-03-05,25.600000381469727,26.170000076293945,25.309999465942383,22.875661849975582,548732,[],[],[]
2023-03-12,25.770000457763672,26.290000915527344,25.170000076293945,22.600053787231445,584246,[],[],[]
2023-03-19,25.34000015258789,26.100000381469727,24.84000015258789,22.466693878173828,1601413,[],[],[]
2023-03-26,25.049999237060547,28.440000534057617,24.64999961853028,23.009021759033203,1733475,[],[],[]
2023-04-02,26.06999969482422,26.979999542236328,25.520000457763672,23.933652877807617,532219,[],[],[]
2023-04-09,26.940000534057617,27.049999237060547,25.170000076293945,22.777868270874023,495247,[],[],[]
2023-04-16,25.709999084472656,25.93000030517578,25.020000457763672,22.27109909057617,344179,[],[],[]
2023-04-23,25.14999961853028,25.64999961853028,24.700000762939453,22.36000633239746,510170,[],[],[]
2023-04-30,25.040000915527344,25.5,24.950000762939453,22.36000633239746,528300,[],[],[]
2023-05-07,25.18000030517578,30.290000915527344,25.01000022888184,26.9298038482666,1433431,[],[],['shooting_star']
2023-05-14,30.15999984741211,30.6200008392334,29.6299991607666,26.947586059570312,758680,[],[],[]
2023-05-21,30.309999465942383,31.14999961853028,30.290000915527344,27.285430908203125,437725,[],[],[]
2023-05-28,30.780000686645508,31.040000915527344,29.979999542236328,27.49880790710449,507570,[],[],[]
2023-06-04,31.040000915527344,31.40999984741211,30.709999084472656,27.54326057434082,687881,[],[],[]
2023-06-11,30.959999084472656,31.25,30.780000686645508,27.5610408782959,473633,[],[],[]
2023-06-18,31.18000030517578,34.84000015258789,30.82999992370605,30.379375457763672,1100892,[],[],[]
2023-06-25,33.72999954223633,34.34000015258789,32.0099983215332,29.81926727294922,658406,[],[],[]
2023-07-02,33.540000915527344,34.59000015258789,33.5099983215332,30.36160087585449,570552,[],[],[]
2023-07-09,34.060001373291016,35.279998779296875,34.0099983215332,31.197322845458984,587077,[],[],[]
2023-07-16,34.959999084472656,35.86000061035156,34.959999084472656,31.57961654663086,472718,[],[],[]
2023-07-23,35.45000076293945,35.65999984741211,34.7599983215332,31.117307662963867,328876,[],[],[]
2023-07-30,34.939998626708984,35.349998474121094,34.77000045776367,31.117307662963867,336817,[],[],[]
2023-08-06,35.0,35.099998474121094,34.220001220703125,30.477174758911133,248272,[],[],[]
2023-08-13,34.20000076293945,35.06999969482422,33.95000076293945,30.743896484375,258057,[],[],[]
2023-08-20,34.52000045776367,35.560001373291016,34.52000045776367,31.286222457885746,228901,[],[],[]
2023-08-27,35.119998931884766,35.7400016784668,34.439998626708984,30.966163635253903,243062,[],[],[]
2023-09-03,34.900001525878906,35.43000030517578,34.79999923706055,31.010616302490234,215841,[],[],[]
2023-09-10,34.959999084472656,38.0,34.650001525878906,33.50889205932617,451102,[],[],[]
2023-09-17,37.61000061035156,38.06999969482422,35.90999984741211,32.4331169128418,568465,[],[],[]
2023-09-24,36.5,37.77000045776367,36.20000076293945,33.517784118652344,358738,[],[],[]
2023-10-01,37.84999847412109,41.619998931884766,36.93000030517578,37.14885711669922,1053824,[],[],[]
2023-10-08,40.869998931884766,41.22999954223633,39.84999847412109,36.27817916870117,520004,[],[],[]
2023-10-15,39.900001525878906,40.86000061035156,39.650001525878906,36.32352828979492,643641,[],[],[]
2023-10-22,40.20000076293945,41.209999084472656,39.869998931884766,36.1602783203125,698788,[],[],[]
