Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-08-13,252.8000030517578,255.3000030517578,251.8999938964844,250.1407012939453,289373,[],[],[]
2025-08-14,255.3000030517578,257.79998779296875,254.1999969482422,252.59786987304688,271183,[],[],[]
2025-08-15,258.20001220703125,259.1000061035156,255.1000061035156,251.81158447265625,256158,[],[],[]
2025-08-18,255.6999969482422,256.79998779296875,255.3999938964844,251.22186279296875,155421,[],[],[]
2025-08-19,255.6000061035156,256.1000061035156,253.1000061035156,250.53384399414065,248932,[],[],[]
2025-08-20,254.8000030517578,260.1000061035156,254.6999969482422,255.3498992919922,247802,[],[],[]
2025-08-21,259.79998779296875,259.8999938964844,256.1000061035156,253.7773284912109,164347,[],[],[]
2025-08-22,257.3999938964844,259.1000061035156,256.6000061035156,252.4995880126953,201609,[],[],[]
2025-08-25,254.8000030517578,258.29998779296875,254.5,253.2859039306641,128128,[],[],[]
2025-08-26,256.3999938964844,257.6000061035156,255.1000061035156,252.1064453125,281550,[],[],[]
2025-08-27,257.5,257.5,254.5,251.3201446533203,173447,[],[],[]
2025-08-28,256.1000061035156,256.5,252.1000061035156,249.3544006347656,184678,[],[],[]
2025-08-29,253.6999969482422,253.6999969482422,253.6999969482422,249.3544006347656,0,[],[],[]
2025-09-01,251.5,251.8999938964844,245.1999969482422,244.8332061767578,341959,[],[],[]
2025-09-02,248.1000061035156,248.6000061035156,244.0,240.01712036132807,301755,[],[],[]
2025-09-03,244.3000030517578,247.0,242.5,242.7691650390625,252492,[],[],[]
2025-09-04,247.0,247.6999969482422,246.0,242.57260131835935,180834,[],[],[]
2025-09-05,247.8000030517578,248.1999969482422,244.8999938964844,241.5897216796875,202643,[],[],[]
2025-09-08,246.1000061035156,248.8000030517578,245.3000030517578,243.1623077392578,155747,[],[],[]
2025-09-09,247.6999969482422,248.3000030517578,244.0,240.31198120117188,296015,[],[],[]
2025-09-10,244.5,244.5,244.5,240.31198120117188,0,[],[],[]
2025-09-11,241.5,243.3999938964844,239.3000030517578,236.47879028320312,319168,[],[],[]
2025-09-12,239.8000030517578,242.8000030517578,239.6999969482422,235.59420776367188,413988,[],[],[]
2025-09-15,241.0,241.6000061035156,238.1999969482422,234.31646728515625,239134,[],[],[]
2025-09-16,237.3000030517578,238.0,231.8999938964844,228.22267150878903,512821,[],[],[]
2025-09-17,232.3999938964844,232.8999938964844,230.3000030517578,226.84664916992188,366956,[],[],[]
2025-09-18,229.1999969482422,231.0,227.8000030517578,226.7483673095703,519389,[],[],[]
2025-09-19,230.3999938964844,231.1999969482422,225.6999969482422,222.62030029296875,999304,[],[],[]
2025-09-22,226.5,226.5,226.5,222.62030029296875,0,[],[],[]
2025-09-23,224.6000061035156,225.3000030517578,221.0,217.2145233154297,767454,[],[],[]
2025-09-24,220.3000030517578,221.8000030517578,219.3000030517578,217.50938415527344,406797,[],[],[]
2025-09-25,221.6000061035156,224.3999938964844,221.1999969482422,220.5562744140625,522132,[],[],[]
2025-09-26,225.5,225.5,222.0,220.2614288330078,327026,[],[],[]
2025-09-29,225.1000061035156,226.6999969482422,224.8000030517578,222.4237365722656,259706,[],[],[]
2025-09-30,226.3000030517578,226.3000030517578,226.3000030517578,222.4237365722656,0,[],[],[]
2025-10-01,228.0,228.6000061035156,226.8999938964844,223.0134429931641,347273,[],[],[]
2025-10-02,227.0,231.5,226.0,226.94493103027344,558449,[],[],[]
2025-10-03,231.3999938964844,231.3999938964844,225.3999938964844,222.71859741210935,301978,[],[],[]
2025-10-06,226.6000061035156,226.6000061035156,226.6000061035156,222.71859741210935,0,[],[],[]
2025-10-07,225.3000030517578,227.8000030517578,225.1999969482422,222.325439453125,238709,[],[],[]
2025-10-08,226.1999969482422,226.1999969482422,226.1999969482422,222.325439453125,0,[],[],[]
2025-10-09,226.1999969482422,226.1999969482422,226.1999969482422,222.325439453125,0,[],[],[]
2025-10-10,229.3999938964844,229.3999938964844,226.8999938964844,223.2100372314453,318191,[],[],[]
2025-10-13,228.1000061035156,231.3000030517578,225.8999938964844,224.48776245117188,334898,[],[],[]
2025-10-14,228.8000030517578,230.6000061035156,227.1000061035156,225.37234497070312,235161,[],[],[]
2025-10-15,227.6999969482422,228.1999969482422,224.6999969482422,221.5391387939453,246546,[],[],[]
2025-10-16,225.1000061035156,225.8000030517578,221.1999969482422,217.90252685546875,585391,[],[],[]
