Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2016-11-01,277.8999938964844,330.0,273.6000061035156,316.0,36263720.0,[],[],[]
2016-12-01,315.0,322.6000061035156,269.29998779296875,278.6000061035156,31576882.0,[],[],[]
2017-01-01,282.0,297.3999938964844,266.8399963378906,284.0,50127243.0,[],[],[]
2017-02-01,287.8999938964844,305.59600830078125,284.70001220703125,297.0,35457866.0,[],[],[]
2017-03-01,297.0,311.8999938964844,272.9679870605469,308.20001220703125,53403678.0,[],[],[]
2017-04-01,309.0,326.5,290.20001220703125,306.70001220703125,29269178.0,[],[],[]
2017-05-01,309.79998779296875,314.0,293.3999938964844,297.70001220703125,37794766.0,[],[],[]
2017-06-01,296.6000061035156,301.5,280.20001220703125,291.20001220703125,26507447.0,[],[],[]
2017-07-01,292.79998779296875,379.2999877929688,288.29998779296875,379.1000061035156,46063629.0,[],[],[]
2017-08-01,380.2000122070313,424.3999938964844,377.1000061035156,388.0,31200237.0,[],[],[]
2017-09-01,389.1000061035156,422.0,379.6000061035156,410.5,25502945.0,[],[],[]
2017-10-01,411.2000122070313,417.6000061035156,381.1000061035156,395.3999938964844,12536181.0,[],[],[]
2017-11-01,396.5,401.0,371.6650085449219,378.5,12297572.0,[],[],[]
2017-12-01,380.0,395.0,340.8999938964844,377.0,30713223.0,[],[],[]
2018-01-01,374.3999938964844,400.0,366.0,372.1000061035156,25078217.0,[],[],[]
2018-02-01,372.7999877929688,380.0,351.20001220703125,367.3999938964844,21079850.0,[],[],[]
2018-03-01,364.1000061035156,386.3999938964844,354.8999938964844,367.6000061035156,17609502.0,[],[],[]
2018-04-01,365.7000122070313,410.0,361.7999877929688,402.7999877929688,18273801.0,[],[],[]
2018-05-01,401.8999938964844,428.2000122070313,394.5,406.7000122070313,14824684.0,[],[],[]
2018-06-01,407.6000061035156,434.1000061035156,395.1000061035156,399.3999938964844,23642788.0,[],[],[]
2018-07-01,397.2000122070313,436.1000061035156,385.5,413.5,39878895.0,[],[],[]
2018-08-01,409.8999938964844,414.7999877929688,378.7000122070313,381.7000122070313,25108178.0,[],[],[]
2018-09-01,383.5,384.6000061035156,325.6000061035156,341.20001220703125,24574879.0,[],[],[]
2018-10-01,349.0,349.0,304.79998779296875,326.3999938964844,21586578.0,[],[],[]
2018-11-01,326.5,346.0,273.29998779296875,289.79998779296875,17178311.0,[],[],[]
2018-12-01,295.3999938964844,296.8999938964844,221.1000061035156,237.8000030517578,21949302.0,[],[],[]
2019-01-01,237.3000030517578,285.0,233.3999938964844,278.20001220703125,16820300.0,[],[],[]
2019-02-01,281.70001220703125,285.5,262.5,269.79998779296875,9144372.0,[],[],[]
2019-03-01,270.6000061035156,296.6000061035156,256.3999938964844,292.20001220703125,9488788.0,[],[],[]
2019-04-01,299.6000061035156,313.0,279.3999938964844,297.79998779296875,8570283.0,[],[],[]
2019-05-01,299.0,301.0,273.0,287.3999938964844,7777364.0,[],[],[]
2019-06-01,283.79998779296875,300.6000061035156,267.20001220703125,276.20001220703125,7931938.0,[],[],[]
2019-07-01,273.3999938964844,284.6000061035156,166.60000610351562,226.8000030517578,22608183.0,[],[],[]
2019-08-01,219.1999969482422,253.0,206.3999938964844,249.1999969482422,21779811.0,[],[],[]
2019-09-01,250.1999969482422,284.6000061035156,230.1999969482422,279.20001220703125,15205671.0,[],[],[]
2019-10-01,277.79998779296875,327.79998779296875,268.79998779296875,309.0,18335012.0,[],[],[]
2019-11-01,308.3999938964844,342.6000061035156,306.3999938964844,337.20001220703125,9228939.0,[],[],[]
2019-12-01,335.0,481.2000122070313,327.3999938964844,458.6000061035156,18358820.0,[],[],[]
2020-01-01,450.3999938964844,536.3489990234375,450.3999938964844,471.3999938964844,11486228.0,[],[],[]
