Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-12-04,63.97587623198376,63.97587623198376,61.900635725989076,63.53812789916992,1008093.0,[],[],[]
2022-12-11,63.602980767715515,63.73268647715543,61.57637667027126,62.28974151611328,815961.0,[],[],[]
2022-12-18,62.143834382256316,63.58676899796852,60.01994024020396,60.08479309082031,1154117.0,[],[],[]
2022-12-25,60.279345811567126,61.85198766300873,59.82538708474856,60.87921524047853,685354.0,[],[],[]
2023-01-01,61.23590723177381,61.43045961122174,60.31177319864443,60.45768737792969,434656.0,[],[],[]
2023-01-08,60.86300776893002,62.500498703798115,60.506323280963215,62.435646057128906,584462.0,[],[],[]
2023-01-15,62.776125032994415,64.34877085191309,61.93305392393091,63.60298156738281,666396.0,[],[],[]
2023-01-22,63.70026027208278,64.7865239130149,63.16522977030501,63.60298156738281,660227.0,[],[],[]
2023-01-29,63.81374924404689,64.41362332160564,63.42462786984532,63.70024871826172,547787.0,[],[],[]
2023-02-05,63.44084763641232,65.77550043626172,62.80854967862965,65.54852294921875,646912.0,[],[],[]
2023-02-12,65.20805446796211,65.46745297192905,63.31114707511295,63.81374740600586,634026.0,[],[],[]
2023-02-19,63.94344577570798,65.61337669468324,63.71646698026363,64.6081771850586,749529.0,[],[],[]
2023-02-26,64.72166156481711,65.1594090360412,63.42463907877164,63.68404006958008,557791.0,[],[],[]
2023-03-05,64.0731418782762,66.18081460954377,63.829957533722116,65.79170989990234,920377.0,[],[],[]
2023-03-12,66.01869886270443,66.29431422582739,61.8844116774618,61.94926452636719,1162219.0,[],[],[]
2023-03-19,61.7709215314582,61.997906499860896,59.63082538911769,60.29556274414063,1624719.0,[],[],[]
2023-03-26,59.89023453924456,62.38701815121352,59.16066161628611,60.87921524047853,923970.0,[],[],[]
2023-04-02,61.316964693486234,63.765108379679226,60.68466734047979,63.63540267944336,946878.0,[],[],[]
2023-04-09,63.716470819084606,64.02451812475513,62.889613615949074,63.47328186035157,558270.0,[],[],[]
2023-04-16,63.9596681927555,65.02970172482755,63.89481533508613,64.78650665283203,468518.0,[],[],[]
2023-04-23,64.85136099406009,65.67821684213793,64.23527133289836,65.2242660522461,748660.0,[],[],[]
2023-04-30,65.22425926859691,65.95384131952451,64.52710394379245,65.90520477294922,788508.0,[],[],[]
2023-05-07,65.93762389863252,66.05111947990197,63.765110680981884,65.15940856933594,696057.0,[],[],[]
2023-05-14,65.25668882382627,65.49988392686673,63.82996463520627,64.77142333984375,891926.0,[],[],[]
2023-05-21,65.17456123022043,65.29214369120307,63.76356152189347,64.5698471069336,684361.0,[],[],[]
2023-05-28,64.67064105882794,64.87220442621656,60.672810282043464,61.44550323486328,947081.0,[],[],[]
2023-06-04,61.73105852522179,61.831847738998476,60.53843321072425,61.73106002807617,991786.0,[],[],[]
2023-06-11,61.882241992899345,61.932632647412156,60.74000589438832,60.84079360961915,691797.0,[],[],[]
2023-06-18,61.09275123146238,61.9158289599617,60.87438678336759,61.68066406249999,1093098.0,[],[],[]
2023-06-25,61.395102046343744,61.395102046343744,59.58097778166306,60.00091171264648,685052.0,[],[],[]
2023-07-02,60.05130631494604,60.80719416354785,59.4465928546577,60.60562515258789,788924.0,[],[],[]
2023-07-09,60.68961253083622,60.97516521968739,58.102785376499725,58.623512268066406,703310.0,[],[],[]
2023-07-16,58.455534512676614,60.924774433225345,58.33795205099896,60.68960952758789,592505.0,[],[],[]
2023-07-23,60.52163219125703,61.27752577014587,60.08490355732352,61.09274673461914,481902.0,[],[],[]
2023-07-30,60.80719565182538,62.60453785279058,60.79039449597223,62.067012786865234,697114.0,[],[],[]
2023-08-06,61.680669511490514,63.797161841207746,61.495895244943604,62.36936569213867,1224724.0,[],[],[]
2023-08-13,62.21819481667729,62.99087960999516,61.781446327498216,61.89902877807617,729314.0,[],[],[]
2023-08-20,61.81505011397086,62.15100276180364,60.20248602471883,60.35366439819336,802208.0,[],[],[]
2023-08-27,60.45444381551238,61.64707403494414,60.45444381551238,60.941577911376946,823616.0,[],[],[]
2023-09-03,61.31111731553683,63.0076697107109,61.31111731553683,62.6213264465332,1141326.0,[],[],[]
2023-09-10,62.62132889278083,63.27643299274988,62.11740126911327,62.75571060180664,753044.0,[],[],[]
2023-09-17,62.85649137682427,63.881145885609534,60.572030192367684,62.2349853515625,1488299.0,[],[],[]
2023-09-24,62.151001274824395,62.33577554709984,59.61456370944344,60.068092346191406,900777.0,[],[],[]
2023-10-01,59.799332334984335,60.202476737982636,58.673906295452774,59.261817932128906,971579.0,[],[],[]
2023-10-08,59.46339366757167,59.76575040614768,57.985204958162626,58.74109649658203,749374.0,[],[],[]
2023-10-15,58.58991405286104,60.95837555175446,58.35474914587217,59.816139221191406,644295.0,[],[],[]
2023-10-22,59.967315401976634,60.370455203850916,57.76682921652322,57.78363037109375,766164.0,[],[],[]
2023-10-29,57.95160347022108,58.3211558231513,56.842967173441515,57.17892074584961,667118.0,[],[],[]
2023-11-05,57.41408171101597,60.82398672748225,57.41408171101597,60.68960952758789,696576.0,[],[],[]
2023-11-12,60.79039205602879,61.54628998834979,60.28646633263955,60.60562515258789,802176.0,[],[],[]
2023-11-19,60.94157041820399,61.83184241197722,59.933719905703605,60.90797424316407,1128286.0,[],[],[]
2023-11-26,60.891182215543324,61.49589567106398,60.63920952066656,61.17673110961913,676914.0,[],[],[]
2023-12-03,60.90797655868629,61.714269251258365,60.25287581417142,61.46230316162109,1725154.0,[],[],[]
2023-12-10,61.311124753693974,62.08380507792981,59.88332818250753,61.78144836425781,978404.0,[],[],[]
2023-12-17,61.79825402092452,61.983028293601784,60.60562515258789,61.05915832519531,1464517.0,[],[],[]
2023-12-24,60.80719169379805,60.85758234255054,59.648154004388374,60.2024803161621,561650.0,[],[],[]
2023-12-31,60.11849607579435,60.38725690151982,59.58097389694483,59.816139221191406,284342.0,[],[],[]
2024-01-07,59.90012332403464,60.18568529344277,58.75788906308911,59.42979431152344,412198.0,[],[],[]
2024-01-14,59.295406774048836,59.74894385830631,58.522727966308594,58.84187698364258,468399.0,[],[],[]
2024-01-21,59.00985458811586,59.00985458811586,56.137465477679285,56.72538375854492,649873.0,[],[],[]
