Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-07-02,19.65999984741211,20.100000381469727,19.6200008392334,19.579051971435547,146437,[],[],[]
2025-07-03,19.920000076293945,19.989999771118164,19.459999084472656,19.147016525268555,155659,[],[],[]
2025-07-04,19.5,19.559999465942383,19.32999992370605,19.13719749450684,84756,[],[],[]
2025-07-07,19.34000015258789,19.36000061035156,19.09000015258789,18.74443817138672,152253,[],[],[]
2025-07-08,19.1200008392334,19.520000457763672,19.09000015258789,19.127376556396484,110805,[],[],[]
2025-07-09,19.520000457763672,19.530000686645508,19.280000686645508,18.93099975585937,183443,[],[],[]
2025-07-10,18.39999961853028,18.6200008392334,18.100000381469727,18.12584114074707,687689,[],[],[]
2025-07-11,18.40999984741211,18.76000022888184,18.39999961853028,18.390953063964844,223357,[],[],[]
2025-07-14,18.59000015258789,18.64999961853028,18.520000457763672,18.25348854064941,115148,[],[],[]
2025-07-15,18.61000061035156,18.86000061035156,18.61000061035156,18.28294563293457,81634,[],[],[]
2025-07-16,18.6200008392334,18.65999984741211,18.39999961853028,18.06692695617676,83795,[],[],[]
2025-07-17,18.530000686645508,18.770000457763672,18.520000457763672,18.233850479125977,125689,[],[],[]
2025-07-18,18.049999237060547,19.049999237060547,18.049999237060547,18.263307571411133,277208,[],[],[]
2025-07-21,18.739999771118164,18.84000015258789,18.420000076293945,18.12584114074707,230409,[],[],[]
2025-07-22,18.459999084472656,18.68000030517578,18.440000534057617,18.302583694458008,327095,[],[],[]
2025-07-23,18.700000762939453,19.350000381469727,18.700000762939453,18.940818786621094,230376,[],[],[]
2025-07-24,19.31999969482422,19.63999938964844,19.229999542236328,19.068464279174805,156775,[],[],[]
2025-07-25,19.420000076293945,19.420000076293945,19.25,18.901540756225582,103218,[],[],[]
2025-07-28,19.280000686645508,19.559999465942383,19.059999465942383,18.8033504486084,167096,[],[],[]
2025-07-29,19.14999961853028,19.26000022888184,18.68000030517578,18.341859817504883,86477,[],[],[]
2025-07-30,19.1200008392334,19.31999969482422,18.90999984741211,18.63642883300781,196798,[],[],[]
2025-07-31,18.82999992370605,18.90999984741211,18.68000030517578,18.341859817504883,233679,[],[],[]
2025-08-01,18.90999984741211,18.90999984741211,18.540000915527344,18.204395294189453,168010,[],[],[]
2025-08-04,18.59000015258789,18.86000061035156,18.59000015258789,18.381134033203125,199127,[],[],[]
2025-08-05,18.82999992370605,18.989999771118164,18.790000915527344,18.5775146484375,150279,[],[],[]
2025-08-06,18.979999542236328,19.200000762939453,18.959999084472656,18.61679077148437,193085,[],[],[]
2025-08-07,19.040000915527344,19.420000076293945,19.040000915527344,19.00955009460449,164087,[],[],[]
2025-08-08,19.450000762939453,19.6299991607666,19.39999961853028,19.245206832885746,137376,[],[],[]
2025-08-11,19.64999961853028,19.82999992370605,19.459999084472656,19.107738494873047,141363,[],[],[]
2025-08-12,19.46999931335449,19.559999465942383,19.3799991607666,19.18629264831543,135871,[],[],[]
2025-08-13,19.549999237060547,19.700000762939453,19.40999984741211,19.147016525268555,209452,[],[],[]
