Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-09-12,7.572000026702881,7.604000091552734,7.407999992370605,7.153753280639648,2811864.0,[],[],[]
2025-09-15,7.464000225067139,7.498000144958496,7.383999824523926,7.147985458374023,3294198.0,[],[],[]
2025-09-16,7.438000202178955,7.478000164031982,7.386000156402588,7.109535217285156,3323639.0,[],[],[]
2025-09-17,7.432000160217285,7.486000061035156,7.400000095367432,7.196049213409424,3062836.0,[],[],[]
2025-09-18,7.5,7.565999984741211,7.446000099182129,7.197971820831299,2902722.0,[],[],[]
2025-09-19,7.5,7.533999919891357,7.383999824523926,7.142218112945557,4992589.0,[],[],[]
2025-09-22,7.374000072479248,7.392000198364258,7.296000003814697,7.040323734283447,3428834.0,[],[],[]
2025-09-23,7.340000152587891,7.452000141143799,7.314000129699707,7.149908542633057,2839758.0,[],[],[]
2025-09-24,7.421999931335449,7.552000045776367,7.372000217437744,7.221042156219482,3096185.0,[],[],[]
2025-09-25,7.473999977111816,7.630000114440918,7.395999908447266,7.334471702575684,4606091.0,[],[],[]
2025-09-26,7.639999866485596,7.888000011444092,7.633999824523926,7.44982385635376,5576187.0,[],[],[]
2025-09-29,7.820000171661377,7.923999786376953,7.74399995803833,7.461359024047852,4051968.0,[],[],[]
2025-09-30,7.75,7.765999794006348,7.177999973297119,6.928816795349121,13487418.0,[],[],[]
2025-10-01,7.124000072479248,7.374000072479248,7.090000152587891,7.028788566589356,4996733.0,[],[],[]
2025-10-02,7.334000110626221,7.4120001792907715,7.283999919891357,7.074929714202881,3869380.0,[],[],[]
2025-10-03,7.374000072479248,7.421999931335449,7.331999778747559,7.053781509399414,3475410.0,[],[],[]
2025-10-06,7.315999984741211,7.323999881744385,7.23199987411499,7.021098613739014,2621974.0,[],[],[]
2025-10-07,7.328000068664551,7.415999889373779,7.294000148773193,7.074929714202881,2572678.0,[],[],[]
2025-10-08,7.315999984741211,7.480000019073486,7.296000003814697,7.117225170135498,3581311.0,[],[],[]
2025-10-09,7.434000015258789,7.599999904632568,7.434000015258789,7.234499931335449,4146959.0,[],[],[]
2025-10-10,7.51200008392334,7.570000171661377,7.349999904632568,7.065316677093506,3198896.0,[],[],[]
2025-10-13,7.380000114440918,7.443999767303467,7.361999988555908,7.088387489318848,1603966.0,[],[],[]
2025-10-14,7.317999839782715,7.415999889373779,7.234000205993652,7.124915599822998,3292363.0,[],[],[]
2025-10-15,7.366000175476074,7.400000095367432,7.24399995803833,6.9634222984313965,3889467.0,[],[],[]
2025-10-16,7.222000122070312,7.361999988555908,7.191999912261963,7.076851844787598,4074119.0,[],[],[]
2025-10-17,7.26200008392334,7.294000148773193,7.133999824523926,6.948042392730713,3025894.0,[],[],[]
2025-10-20,7.302000045776367,7.328000068664551,7.190000057220459,6.999950885772705,2205000.0,[],[],[]
2025-10-21,7.269999980926514,7.285999774932861,7.182000160217285,6.903823852539063,2739855.0,[],[],[]
2025-10-22,7.190000057220459,7.216000080108643,7.099999904632568,6.84422492980957,4143894.0,[],[],[]
2025-10-23,7.01800012588501,7.081999778747559,6.946000099182129,6.701957702636719,5633614.0,[],[],[]
2025-10-24,6.97599983215332,7.0,6.723999977111816,6.67311954498291,5183782.0,[],[],[]
2025-10-27,6.929999828338623,6.940000057220459,6.829999923706055,6.609675884246826,3524192.0,[],[],[]
2025-10-28,6.857999801635742,6.96999979019165,6.8460001945495605,6.663506984710693,4348888.0,[],[],[]
2025-10-29,6.8460001945495605,7.019999980926514,6.843999862670898,6.675042152404785,5159001.0,[],[],[]
2025-10-30,7.019999980926514,7.492000102996826,7.019999980926514,7.16913366317749,10293917.0,[],[],[]
2025-10-31,7.53000020980835,7.611999988555908,7.407999992370605,7.29986572265625,6323236.0,[],[],[]
2025-11-03,7.636000156402588,8.031999588012695,7.599999904632568,7.718978404998779,10483432.0,[],[],[]
2025-11-04,7.940000057220459,7.984000205993652,7.71999979019165,7.469048976898193,5818092.0,[],[],[]
2025-11-05,7.699999809265137,7.808000087738037,7.638000011444092,7.432520866394043,3188578.0,[],[],[]
2025-11-06,7.711999893188477,7.739999771118164,7.440000057220459,7.178746223449707,3842341.0,[],[],[]
2025-11-07,7.46999979019165,7.492000102996826,7.245999813079834,6.99033784866333,3850090.0,[],[],[]
2025-11-10,7.418000221252441,7.553999900817871,7.395999908447266,7.232577323913574,4814587.0,[],[],[]
2025-11-11,7.547999858856201,7.751999855041504,7.498000144958496,7.430598258972168,3293186.0,[],[],[]
2025-11-12,7.78000020980835,7.855999946594238,7.671999931335449,7.551718235015869,3511218.0,[],[],[]
2025-11-13,7.880000114440918,7.923999786376953,7.751999855041504,7.472894191741943,3303545.0,[],[],[]
2025-11-14,7.776000022888184,8.0,7.760000228881836,7.555563449859619,4467517.0,[],[],[]
2025-11-17,7.8520002365112305,7.868000030517578,7.638000011444092,7.351774215698242,2431851.0,[],[],[]
2025-11-18,7.521999835968018,7.685999870300293,7.519999980926514,7.338316440582275,3299724.0,[],[],[]
2025-11-19,7.611999988555908,8.027999877929688,7.611999988555908,7.599781513214111,5476849.0,[],[],[]
2025-11-20,7.960000038146973,7.98199987411499,7.783999919891357,7.49788761138916,2800442.0,[],[],[]
2025-11-21,7.71999979019165,8.064000129699707,7.71999979019165,7.634387016296387,5440152.0,[],[],[]
2025-11-24,8.0,8.144000053405762,7.953999996185303,7.749739646911621,9237842.0,[],[],[]
2025-11-25,8.052000045776367,8.218000411987305,7.900000095367432,7.830485820770264,5282019.0,[],[],[]
2025-11-26,8.149999618530273,8.234000205993652,8.088000297546387,7.876626968383789,3684772.0,[],[],[]
2025-11-27,8.149999618530273,8.208000183105469,8.12399959564209,7.855478763580322,2275179.0,[],[],[]
2025-11-28,8.17199993133545,8.277999877929688,8.13599967956543,7.94968318939209,4191880.0,[],[],[]
2025-12-01,8.300000190734863,8.390000343322754,8.223999977111816,8.028507232666016,4099854.0,[],[],[]
2025-12-02,8.350000381469727,8.355999946594238,8.211999893188477,7.976598739624023,3495679.0,[],[],[]
2025-12-03,8.300000190734863,8.300000190734863,8.168000221252441,7.888162136077881,3182559.0,[],[],[]
2025-12-04,8.229999542236328,8.305999755859375,8.157999992370605,7.8977742195129395,2617420.0,[],[],[]
2025-12-05,8.232000350952148,8.303999900817871,8.170000076293945,7.909309387207031,3905568.0,[],[],[]
2025-12-08,8.350000381469727,8.470000267028809,8.227999687194824,7.936224937438965,3796847.0,[],[],[]
2025-12-09,8.251999855041504,8.251999855041504,8.010000228881836,7.81126070022583,3028453.0,[],[],[]
2025-12-10,8.11400032043457,8.119999885559082,7.938000202178955,7.649767875671387,2744413.0,[],[],[]
2025-12-11,7.98199987411499,8.137999534606934,7.967999935150146,7.76704216003418,2635196.0,[],[],[]
2025-12-12,8.279999732971191,8.637999534606934,8.272000312805176,8.138091087341309,9900164.0,[],[],['shooting_star']
2025-12-15,8.479999542236328,8.545999526977539,8.437999725341797,8.182310104370117,2645079.0,[],[],[]
2025-12-16,8.54800033569336,8.729999542236328,8.539999961853027,8.264978408813477,5721811.0,[],[],[]
2025-12-17,8.59000015258789,8.593999862670898,8.390000343322754,8.220760345458984,3919898.0,[],[],[]
2025-12-18,8.529999732971191,8.673999786376953,8.470000267028809,8.326499938964844,3599157.0,[],[],[]
2025-12-19,8.687999725341797,8.760000228881836,8.522000312805176,8.238062858581543,5522508.0,[],[],[]
2025-12-22,8.562000274658203,8.569999694824219,8.458000183105469,8.203457832336426,2668545.0,[],[],[]
2025-12-23,8.552000045776367,8.552000045776367,8.381999969482422,8.093873023986816,1795686.0,[],[],[]
2025-12-29,8.390000343322754,8.430000305175781,8.295999526977539,8.045809745788574,2757104.0,[],[],[]
2025-12-30,8.347999572753906,8.42199993133545,8.291999816894531,8.080415725708008,1301464.0,[],[],[]
2026-01-02,8.45199966430664,8.59000015258789,8.40999984741211,8.249598503112793,2435359.0,[],[],[]
2026-01-05,8.597999572753906,8.657999992370605,8.47599983215332,8.320732116699219,3752611.0,[],[],[]
2026-01-06,8.710000038146973,8.90999984741211,8.685999870300293,8.56489372253418,4451058.0,[],[],[]
2026-01-07,9.105999946594238,9.248000144958496,8.960000038146973,8.818668365478516,8223275.0,[],[],[]
2026-01-08,9.166000366210938,9.236000061035156,9.052000045776367,8.718696594238281,3391885.0,[],[],[]
2026-01-09,9.041999816894531,9.088000297546388,8.842000007629395,8.526443481445312,4604880.0,[],[],[]
2026-01-12,8.821999549865723,8.829999923706055,8.67199993133545,8.438006401062012,3902518.0,[],[],[]
2026-01-13,8.826000213623047,8.85200023651123,8.609999656677246,8.364950180053711,4161829.0,[],[],[]
2026-01-14,8.522000312805176,8.562000274658203,8.192000389099121,7.903542041778564,7429302.0,[],[],[]
2026-01-15,8.399999618530273,8.460000038146973,8.302000045776367,8.12078857421875,3631100.0,[],[],[]
2026-01-16,8.447999954223633,8.454000473022461,8.333999633789062,8.04773235321045,2284545.0,[],[],[]
2026-01-19,8.260000228881836,8.477999687194824,8.236000061035156,8.101563453674316,2996870.0,[],[],[]
2026-01-20,8.402000427246094,8.40999984741211,8.246000289916992,8.03042984008789,3528482.0,[],[],[]
2026-01-21,8.399999618530273,8.708000183105469,8.39799976348877,8.30727481842041,4087728.0,[],[],[]
2026-01-22,8.802000045776367,9.039999961853027,8.802000045776367,8.626415252685547,6304295.0,[],[],[]
2026-01-23,8.942000389099121,8.942000389099121,8.687999725341797,8.46299934387207,4580956.0,[],[],[]
2026-01-26,8.765999794006348,8.817999839782715,8.644000053405762,8.430316925048828,3119050.0,[],[],[]
2026-01-27,8.75,8.777999877929688,8.666000366210938,8.399556159973145,3337625.0,[],[],[]
2026-01-28,8.640000343322754,8.734000205993652,8.574000358581543,8.345725059509277,2744480.0,[],[],[]
2026-01-29,8.723999977111816,8.84000015258789,8.557999610900879,8.305352210998535,3045203.0,[],[],[]
2026-01-30,8.697999954223633,8.800000190734863,8.644000053405762,8.363027572631836,3297451.0,[],[],[]
2026-02-02,8.75,8.947999954223633,8.748000144958496,8.578351974487305,3714392.0,[],[],[]
2026-02-03,8.994000434875488,9.015999794006348,8.907999992370605,8.643717765808105,3025468.0,[],[],[]
2026-02-04,9.001999855041504,9.097999572753906,8.972000122070312,8.703316688537598,3155119.0,[],[],[]
2026-02-05,9.06999969482422,9.13599967956543,8.868000030517578,8.636028289794922,2752994.0,[],[],[]
2026-02-06,9.050000190734863,9.211999893188477,8.96399974822998,8.855196952819824,5137416.0,[],[],[]
2026-02-09,9.303999900817873,9.5,9.232000350952148,9.132041931152344,5736229.0,[],[],['shooting_star']
2026-02-10,9.538000106811523,9.59000015258789,9.23799991607666,8.884035110473633,3583552.0,[],[],[]
2026-02-11,8.998000144958496,9.0,8.78600025177002,8.526443481445312,6204994.0,[],[],[]
2026-02-12,8.97599983215332,9.116000175476074,8.918000221252441,8.655253410339355,3315892.0,[],[],[]
2026-02-13,9.0,9.239999771118164,8.994000434875488,8.75137996673584,3156259.0,[],[],[]
2026-02-16,9.14799976348877,9.26200008392334,9.083999633789062,8.885957717895508,1835795.0,[],[],[]
2026-02-17,9.223999977111816,9.267999649047852,9.07800006866455,8.909028053283691,2472983.0,[],[],[]
2026-02-18,9.289999961853027,9.31999969482422,8.968000411987305,8.834049224853516,3564521.0,[],[],[]
2026-02-19,9.300000190734863,9.47599983215332,9.038000106811523,8.749458312988281,4752752.0,[],[],[]
2026-02-20,9.112000465393066,9.210000038146973,9.020000457763672,8.736000061035156,2778706.0,[],[],[]
2026-02-23,9.112000465393066,9.496000289916992,9.112000465393066,8.824437141418457,4297005.0,[],[],[]
2026-02-24,9.20199966430664,9.239999771118164,9.053999900817873,8.784062385559082,2959921.0,[],[],[]
2026-02-25,9.116000175476074,9.185999870300291,9.064000129699709,8.82828140258789,2259588.0,[],[],[]
2026-02-26,9.227999687194824,9.425999641418455,9.130000114440918,9.060908317565918,5037665.0,[],[],[]
2026-02-27,9.33199977874756,9.378000259399414,8.979999542236328,8.736000061035156,7154006.0,[],[],[]
2026-03-02,8.21399974822998,8.71399974822998,8.0600004196167,8.280359268188477,12467306.0,[],[],[]
2026-03-03,8.630000114440918,8.633999824523926,8.116000175476074,7.943915367126465,8927233.0,['engulfing'],[],[]
2026-03-04,8.300000190734863,8.564000129699707,8.14799976348877,8.063112258911133,6855935.0,[],[],[]
2026-03-05,8.319999694824219,8.447999954223633,8.064000129699707,7.805492877960205,9775849.0,[],[],[]
2026-03-06,8.161999702453613,8.444000244140625,7.901999950408935,7.805492877960205,10903800.0,[],[],[]
2026-03-09,7.800000190734863,7.914000034332275,7.501999855041504,7.307556629180908,13953285.0,['RSI_OVERSOLD'],['RSI_OVERSOLD'],[]
2026-03-10,8.100000381469727,8.251999855041504,7.984000205993652,7.884316444396973,10261048.0,[],[],[]
2026-03-11,8.100000381469727,8.107999801635742,7.946000099182129,7.757429122924805,6590561.0,[],[],[]
2026-03-12,7.995999813079834,8.045999526977539,7.748000144958496,7.48250675201416,7802202.0,[],[],[]
2026-03-13,7.5879998207092285,7.757999897003174,7.510000228881836,7.3114013671875,7696987.0,[],[],[]
2026-03-16,7.645999908447266,7.808000087738037,7.539999961853027,7.420985698699951,5310734.0,[],[],[]
2026-03-17,7.730000019073486,7.964000225067139,7.644000053405762,7.580556392669678,7587094.0,[],[],[]
2026-03-18,8.050000190734863,8.095999717712402,7.823999881744385,7.584401130676269,5803153.0,[],[],[]
2026-03-19,7.690000057220459,7.72599983215332,7.386000156402588,7.142218112945557,9503080.0,[],[],[]
2026-03-20,7.389999866485596,7.538000106811523,7.234000205993652,7.059548854827881,12340708.0,[],[],[]
2026-03-23,7.1479997634887695,7.76800012588501,6.992000102996826,7.296020984649658,12443506.0,[],[],[]
2026-03-24,7.553999900817871,7.572000026702881,7.357999801635742,7.16144323348999,5481499.0,[],[],[]
2026-03-25,7.599999904632568,7.665999889373779,7.539999961853027,7.322936534881592,6056812.0,[],[],[]
2026-03-26,7.599999904632568,7.630000114440918,7.489999771118164,7.240267753601074,5757152.0,[],[],[]
2026-03-27,7.533999919891357,7.556000232696533,7.354000091552734,7.069161891937256,5677493.0,[],[],[]
2026-03-30,7.326000213623047,7.381999969482422,7.234000205993652,6.9634222984313965,6514752.0,[],[],[]
2026-03-31,7.25,7.343999862670898,7.196000099182129,6.917281627655029,5940309.0,[],[],[]
2026-04-01,7.716000080108643,7.78000020980835,7.521999835968018,7.467126846313477,8222623.0,[],[],[]
2026-04-02,7.455999851226807,7.553999900817871,7.348000049591064,7.211429119110107,6264053.0,[],[],[]
2026-04-07,7.570000171661377,7.570000171661377,7.334000110626221,7.078774452209473,5904260.0,[],[],[]
2026-04-08,8.210000038146973,8.291999816894531,8.069999694824219,7.805492877960205,13724414.0,[],[],[]
2026-04-09,7.906000137329102,7.918000221252441,7.76200008392334,7.557485580444336,5402503.0,[],[],[]
