Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-12-04,93.40515649056059,94.32976765302443,92.79530545720542,94.2510757446289,518270.0,[],[],[]
2025-12-05,94.78223270154395,94.78223270154395,92.89367197009078,93.0510482788086,422868.0,[],[],[]
2025-12-08,93.93631329205186,95.13633859974459,93.34613900262997,94.32976531982422,302016.0,[],[],[]
2025-12-09,95.17568505591123,95.70684417053972,94.32976581829615,94.8215789794922,491336.0,[],[],[]
2025-12-10,94.38878232520435,94.78223436059565,93.34614081021977,94.01500701904295,424909.0,[],[],[]
2025-12-11,94.11336816642088,94.54616615586605,93.2674489167636,93.75926208496094,309189.0,[],[],[]
2025-12-12,94.36910621823539,94.36910621823539,87.46404563889128,87.62142944335938,804425.0,[],[],[]
2025-12-15,88.52636681095179,88.82145770211085,87.01158141164984,87.5230712890625,634473.0,[],[],[]
2025-12-16,87.54273986816406,87.91651515700211,86.79518178601494,87.54273986816406,380348.0,[],[],[]
2025-12-17,87.81815350828947,87.87716868394749,82.76231500465664,83.23445892333984,968837.0,['engulfing'],[],[]
2025-12-18,83.84430124475874,84.27709920546089,80.57866232498507,83.2738037109375,1082531.0,[],[],[]
2025-12-19,81.95574369999169,82.13279673564865,81.01146334464555,81.64098358154297,1401694.0,['RSI_OVERSOLD'],['RSI_OVERSOLD'],[]
2025-12-22,82.1327945201111,82.2901783273266,80.83440812847509,80.95244598388672,453657.0,[],[],[]
2025-12-23,80.44095663139387,80.93276977539062,80.2639035993761,80.93276977539062,485113.0,[],[],[]
2025-12-29,81.52294890923433,81.93607767822965,80.18521647742436,80.26390838623047,438868.0,[],[],[]
2025-12-30,79.71307425247667,80.46063232297236,78.69010202560703,80.20488739013672,419035.0,[],[],[]
2026-01-05,78.69010174413442,80.00815734620168,77.92287445284478,78.17861938476562,1149998.0,['inverted_hammer'],['inverted_hammer'],[]
2026-01-06,77.98189144791758,78.13927525722639,76.40809087719498,77.09662628173828,992007.0,[],[],[]
2026-01-07,77.17532018659597,79.16224955601417,77.15565096215913,79.06388092041016,1141620.0,[],[],[]
2026-01-08,77.33270174888565,77.45073210101746,73.41786580626429,75.07035827636719,1386046.0,"['RSI_OVERSOLD', 'rebound']","['RSI_OVERSOLD', 'rebound']",[]
2026-01-09,76.07365417480469,76.68350518029023,75.54250257859161,76.07365417480469,709133.0,[],[],[]
2026-01-12,74.75560160369906,75.71955871582031,74.24411921048414,75.71955871582031,675112.0,[],[],[]
2026-01-13,76.48678240268974,76.72285061100962,75.32610308044683,75.83758544921875,601632.0,[],[],[]
2026-01-14,76.46710799404431,77.82451711812548,76.0736559652603,76.52613067626953,704216.0,[],[],[]
2026-01-15,76.09333038077735,76.58514352568699,75.44413342734957,76.34907531738281,557690.0,[],[],[]
2026-01-16,75.58183818848747,75.81791389402116,75.05068661221866,75.66053009033203,684305.0,[],[],[]
2026-01-19,74.26378682701491,75.16872123628377,74.1654256963506,74.4998550415039,480214.0,[],[],[]
2026-01-20,70.8210918644111,72.09980902486325,69.2079453723018,71.2932357788086,1676319.0,[],[],[]
2026-01-21,71.7063593503505,71.8243897044415,69.85713708854422,71.47029113769531,1090598.0,[],[],[]
2026-01-22,72.65063904489024,72.65063904489024,70.72273239937661,71.7457046508789,710057.0,[],[],[]
2026-01-23,70.99815070607372,71.3719260199002,70.38829966348715,71.09651184082031,830854.0,[],[],[]
2026-01-26,71.74570168024252,72.94572691605755,71.41126485010209,71.84406280517578,896256.0,[],[],[]
2026-01-27,72.29653062144821,72.6506366779111,70.56534629034888,71.05715942382812,705497.0,[],[],[]
2026-01-28,70.52600459796963,72.45391880156483,63.9357112131706,67.35873413085938,2812914.0,['rebound'],['rebound'],[]
2026-01-29,66.33575672043193,67.2603602926553,65.01769364272857,66.25706481933594,1533729.0,[],[],[]
2026-01-30,66.63084611478112,67.28004310078697,65.05704547298826,65.54885864257812,1002229.0,[],[],[]
2026-02-02,65.1554057682743,67.33905741389266,64.87999159756089,67.10298919677734,956811.0,[],[],[]
2026-02-03,67.8702147001943,67.94890660526806,66.39477525019007,67.16200256347656,816796.0,[],[],[]
2026-02-04,67.47676594725611,69.56205650586482,67.06364468232066,68.83417510986328,940435.0,[],[],[]
2026-02-05,70.211240580745,71.45061178448785,67.8308668040194,68.24398803710938,1117342.0,[],[],[]
2026-02-06,68.30301238622248,69.50303766789216,67.49643912379298,69.20794677734375,823798.0,[],[],[]
2026-02-09,69.79811923306617,69.97517226188162,68.75547778808235,69.522705078125,696501.0,[],[],[]
2026-02-10,69.16859953872275,70.28993289479762,68.73580157515947,70.01451873779297,724479.0,[],[],[]
2026-02-11,69.60140082082256,71.43094638469654,69.05056497607694,70.66371154785156,936805.0,[],[],[]
2026-02-12,70.32928200052152,70.50633503860385,65.50951152336734,65.58820343017578,2171803.0,[],[],[]
2026-02-13,66.49313867479984,68.499737296615,66.2373937267177,67.33905792236328,887653.0,[],[],[]
2026-02-16,67.85054312141467,68.63743963142387,66.98494720458984,66.98494720458984,510803.0,[],[],[]
2026-02-17,67.22101760107454,68.61777264759048,67.22101760107454,67.92922973632812,563845.0,[],[],[]
2026-02-18,68.06693565114236,68.20464273014016,67.02429419459529,67.96857452392578,543844.0,[],[],[]
2026-02-19,68.04726926104152,68.48006724418414,67.59480205342571,68.38169860839844,550581.0,[],[],[]
2026-02-20,68.73580415273358,69.89648350397326,68.12596064063231,68.65711975097656,1005342.0,[],[],[]
2026-02-23,68.53908021819495,68.87350955479826,67.67349178421607,67.94890594482422,585848.0,[],[],[]
2026-02-24,68.49973809125615,69.56205634533012,68.02760164798336,69.34565734863281,611501.0,[],[],[]
2026-02-25,68.85384319497527,69.08991141324836,67.63414864534539,68.36203002929688,836522.0,[],[],[]
2026-02-26,68.69645791034657,71.09650850894987,68.55875082726013,69.93582916259766,708398.0,[],[],[]
2026-02-27,70.2112433366831,70.52600345584086,69.16860184906169,69.68008422851562,981904.0,[],[],[]
2026-03-02,68.67678524907816,69.64074228691375,67.73250493896914,69.54237365722656,884949.0,[],[],[]
2026-03-03,68.79482783982692,69.62107035389722,67.92923186759327,69.38500213623047,927150.0,[],[],[]
2026-03-04,70.44731904646714,71.25389232074762,69.5620538662878,69.93582916259766,562482.0,[],[],[]
2026-03-05,70.40797443165154,70.8604416424596,69.12925720214844,69.12925720214844,752055.0,[],[],[]
2026-03-06,69.56205232396772,69.75877457988001,67.63414569902973,68.97187805175781,678896.0,[],[],[]
2026-03-09,68.24399359782281,70.80142811651443,67.63415006246666,70.09321594238281,989844.0,[],[],[]
2026-03-10,70.89978741850952,71.37192385274655,69.7391080530063,70.15222930908203,660298.0,[],[],[]
2026-03-11,69.50303688889296,70.64403947698061,69.1882692734503,70.50633239746094,498989.0,[],[],[]
2026-03-12,70.38829605249428,73.22114461649889,70.2899349227937,72.23751831054688,646693.0,[],[],[]
2026-03-13,71.78505226885574,72.98507007772633,71.21454720112287,72.19817352294922,527387.0,[],[],[]
2026-03-16,72.53259975856145,73.24081188060973,71.9227562680544,73.06375885009766,636042.0,[],[],[]
2026-03-17,72.86703925995126,75.640865169735,72.80801657797407,74.4998550415039,841177.0,[],[],[]
2026-03-18,71.15552250112837,71.4702901194818,69.0505628324648,69.97517395019531,1232913.0,[],[],[]
2026-03-19,71.6670130370643,71.96210392975406,69.95550537109375,69.95550537109375,1078900.0,[],[],[]
2026-03-20,70.21124058515032,70.8801067502073,68.75547790527344,68.75547790527344,2098060.0,[],[],[]
2026-03-23,67.47676001461544,71.15552013009786,67.10298473698522,69.7981185913086,597323.0,[],[],[]
2026-03-24,70.0145191287057,71.78504944001088,69.58172116272598,71.2735595703125,611709.0,[],[],[]
2026-03-25,72.27686463473506,73.57525106508488,72.17849600005584,72.98506927490234,501564.0,[],[],[]
2026-03-26,73.16212526138729,73.71296112080569,72.51293577226986,73.39820098876953,610933.0,[],[],[]
2026-03-27,71.94242468844463,72.31619996892006,70.50633123675755,70.80142211914062,492969.0,[],[],[]
2026-03-30,70.80142315771127,71.84406461633948,70.46698631913979,71.01781463623047,490209.0,[],[],[]
2026-03-31,71.37192367905676,72.25718887168846,70.97847915297449,71.17520141601562,529551.0,[],[],[]
2026-04-01,72.3162015484178,72.86703737393248,71.0768378260741,72.0211181640625,526425.0,[],[],[]
2026-04-02,70.52600655326766,72.1194839477539,69.77845592773207,72.1194839477539,563399.0,[],[],[]
2026-04-07,72.11948162700156,74.00804236411928,71.90308263545141,71.94242858886719,633595.0,[],[],[]
2026-04-08,75.32610707281765,75.6408672020845,73.2408165261289,73.4178695678711,815842.0,[],[],[]
2026-04-09,73.59492195472625,73.67361386246107,70.80142677040018,70.89978790283203,873416.0,[],[],[]
2026-04-10,70.7030563137379,73.06376095370928,70.68338708954713,71.47029113769531,693850.0,[],[],[]
2026-04-13,70.66371136851085,71.94242858886719,69.16860266107764,71.94242858886719,543546.0,[],[],[]
2026-04-14,73.16211817397841,73.8113151046799,72.6309590955334,73.3785171508789,552258.0,[],[],[]
2026-04-15,73.81132253680146,75.14905497918119,73.67361544753943,74.9129867553711,510939.0,[],[],[]
2026-04-16,75.24741281648356,76.80154418945312,75.14905168624554,76.80154418945312,586655.0,[],[],[]
2026-04-17,76.72285265048895,78.49338302113567,76.58514556660234,77.5490951538086,759276.0,[],[],[]
2026-04-20,76.88023792345246,77.45073549418724,76.13267980781669,76.48678588867188,474043.0,[],[],[]
2026-04-21,75.69988068588762,76.30973170589175,73.49655983036271,76.01464080810547,651447.0,[],[],[]
2026-04-22,76.36874389684996,76.68350400675742,75.64086254977764,76.11299896240234,405592.0,[],[],[]
2026-04-23,74.9719979397224,75.56217222003222,73.49655848671124,74.02771759033203,547277.0,[],[],[]
2026-04-24,73.24081586832696,74.28345738007029,73.0047476496154,73.69328308105469,498201.0,[],[],[]
2026-04-27,73.61458948953717,74.7555996120792,73.339175323261,73.75230407714844,573159.0,[],[],[]
2026-04-28,73.33917504020492,75.38511955960739,73.26049063905342,75.03101348876953,441474.0,[],[],[]
2026-04-29,75.14905235840912,76.32940094076925,74.71625437612288,75.75889587402344,407820.0,[],[],[]
2026-04-30,76.05398743254172,76.25070969648627,74.755600978877,75.48348236083984,672781.0,[],[],[]
2026-05-04,76.6244921574998,78.7491211154852,76.38842394093993,77.52942657470703,913521.0,[],[],[]
2026-05-05,77.11630450990731,79.12290309078064,77.11630450990731,78.82781219482422,731309.0,[],[],[]
2026-05-06,78.86715997560755,80.1065312610836,74.40149550651941,78.51305389404297,1886369.0,[],[],[]
