Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2016-12-01,2186.4073558840914,2337.136889557598,2166.3958434513806,2294.91064453125,2283.0,[],[],[]
2017-01-01,2281.1415330576015,2321.5313377732027,2211.3759810198394,2254.978759765625,4184.0,[],[],[]
2017-02-01,2276.551328989852,2276.551328989852,2144.36441046878,2157.216064453125,6971.0,[],[],[]
2017-03-01,2157.215931149979,2222.391162051326,2119.579447706091,2131.237548828125,3796.0,[],[],[]
2017-04-01,2134.2663809976866,2146.1539704263723,2083.778871446065,2120.497314453125,4025.0,[],[],[]
2017-05-01,2120.4973956235904,2275.63322782652,2111.3180471473966,2256.967041015625,4164.0,[],[],[]
2017-06-01,2264.2223161702477,2333.631834891826,2139.590151564071,2154.377685546875,3972.0,[],[],[]
2017-07-01,2158.121412413545,2199.665350731383,2135.939796728276,2179.193359375,2331.0,[],[],[]
2017-08-01,2171.9386771121517,2199.6648685052432,2051.834779229057,2056.40966796875,6375.0,[],[],[]
2017-09-01,2065.6981752075576,2141.4385208156605,2065.6981752075576,2070.365478515625,4518.0,[],[],[]
2017-10-01,2070.273021203375,2123.878386841673,1871.563728110304,2014.8192138671875,10389.0,[],[],[]
2017-11-01,2028.6364290731071,2065.004592555077,1954.837255147847,1987.092041015625,6423.0,[],[],[]
2017-12-01,1990.9277086151178,2064.7270583405184,1917.7751232500998,1956.5465087890625,5140.0,[],[],[]
2018-01-01,1968.6075439453125,2051.788545697649,1894.669367009943,1996.3345947265625,5547.0,[],[],[]
2018-02-01,1996.334965316704,2144.2113875679347,1940.88114036704,2042.5465087890625,5862.0,[],[],[]
2018-03-01,2061.0310565826553,2236.6339511390493,2024.0618896484373,2199.664794921875,5240.0,[],[],[]
2018-04-01,2199.665387246176,2245.876776123047,2125.7265017267973,2171.9384765625,4513.0,[],[],[]
2018-05-01,2171.9384765625,2199.665350731383,2116.4842125888545,2190.348388671875,8023.0,[],[],[]
2018-06-01,2199.6690955528843,2264.91357421875,2171.7072002704326,2227.630859375,2415.0,[],[],[]
2018-07-01,2236.9515851919086,2283.5547625432246,2190.3483345319037,2274.234130859375,2237.0,[],[],[]
2018-08-01,2283.55470718876,2507.2498305591184,2283.55470718876,2358.11962890625,5387.0,[],[],[]
2018-09-01,2376.7609119415283,2451.3264924260498,2339.478293591597,2348.79931640625,2923.0,[],[],[]
