Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-12-04,73.84469068974118,73.97411247217494,71.53357978941466,73.58584594726562,3008575.0,[],[],[]
2022-12-11,73.51188411772249,79.39135654722207,72.03277587890625,73.1421127319336,2639916.0,[],[],[]
2022-12-18,72.8093157928564,75.00949684724591,69.8695858499238,70.86798858642578,3104601.0,[],[],[]
2022-12-25,70.8494873046875,71.47811075546204,69.16699749118435,69.86957550048828,1976779.0,[],[],[]
2023-01-01,70.25783974087817,70.70157656885875,69.14851401346024,69.16699981689453,1038062.0,[],[],[]
2023-01-08,69.61073099525252,73.65980843568303,69.00059373739083,73.47492218017578,2355279.0,[],[],[]
2023-01-15,73.86318838296155,75.85997660467962,73.12362538973298,75.41624450683594,2200191.0,[],[],[]
2023-01-22,75.52717584218452,77.45003323991138,74.23295727750015,74.89855194091797,2194166.0,[],[],[]
2023-01-29,75.08345348926562,77.0432727810998,74.9725175066732,76.69198608398438,1737515.0,[],[],[]
2023-02-05,76.39616067215067,78.44843212647845,75.5456771850586,78.42993927001953,2353264.0,[],[],[]
2023-02-12,76.78443327348464,81.85039071718678,75.43474322388286,79.31741333007812,3175515.0,[],[],[]
2023-02-19,78.94763038914432,83.90266488674021,78.892158874881,82.75634002685547,3342135.0,[],[],[]
2023-02-26,82.88577098283808,82.97821410447648,79.68718799013043,79.70568084716797,2689755.0,[],[],[]
2023-03-05,80.48220158560844,82.58993819988997,79.8720756226541,82.38656616210938,2584629.0,[],[],[]
2023-03-12,82.92274776539686,83.0336837500627,79.00309816186805,79.61323547363281,2213728.0,[],[],[]
2023-03-19,79.44683140166553,80.66709709126636,76.83989543775346,78.37447357177734,3529357.0,[],[],[]
2023-03-26,77.96771428643258,80.18638098226674,73.95563462753235,74.52879333496094,2806004.0,[],[],[]
2023-04-02,75.39775949931011,77.96771428960389,74.97251549024726,77.72736358642578,2510734.0,[],[],[]
2023-04-09,77.9307440020282,78.65180629459107,72.5134930541717,72.67989349365234,2568908.0,[],[],[]
2023-04-16,73.53037802609728,76.41464916603397,73.43793490918098,76.39615631103516,1745611.0,[],[],[]
2023-04-23,76.37767804755873,79.15101147254738,76.22976340479958,77.76433563232422,2139025.0,[],[],[]
2023-04-30,77.52398796269367,79.55775354188334,76.39615692171647,79.2249526977539,2219722.0,[],[],[]
2023-05-07,79.77963300827318,79.92754059021283,77.09874616979266,78.74425506591797,2199732.0,[],[],[]
2023-05-14,78.70727610171448,80.0199909216852,78.06015767850627,79.7796401977539,1716162.0,[],[],[]
2023-05-21,80.20488241299483,81.77643061882378,78.74425165000874,81.27722930908203,1591006.0,[],[],[]
2023-05-28,80.98140506626439,81.86887592664597,78.42994768100439,81.66549682617188,2004682.0,[],[],[]
2023-06-04,81.83189392089844,83.89892001956818,80.55616825668895,83.78559875488281,3133585.0,[],[],[]
2023-06-11,84.14445998827917,84.82442057912854,83.33228994707156,84.50333404541016,1827109.0,[],[],['hanging_man']
2023-06-18,84.8999644428953,88.03532124284652,84.7866359807714,86.44876098632812,3047049.0,[],[],['shooting_star']
2023-06-25,86.10878150164038,86.48653587625046,81.63240142239239,82.18013763427734,2268558.0,[],[],[]
2023-07-02,82.31236267089844,86.05211812570738,81.57573844303894,85.74991607666016,2331466.0,[],[],[]
2023-07-09,86.03322836267576,86.03322836267576,82.01015756349732,82.9167709350586,1858688.0,[],[],[]
2023-07-16,82.72788970030206,87.204259053199,82.50123996116879,86.76984405517578,1824156.0,[],[],[]
2023-07-23,86.48653268114283,87.14759344521326,84.06890527272839,85.46659088134766,1768482.0,[],[],[]
2023-07-30,84.88108032439384,86.86428082286758,84.10668285077001,86.08989715576172,2259374.0,[],[],[]
