Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-12-04,5715.15517673967,5891.61115780605,5637.248482614244,5827.68017578125,2722989.0,[],[],[]
2022-12-11,5823.683716696116,5923.575715149341,5781.729823944791,5839.6669921875,2280102.0,[],[],[]
2022-12-18,5807.701600745603,6029.460879703443,5575.95293926913,5619.9052734375,2126099.0,[],[],[]
2022-12-25,5623.90094601181,5719.796445920047,5462.0770197184775,5599.92724609375,2015860.0,[],[],[]
2023-01-01,5649.8722839894845,5841.664459449276,5617.156085351578,5799.7099609375,1089560.0,[],[],[]
2023-01-08,5857.647515373153,6658.778634496538,5841.664848209788,6474.97802734375,2339508.0,[],[],[]
2023-01-15,6431.026120852863,6628.811345152548,6165.313746184767,6576.86767578125,2301817.0,[],[],[]
2023-01-22,6566.878957624783,6648.790167775091,6347.1166632577015,6429.02783203125,1804804.0,[],[],[]
2023-01-29,6449.006072894085,6628.8115234375,6415.043208136109,6628.8115234375,2160160.0,[],[],[]
2023-02-05,6590.852503954432,6976.873608123334,6538.908565683789,6972.4384765625,2004333.0,[],[],[]
2023-02-12,6932.482131778493,6958.45396685432,6650.787046797177,6722.7099609375,2270201.0,[],[],[]
2023-02-19,6738.692321325231,6898.518800174619,6692.742151331018,6882.5361328125,1120017.0,[],[],[]
2023-02-26,6890.527836440431,6936.477545907564,6714.718168174952,6834.58837890625,1397499.0,[],[],[]
2023-03-05,6894.5230423328485,6954.458135942035,6780.646874600355,6890.5283203125,1803711.0,[],[],[]
2023-03-12,6904.511659129452,7074.32782154132,6864.555174099455,6960.451171875,1556082.0,[],[],['shooting_star']
2023-03-19,6962.449319699643,6978.431986717605,6510.939021703501,6570.8740234375,2077893.0,[],[],[]
2023-03-26,6528.9195782097395,6960.451486322398,6415.043073938639,6686.74853515625,1656625.0,[],[],[]
2023-04-02,6764.663514864802,6770.657044636718,6107.376918215243,6564.88037109375,2646488.0,[],[],[]
2023-04-09,6568.87591904642,6574.869418972557,6299.168758612204,6371.09033203125,2053353.0,[],[],[]
2023-04-16,6419.038420892988,6556.88916015625,6411.0470876581385,6556.88916015625,2311653.0,[],[],[]
2023-04-23,6580.863286638757,6786.64013671875,6488.962949302575,6786.64013671875,1680131.0,[],[],[]
2023-04-30,6778.649308760868,6910.506324492733,6646.7918920681095,6732.69873046875,1538911.0,[],[],[]
