Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-06-05,5.400000095367432,5.567999839782715,5.210000038146973,4.417756080627441,11425464,[],[],[]
2022-06-12,5.50600004196167,5.736000061035156,5.131999969482422,4.234569072723389,13110699,[],[],[]
2022-06-19,5.099999904632568,5.099999904632568,4.440000057220459,3.6539306640625,20892402,[],[],[]
2022-06-26,4.4710001945495605,4.623000144958496,4.0929999351501465,3.383239269256592,11697156,[],[],[]
2022-07-03,4.24399995803833,4.426000118255615,3.8529999256134033,3.169793128967285,18337980,[],[],[]
2022-07-10,3.900000095367432,3.953999996185303,3.630000114440918,3.091284275054932,17955795,[],[],[]
2022-07-17,3.7100000381469727,3.920000076293945,3.5810000896453857,3.091284275054932,15413927,[],[],[]
2022-07-24,3.8350000381469727,4.111999988555908,3.783999919891357,3.333353281021118,12761539,[],[],[]
2022-07-31,4.03000020980835,4.309999942779541,3.992000102996826,3.496913194656372,13406767,[],[],[]
2022-08-07,4.276000022888184,4.348999977111816,4.038000106811523,3.5018200874328613,17070133,[],[],[]
2022-08-14,4.335999965667725,4.402999877929688,4.191999912261963,3.487917184829712,11355555,[],[],[]
2022-08-21,4.2820000648498535,4.3379998207092285,4.056000232696533,3.328446388244629,9436429,[],[],[]
2022-08-28,4.050000190734863,4.144000053405762,3.9030001163482666,3.28019642829895,9376799,[],[],[]
2022-09-04,3.950000047683716,4.109000205993652,3.70199990272522,3.1861491203308105,15123303,[],[],[]
2022-09-11,3.799999952316284,3.9170000553131104,3.703000068664551,3.1526193618774414,9115010,[],[],[]
2022-09-18,3.8980000019073486,4.015999794006348,3.5799999237060547,3.0185000896453857,14445997,[],[],[]
2022-09-25,3.690000057220459,3.736000061035156,3.5230000019073486,2.9309957027435303,9163683,[],[],[]
2022-10-02,3.5369999408721924,3.696000099182129,3.4730000495910645,2.895012617111206,11162300,[],[],[]
2022-10-09,3.5,3.865000009536743,3.463000059127808,2.9776101112365723,9489992,[],[],[]
2022-10-16,3.5829999446868896,3.796000003814697,3.5829999446868896,3.058572292327881,10090693,[],[],[]
2022-10-23,3.7309999465942383,3.911999940872192,3.711999893188477,3.1975982189178467,8226034,[],[],[]
2022-10-30,3.937999963760376,4.125999927520752,3.857000112533569,3.28019642829895,9358120,[],[],[]
2022-11-06,3.990000009536743,4.738999843597412,3.961999893188477,3.783961057662964,25066602,[],[],[]
2022-11-13,4.623000144958496,4.879000186920166,4.599999904632568,3.909902334213257,17004680,[],[],[]
2022-11-20,4.798999786376953,4.875,4.659999847412109,3.83302903175354,7124511,[],[],[]
2022-11-27,4.699999809265137,4.745999813079834,4.610000133514404,3.8297579288482666,5694047,[],[],[]
2022-12-04,4.656000137329102,4.882999897003174,4.610000133514404,3.941796779632568,8655121,[],[],[]
2022-12-11,4.8429999351501465,4.919000148773193,4.755000114440918,3.9785971641540527,5791935,[],[],[]
2022-12-18,4.840000152587891,4.986000061035156,4.434999942779541,3.66374444961548,12697088,[],[],[]
2022-12-25,4.460000038146973,4.817999839782715,4.460000038146973,3.894364595413208,7880256,[],[],[]
2023-01-01,4.764999866485596,4.815000057220459,4.723999977111816,3.869012117385864,4174829,[],[],[]
2023-01-08,4.760000228881836,4.894999980926514,4.4070000648498535,3.7913215160369873,16416782,[],[],[]
2023-01-15,4.710999965667725,5.107999801635742,4.676000118255615,4.162602424621582,13946601,[],[],[]
2023-01-22,5.090000152587891,5.300000190734863,5.01200008392334,4.27218770980835,5992562,[],[],[]
2023-01-29,5.223999977111816,5.357999801635742,5.104000091552734,4.368688106536865,7116693,[],[],[]
2023-02-05,5.329999923706055,5.355999946594238,5.050000190734863,4.178958415985107,8296200,[],[],[]
2023-02-12,5.019999980926514,5.447999954223633,4.864999771118164,4.448832035064697,14049422,[],[],[]
2023-02-19,5.46999979019165,5.585999965667725,5.150000095367432,4.5486040115356445,9788644,[],[],[]
2023-02-26,5.570000171661377,5.633999824523926,5.420000076293945,4.538790702819824,7206834,[],[],[]
2023-03-05,5.565999984741211,5.823999881744385,5.559999942779541,4.744875907897949,7576785,[],[],[]
2023-03-12,5.802000045776367,5.958000183105469,5.611999988555908,4.646740436553955,8321030,[],[],[]
2023-03-19,5.676000118255615,5.699999809265137,5.093999862670898,4.218212604522705,11332947,[],[],[]
2023-03-26,5.142000198364258,5.435999870300293,4.998000144958496,4.151153564453125,9366479,[],[],[]
2023-04-02,5.110000133514404,5.363999843597412,4.991000175476074,4.39540433883667,9182579,[],[],[]
