Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2017-03-05,428.1811566721241,428.6790804080353,413.1451438185823,423.003173828125,3521481.0,[],[],[]
2017-03-12,423.0031996157665,425.9905104333595,408.1662432629425,409.2615966796875,5472049.0,[],[],[]
2017-03-19,409.0624677999486,428.0816844272771,405.9756038735011,421.2108459472656,5893801.0,[],[],[]
2017-03-26,422.2065784138953,424.89523811719386,400.2001601698723,409.2615966796875,4173626.0,[],[],[]
2017-04-02,408.56451785601274,417.62610617410695,404.78060309441537,416.0328674316406,4771216.0,[],[],[]
2017-04-09,416.9290876212519,428.0816064005865,414.59895540238165,425.8909301757813,5151272.0,[],[],[]
2017-04-16,418.0243753937963,433.95668412801854,418.0243753937963,430.1728515625,2759183.0,[],[],[]
2017-04-23,430.86986666462104,454.2705297153379,424.994796960697,447.3996887207031,4846453.0,[],[],[]
2017-04-30,450.08825802880705,466.71755429809247,442.5203962851353,465.4230346679688,6376345.0,[],[],[]
2017-05-07,463.033239458562,472.3935119626778,462.4198475617684,467.016357421875,3665001.0,[],[],[]
2017-05-14,467.21540838638384,488.7240517461489,465.9208888423307,467.1158752441406,6848691.0,[],[],['shooting_star']
2017-05-21,469.8044721183853,476.3765629697333,456.26199020989054,470.9993896484375,5131601.0,[],[],[]
2017-05-28,471.3976122580895,481.45500547297377,460.0459128355305,468.2112426757813,5958485.0,[],[],[]
2017-06-04,466.51838757597835,469.00781333678935,452.87634550396643,458.7514343261719,4296074.0,[],[],[]
2017-06-11,458.6518486064672,467.0161884683909,447.49913917896237,463.8297119140625,6001684.0,[],[],[]
2017-06-18,462.2365257984988,467.0162617065422,448.4949497959416,448.893310546875,7519401.0,[],[],[]
2017-06-25,451.3826630123294,451.78099544151956,417.62601460467346,421.0116271972656,1016288.0,[],[],[]
2017-07-02,422.10699539629013,430.47148513088405,415.53495555673805,425.3931274414063,1080846.0,[],[],[]
2017-07-09,420.21500928212555,426.09004717306317,408.6104378559369,411.1997375488281,5469809.0,[],[],[]
2017-07-16,411.29932124774825,413.78906670677617,401.04177308056006,411.79730224609375,3652966.0,[],[],[]
2017-07-23,412.2951752887665,417.97175771710556,406.4194595364357,408.8095703125,5381967.0,[],[],[]
2017-07-30,405.42357939837206,432.611172679274,403.9297440221428,426.7354736328125,4656742.0,[],[],[]
2017-08-06,426.1379446725901,436.2960356218901,418.66876130857065,425.4408264160156,4495246.0,[],[],[]
2017-08-13,425.9388229105094,435.83786624461817,405.921593247872,409.3075866699219,3740490.0,[],[],[]
2017-08-20,410.30341115693665,419.1667726864876,406.4194771782503,415.3824157714844,4646099.0,[],[],[]
2017-08-27,415.1832768896782,417.37425712735137,406.02120555372227,413.29107666015625,2874969.0,[],[],[]
2017-09-03,411.6976248072273,415.0756549484445,404.228496464451,408.3116760253906,2319677.0,[],[],[]
2017-09-10,408.9092014228065,413.09188805966875,398.4464584015279,403.7306213378906,2730101.0,[],[],[]
2017-09-17,408.41123101169893,415.4820643035474,406.1208273536709,409.20806884765625,6399533.0,[],[],[]
2017-09-24,409.2079885958268,416.6770697640502,404.029322970252,413.29107666015625,4592670.0,[],[],[]
2017-10-01,413.3907070446634,439.9807177495389,412.49441914359613,437.5906066894531,3688707.0,[],[],[]
2017-10-08,437.39146320961083,445.8564976602644,433.9058755987616,442.7692565917969,2712963.0,[],[],[]
2017-10-15,442.37083845693803,451.3337575842737,434.20459979957315,450.23828125,3101237.0,[],[],[]
2017-10-22,448.5453501995609,471.9484867836493,447.94781478333016,471.7493286132813,4830586.0,[],[],[]
2017-10-29,470.25551184482265,474.16932097129427,454.0226291993305,463.6827087402344,2870835.0,[],[],[]
2017-11-05,464.3798119032098,480.71228920402814,460.19712771446177,469.6580505371094,2797706.0,[],[],[]
2017-11-12,468.16417900908976,473.34274766873165,446.1552185922807,457.9066162109375,2129321.0,[],[],[]
2017-11-19,448.7444814294431,455.6161316011851,436.9930138407621,442.7692565917969,2831471.0,[],[],[]
2017-11-26,448.64486804046874,471.5501578241683,447.15104495043386,461.3922119140625,3725972.0,[],[],[]
2017-12-03,462.487642828223,494.95334715053264,453.82351701250735,474.5377807617188,4954713.0,[],[],[]
2017-12-10,477.3262952508022,483.50072157144297,464.67865722445015,481.210205078125,5533290.0,[],[],[]
2017-12-17,483.0028171371559,493.0612100757249,478.2225952274078,482.60443115234375,5268702.0,[],[],[]
2017-12-24,483.9986762070074,497.44312205708525,479.616801266231,490.1731567382813,2564957.0,[],[],[]
2017-12-31,491.4678429354455,491.6670287690983,484.39707356457757,488.6793823242188,680070.0,[],[],[]
2018-01-07,492.16498868631356,492.36414688845036,479.12662989269296,483.1110534667969,3740459.0,[],[],[]
2018-01-14,483.50948401697036,512.9942905201631,481.3180706982856,510.005859375,4377066.0,[],[],[]
2018-01-21,513.4922528904895,513.4922528904895,480.9196164754945,491.0799255371094,3563940.0,[],[],[]
2018-01-28,492.47450034438924,514.986385345459,485.70099582976053,509.5078430175781,7617344.0,[],[],[]
2018-02-04,511.50005180194006,517.9747360019646,486.4978116646486,488.8884582519531,4584974.0,[],[],[]
2018-02-11,485.70094335936966,488.6892592162993,462.9897348692681,466.1772766113281,5654999.0,[],[],[]
2018-02-18,474.9430309479293,482.7126711171925,464.38428086649736,473.1499938964844,3726201.0,[],[],[]
2018-02-25,471.15783275376197,485.7009407322724,471.15783275376197,481.1188354492188,4023261.0,[],[],[]
2018-03-04,485.7009332352289,492.47444333227014,474.5445964167102,477.3337097167969,4430917.0,[],[],[]
2018-03-11,480.32194512099426,505.5234591292576,480.1227119192166,504.0292053222656,3511299.0,[],[],[]
2018-03-18,505.0253579339749,515.9825213284171,485.9001134932139,497.2557373046875,4935008.0,[],[],[]
2018-03-25,495.06436737286236,495.4628034398966,466.37655343467526,475.7398681640625,4406644.0,[],[],[]
2018-04-01,478.3297695845652,481.71646716631494,465.9780218921353,468.5679016113281,2828334.0,[],[],[]
2018-04-08,465.9780099069679,478.72817084249726,458.4076817267824,472.1539001464844,2873493.0,[],[],[]
2018-04-15,471.9547119140625,492.872821577265,469.3648622723168,485.9000854492188,2029546.0,[],[],[]
2018-04-22,485.30251625863986,518.4726675288739,478.92745828912325,517.4765625,3040863.0,[],[],[]
2018-04-29,520.9630621990175,522.95527276192,503.53113076853197,513.990234375,2325990.0,[],[],[]
2018-05-06,511.99818598380733,529.9279748095055,511.50013327370635,524.9474487304688,2724870.0,[],[],[]
2018-05-13,524.4494293212891,550.8461819477482,524.4494293212891,546.3637084960938,3118728.0,[],[],[]
2018-05-20,545.8656962263475,552.8383923707056,538.8929592307554,546.3637084960938,2341428.0,[],[],[]
2018-05-27,550.34814453125,556.3247606108812,496.25963482044745,509.5078430175781,5410205.0,[],[],[]
2018-06-03,508.5117249766937,508.5117249766937,474.74381812724545,481.7165222167969,6783513.0,[],[],[]
2018-06-10,484.7049050116235,491.8767655958653,472.9508217307642,477.3337097167969,3884941.0,[],[],[]
2018-06-17,483.9079310588373,488.88843013727524,472.75154380191896,482.1149597167969,7075056.0,[],[],[]
2018-06-24,479.7243608385882,491.07989002406293,473.74771570788926,483.509521484375,3164981.0,[],[],[]
2018-07-01,480.9196472167969,484.5055796141231,468.5679195611474,477.7321166992188,3685174.0,[],[],[]
2018-07-08,475.9390743515543,517.0344068309929,467.37259355542966,511.5552368164063,5271530.0,[],[],[]
2018-07-15,515.5399959994547,525.0039571514567,510.0608552631579,516.5362548828125,3673870.0,[],[],[]
2018-07-22,515.0418551114711,518.5285988114521,499.6005875788837,500.09869384765625,3700019.0,[],[],[]
2018-07-29,499.1024862098126,508.56650540939984,493.3244357063933,494.3206481933594,3017226.0,[],[],[]
2018-08-05,494.71915106796274,504.58169898833614,481.3698858628005,494.9183044433594,2638592.0,[],[],[]
2018-08-12,495.31690438050026,504.58165026660936,481.76839132463243,498.6043701171875,2375465.0,[],[],[]
2018-08-19,496.7115815954664,498.60437935277037,482.56533384894453,484.9562377929688,1838457.0,[],[],[]
2018-08-26,484.9562236749234,495.5161010848795,478.18205151146145,478.77978515625,1964010.0,[],[],[]
2018-09-02,480.37373067744267,482.96385913092524,462.0433524789553,463.6372985839844,2387740.0,[],[],[]
2018-09-09,461.4456330848011,473.7987455132761,455.8669208163909,462.24267578125,3049304.0,[],[],[]
2018-09-16,456.4645876995978,464.63354307587076,447.4987268689151,453.6751708984375,3138481.0,[],[],[]
2018-09-23,451.8820636934465,476.58799700806316,450.6865963537771,467.02447509765625,3681423.0,[],[],[]
2018-09-30,466.22746721098696,480.9714533675306,466.2274553497855,476.9866027832031,3216381.0,[],[],[]
2018-10-07,478.1820308957536,478.1820308957536,457.6600267469365,471.4078063964844,2967228.0,[],[],[]
2018-10-14,470.21234960178015,471.00930752505263,436.73955759338617,436.9388122558594,3255526.0,[],[],[]
2018-10-21,435.7433732494993,440.1266269464788,423.9881062594359,430.3638610839844,2909718.0,[],[],[]
2018-10-28,430.76235167616585,434.74720234921455,405.8569729276649,406.6539611816406,2520264.0,[],[],[]
2018-11-04,411.23651377228776,439.130426024825,404.4622808353501,424.9842224121094,4586956.0,[],[],[]
2018-11-11,422.59339461317603,436.3410523261012,419.0070543514713,434.5478820800781,2068187.0,[],[],[]
2018-11-18,435.1455770319121,440.32588568748844,396.29333612106285,398.4850158691406,3352355.0,[],[],[]
