Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2017-03-05,613.57529925949,615.4034333365304,581.7629051971436,613.9409790039062,3934705.0,[],[],[]
2017-03-12,612.1126267500424,613.2096027836446,588.3449063333286,605.53076171875,2787484.0,[],[],[]
2017-03-19,606.9934432472339,613.6434253125482,581.4825855671537,589.2455444335938,3179980.0,[],[],[]
2017-03-26,587.7667637202943,588.5060929828356,538.6014037841634,567.8049926757812,4936640.0,[],[],[]
2017-04-02,568.5442547999028,576.3071601509049,561.1509547487518,570.7623291015625,2935738.0,[],[],[]
2017-04-09,572.9803374622968,573.3500021961435,526.0328599510087,548.212646484375,4193548.0,['engulfing'],[],[]
2017-04-16,548.5823125677155,558.193603515625,540.0802403500205,558.193603515625,1385749.0,[],[],[]
2017-04-23,525.6631241132194,538.2318378523285,479.45504358287315,519.0092163085938,8790391.0,[],[],[]
2017-04-30,526.7721066654025,546.3644220676551,518.6395021407942,545.6251220703125,2884512.0,[],[],[]
2017-05-07,545.255357925206,553.7577115101029,526.4025666907388,552.279052734375,2788135.0,[],[],[]
2017-05-14,554.497051956062,567.8050077781845,485.0001004071303,506.0709228515625,9139732.0,['engulfing'],[],[]
2017-05-21,512.7249740226762,512.7249740226762,478.0807223588389,502.8089904785156,5434886.0,[],[],[]
2017-05-28,505.0569308646856,506.555616119477,467.9646249920177,469.8379821777344,2877182.0,[],[],[]
2017-06-04,466.8405351765951,476.95659170432367,448.8563091023764,469.4631652832031,5525289.0,[],[],[]
2017-06-11,480.70341319717664,484.4501661621094,465.71655697902617,470.9619140625,3137645.0,[],[],[]
2017-06-18,473.5846662194558,505.0571867581668,469.46328233194276,471.33663940429693,4316601.0,[],[],[]
2017-06-25,474.3339811052595,489.69560675987833,464.5925750124502,470.212646484375,2619208.0,[],[],[]
2017-07-02,471.33663940429693,475.45802496347596,451.1043043870192,455.2257690429688,3246772.0,[],[],[]
2017-07-09,457.09913276014356,508.8037463496195,456.72446133984835,506.9303894042969,4833819.0,[],[],[]
2017-07-16,508.8037260456709,508.8037260456709,487.8221740722656,487.8221740722656,3075664.0,[],[],[]
2017-07-23,487.8221382834695,545.146914336641,485.9488745601372,523.041259765625,4355670.0,[],[],[]
2017-07-30,523.7906080448057,543.2734750730568,511.80112345436663,542.8988037109375,2803032.0,[],[],[]
2017-08-06,543.2735269000422,566.1284604297524,535.7801502674549,563.8804321289062,3255601.0,[],[],[]
2017-08-13,563.5057607454319,566.5031318132267,486.6980895996094,514.4238891601562,9441479.0,[],[],[]
2017-08-20,508.42906424782495,511.05176391601566,469.116168247043,471.3953857421875,5340518.0,[],[],[]
2017-08-27,473.2945925644021,500.26405460849134,464.55801501305274,495.3259887695313,3963795.0,[],[],[]
2017-09-03,495.3259476792975,511.6595994408451,487.3490755409117,509.0006408691406,3148356.0,[],[],[]
2017-09-10,506.721467464342,506.721467464342,475.1938348663258,484.6900634765625,2597305.0,[],[],[]
2017-09-17,487.72890787124635,490.7677172660828,478.9923533209646,482.4109802246094,2385148.0,[],[],[]
2017-09-24,483.17070867890993,486.2094827159271,466.077469461782,484.6900634765625,3349901.0,[],[],[]
2017-10-01,484.3102550728894,490.3878739600786,453.9221630080633,472.15509033203125,5979166.0,[],[],[]
2017-10-08,474.81402480382746,479.7520906617873,465.3177443077509,467.9767456054688,2867996.0,[],[],[]
2017-10-15,468.7364553677834,480.89168826016515,450.1236888248643,450.5035400390625,3749525.0,[],[],[]
2017-10-22,450.503514690842,452.78258026665696,431.8907200863487,441.3870544433594,4606093.0,[],['hammer'],[]
