Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2017-03-05,339.54895382782365,343.28863525390625,337.05608922533133,343.28863525390625,242605.0,[],[],[]
2017-03-12,340.04759278771473,343.03923230580517,335.58689250214616,338.0801086425781,390511.0,[],[],[]
2017-03-19,339.3267167127941,340.7757768553509,336.58428955078125,338.8280944824219,286042.0,[],[],[]
2017-03-26,338.08015309307115,340.57336956130916,332.09637451171875,333.0936584472656,522054.0,[],[],[]
2017-04-02,329.3538826992023,336.3238566138467,326.1127014160156,333.0936584472656,563110.0,[],[],[]
2017-04-09,333.0936941123871,336.83354934924864,324.1181343297915,335.4622802734375,820680.0,[],[],[]
2017-04-16,334.3403722651871,344.0639038085937,333.5924072265625,344.0639038085937,516308.0,[],[],[]
2017-04-23,343.06661566602844,344.5625456762001,335.03841167328306,336.58428955078125,454716.0,[],[],[]
2017-04-30,342.5679189248327,344.0638434878212,337.08286650577594,340.8226623535156,515347.0,[],[],[]
2017-05-07,339.57606986922,344.81186881687324,339.57606986922,344.0639038085937,218817.0,[],[],[]
2017-05-14,344.56254141990473,351.0449853742408,339.07746478369785,348.427001953125,441453.0,[],[],[]
2017-05-21,348.05301948233455,352.0421473102919,338.57879638671875,346.5570373535156,350073.0,[],[],[]
2017-05-28,344.5624694824219,354.0640627067528,342.56789657659016,353.3160400390625,256348.0,[],[],[]
2017-06-04,351.5706538144517,356.05884539600817,348.0798645019531,348.0798645019531,333331.0,[],[],[]
2017-06-11,350.0745664943348,353.315960869485,344.5890197753906,349.9498596191406,320350.0,[],[],[]
2017-06-18,351.8199835507966,357.55483515597433,347.08250680560514,353.3160400390625,315338.0,[],[],[]
2017-06-25,354.06398295027964,360.8011779785156,355.2488389011462,356.5574645996094,284556.0,[],[],['shooting_star']
2017-07-02,358.5521545410156,359.9414573546806,349.6008676312715,350.57330322265625,192845.0,[],[],[]
2017-07-09,350.5734163348595,355.310767500664,349.3265439163555,353.3160400390625,299917.0,[],[],[]
2017-07-16,353.56533794175215,358.0535035968575,352.06929278826095,355.0615539550781,376115.0,[],[],[]
2017-07-23,357.55482813695096,362.54162043175984,355.06141929359706,359.5495300292969,337943.0,[],[],[]
2017-07-30,357.80405882512173,362.79099810486684,353.0666991498324,353.3160400390625,396587.0,[],[],[]
2017-08-06,356.557366934811,360.04823048643766,353.066650390625,357.9288330078125,305901.0,[],[],[]
2017-08-13,361.0455322265625,361.5443302223132,352.0692322461211,356.0586853027344,252917.0,[],[],[]
2017-08-20,358.80152623668386,366.0322628491545,354.56273127766815,358.0804443359375,336098.0,[],[],[]
2017-08-27,359.07779198810147,365.0625915527344,356.83355578817583,365.0625915527344,298632.0,[],[],[]
2017-09-03,361.07278337149785,366.55867285189595,359.77612533073494,365.1871948242188,152211.0,[],[],[]
2017-09-10,361.57156032520334,366.55873178856643,356.0855672087178,358.8284912109375,240922.0,[],[],[]
2017-09-17,361.0729046643479,363.3170245378259,351.0983581542969,351.0983581542969,295848.0,[],[],[]
