Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-12-02,276.363639110851,279.3636280433715,275.9090936517871,279.0909118652344,1916344.0,[],[],[]
2025-12-03,279.090889420751,279.2727186870551,275.5454406738281,275.5454406738281,1570302.0,[],[],[]
2025-12-04,273.63636087670767,275.36362803791013,270.18182655430275,275.0909118652344,2211503.0,[],[],[]
2025-12-05,275.45452604067606,278.3636278420364,274.9999806181667,275.5454406738281,1280005.0,[],[],[]
2025-12-08,275.72725610318787,276.81817626953125,274.2727328723997,276.81817626953125,1220144.0,[],[],[]
2025-12-09,277.8181901447937,278.09090632294675,276.54546840799077,277.4545593261719,1407950.0,[],[],['hanging_man']
2025-12-10,277.4545455339659,280.2727050456347,276.18179611717795,279.4545288085937,1934093.0,[],[],[]
2025-12-11,279.45453446867754,286.0909146218719,278.81818749064666,285.18182373046875,1775042.0,[],[],[]
2025-12-12,286.09091453903403,286.63634687911616,280.7272560867067,281.0,1517977.0,[],[],[]
2025-12-15,281.81815689748834,283.99996933772206,281.81815689748834,282.3636169433594,2466268.0,[],[],[]
2025-12-16,282.72727552136337,284.1818265389342,280.4545482261756,280.7272644042969,1877111.0,[],[],[]
2025-12-17,281.5454490289895,282.81817067796396,280.09089811162534,282.09088134765625,1760997.0,[],[],[]
2025-12-18,282.1817988371001,283.7272644042969,280.7272479050181,283.7272644042969,1599292.0,[],[],[]
2025-12-19,284.1818127421372,287.54543232976226,284.1818127421372,287.0,2936891.0,[],[],[]
2025-12-22,287.1817904455894,287.272705078125,285.72723955477153,287.272705078125,845870.0,[],[],['hanging_man']
2025-12-23,287.9999695982016,289.7272644042969,286.5454464357544,289.7272644042969,1292593.0,[],[],[]
2025-12-29,290.9090937008648,291.0000083412969,288.81819568719106,289.0909118652344,1452730.0,[],[],[]
2025-12-30,289.63636092683885,292.99998054861925,289.1818154852535,291.9090881347656,1543931.0,[],[],[]
2026-01-02,292.7272727272727,296.90909645774144,291.90909645774144,295.81817626953125,1776400.0,[],[],[]
2026-01-05,295.8181734883686,296.8181790276175,292.27272452489746,295.0909118652344,1082302.0,[],[],[]
2026-01-07,297.9999917139007,299.2727411932368,293.5454517659836,294.0909118652344,2714073.0,[],[],[]
2026-01-08,294.5454490240702,296.72726161633875,292.727267239971,296.0,1877918.0,[],[],[]
2026-01-09,296.81817075814286,297.90909090570324,293.9090688601498,297.81817626953125,1714355.0,[],[],['hanging_man']
2026-01-12,297.636360863734,298.7272810621191,293.27273555669973,297.4545593261719,1818250.0,[],[],[]
2026-01-13,299.54543799493797,301.7272505075559,297.90908554628743,301.272705078125,2291967.0,[],[],[]
2026-01-14,301.3636115444475,303.1817932128906,300.3636060781537,303.1817932128906,2903235.0,[],[],[]
2026-01-15,321.3636335267143,323.7272754181356,312.09089523854345,314.2727355957031,6030983.0,[],[],[]
2026-01-16,314.5454324847471,317.0908757543753,313.81817090578215,316.4545288085937,4229307.0,[],[],[]
2026-01-19,311.81817903574444,314.545451738681,307.63635534259123,310.9090881347656,2519400.0,[],[],[]
2026-01-20,309.3636059199655,311.45453152606814,307.9999696416055,310.5454406738281,2060438.0,[],[],[]
2026-01-21,309.36360339311443,315.3636085175411,308.2727110252874,313.9090576171875,2710189.0,[],[],[]
2026-01-22,317.6363553125935,319.99999720422977,315.9090881490621,317.5454406738281,3160381.0,[],[],[]
2026-01-23,317.99996906850134,318.454514494696,311.3636169433594,311.3636169433594,2509502.0,[],[],[]
2026-01-26,312.454545496361,315.545448929255,312.454545496361,313.6363525390625,2095810.0,[],[],[]
2026-01-27,316.1818098335492,319.7272866044321,315.72726437505173,319.0909118652344,2619320.0,[],[],[]
2026-01-28,319.99998873630295,320.09090337266247,312.7272617195688,315.272705078125,3113371.0,[],[],[]
2026-01-29,319.9999971751158,321.81817897724716,313.2727300558804,314.2727355957031,6257921.0,[],[],[]
2026-01-30,317.0000055166422,320.27271053715253,314.99999445455046,315.18182373046875,3666998.0,[],[],[]
2026-02-02,314.5454491083742,321.18180153272397,312.00000570422014,321.0,3635868.0,[],[],[]
