Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2017-03-05,433.98326637243406,441.16594145046855,426.44571021406693,432.1210021972656,10691723.0,[],[],[]
2017-03-12,430.96816620211854,438.06224033571965,429.1060403360102,431.4116516113281,7457267.0,[],[],[]
2017-03-19,433.6285510948057,435.6680728989843,392.83714281514875,406.8480529785156,28294903.0,[],[],[]
2017-03-26,408.7990902203291,409.50843720807075,389.10404876264613,397.3597717285156,16393345.0,[],[],[]
2017-04-02,394.6995049155636,417.2233386430549,393.4580172297641,411.90277099609375,20287944.0,[],[],[]
2017-04-09,411.10461949968686,413.94229679659384,393.5467439790781,399.3106689453125,12606372.0,[],[],[]
2017-04-16,401.35026538950945,404.54264260712233,393.9404471720781,404.0105590820313,7199086.0,[],[],[]
2017-04-23,405.34063307284663,408.7991007709051,394.4121788214883,406.4048767089844,8834857.0,[],[],[]
2017-04-30,411.90269191518587,416.4251882897456,402.7689657661219,406.2273559570313,13685307.0,[],[],[]
2017-05-07,407.6462676047178,414.5630964171653,398.9559211637844,404.3652038574219,8114743.0,[],[],[]
2017-05-14,405.1633998451571,418.28743412185804,402.5917639328112,411.1933898925781,10396162.0,[],[],[]
2017-05-21,411.9026901440837,420.6817296526637,409.3311704081237,417.9327392578125,10667882.0,[],[],[]
2017-05-28,418.55348546286694,431.5002387291079,417.0459562207294,426.2683410644531,9301068.0,[],[],[]
2017-06-04,425.6476383054683,431.8549266565478,413.7650152795312,414.5630798339844,7479131.0,[],[],[]
2017-06-11,415.00648287996904,416.51392120796714,402.2370176734313,409.6858215332031,7421435.0,[],[],[]
2017-06-18,409.597145612893,423.1646585665636,403.74443041044464,414.917724609375,14235704.0,[],[],[]
2017-06-25,415.1837229501651,432.112084449997,414.3635238117268,425.824951171875,1990262.0,[],[],[]
2017-07-02,425.47025225797,428.57397141169434,409.24244087308733,414.38568115234375,1329775.0,[],[],[]
2017-07-09,413.9422359405437,423.785436708024,410.48388899193844,422.8986511230469,6417457.0,[],[],[]
2017-07-16,423.16465285711564,425.5588765481411,409.24240030308033,414.1195983886719,9577622.0,[],[],[]
2017-07-23,416.2478114052598,428.307861328125,409.15367972188795,428.307861328125,8398876.0,[],[],[]
2017-07-30,425.73624570514585,436.1114660630649,425.47021663690026,427.06640625,8773472.0,[],[],[]
2017-08-06,428.66260776976145,444.7130409368929,428.66260776976145,435.845458984375,6565337.0,[],[],[]
2017-08-13,434.87004260057273,443.294196862226,410.7499518945664,420.6817321777344,13332158.0,[],[],[]
2017-08-20,424.0514115657992,426.17967280777077,411.13128760137005,415.8931274414063,9003732.0,[],[],[]
2017-08-27,414.29699560704745,418.46480615408,407.3802901886135,412.52349853515625,7802212.0,[],[],[]
2017-09-03,410.04049870718603,444.71292891241967,405.69529253867563,439.658447265625,9086532.0,[],[],[]
2017-09-10,438.94902387205804,443.82622242842774,425.621012037862,436.2887878417969,10109338.0,[],[],[]
2017-09-17,437.53026350862336,444.44704691536464,427.5099610039465,430.1702270507813,10646962.0,[],[],[]
2017-09-24,431.94365501739793,437.6189896939758,424.59244710924474,435.5794677734375,5223701.0,[],[],[]
2017-10-01,438.151032046183,465.9955227443338,435.0473433768577,464.6653747558594,11457679.0,[],[],[]
2017-10-08,464.66527466133687,479.29684759537764,461.11813315448956,478.853515625,7848438.0,[],[],[]
2017-10-15,470.8726760773969,480.18371109033757,468.2612740344944,475.7994995117188,5975867.0,[],[],[]
2017-10-22,476.2428894042969,479.79043030640565,473.13893786138624,478.0166015625,7251932.0,[],[],[]
2017-10-29,477.5732671403531,481.5641353627645,470.03496261009906,472.6955261230469,5829967.0,[],[],[]
2017-11-05,473.58238085473073,485.5550322987121,431.2791889025582,443.4291687011719,15513439.0,[],[],[]
2017-11-12,442.54231762220513,449.66382158308477,422.80081172633913,431.6339111328125,8124319.0,[],[],[]
2017-11-19,425.69203656884366,434.56060960315966,420.7255720508856,430.4811401367188,6990447.0,[],[],[]
2017-11-26,431.45667837798237,436.24571706953947,425.07121544802567,430.3036804199219,5475599.0,[],[],[]
2017-12-03,422.41069278133375,451.4108852893279,422.2332683303759,447.8634643554688,10906448.0,[],[],[]
2017-12-10,450.96754762818307,455.8452556472717,441.74415292131704,446.0897216796875,16398410.0,[],[],[]
2017-12-17,447.86348494250217,456.732083901768,442.0102598706699,452.2977294921875,8482106.0,[],[],[]
2017-12-24,454.958380109854,474.0257934509438,454.958380109854,465.1571960449219,5299164.0,[],[],[]
2017-12-31,463.8269546882327,475.35613698803957,462.0531985945564,471.8087158203125,1813964.0,[],[],[]
2018-01-07,474.4692415476808,477.83923231934307,459.3926594427258,470.9217834472656,5962149.0,[],[],[]
2018-01-14,468.6160664463623,473.22768479910656,465.4233196236159,470.21240234375,6319555.0,[],[],[]
2018-01-21,471.98598185472747,483.1604805056673,468.43865159646913,480.67724609375,6365143.0,[],[],[]
2018-01-28,481.9187425609219,494.6896106452426,476.9525311137086,490.0779724121094,8844769.0,[],[],[]
2018-02-04,493.09324729894274,496.9954073418968,468.615951201452,470.034912109375,9571469.0,[],[],[]
2018-02-11,468.4385448355126,497.17275167370354,448.92767162971154,477.6619567871094,14991574.0,[],[],[]
2018-02-18,485.2889766538871,485.4662854701178,461.5211381823804,484.579345703125,8327618.0,[],[],[]
2018-02-25,486.3531033697783,488.12685937105795,470.5670149022126,477.1297302246094,6322589.0,[],[],[]
2018-03-04,478.7261590412536,484.0472964345085,462.94008177929265,464.5364379882813,5440214.0,[],[],[]
2018-03-11,466.31009782745394,488.83638777017705,463.8269546882327,484.7568359375,7908212.0,[],[],[]
2018-03-18,484.40205413190097,486.7078580552547,418.59718537660183,432.0773620605469,25970724.0,[],[],[]
2018-03-25,432.4321405610421,435.27011379606586,407.51142012251626,408.6643676757813,14568513.0,[],[],[]
2018-04-01,407.42278643510605,409.728590474058,387.1136471217083,396.2483825683594,12891286.0,[],[],[]
2018-04-08,394.5632941842753,398.2880542388271,380.1149586960979,394.5744018554688,21705619.0,[],[],[]
2018-04-15,393.9534511862626,410.8966764160045,384.0181211919159,401.49365234375,7962666.0,[],[],[]
2018-04-22,400.69528695955717,423.22722537445793,399.18728978218985,417.8160095214844,10569351.0,[],[],[]
2018-04-29,420.29985460142296,422.3401626799971,401.58229930020286,420.1224060058594,8265321.0,[],[],[]
2018-05-06,420.4772405936373,428.28347145515784,416.9289216246121,419.1466064453125,12320090.0,[],[],[]
2018-05-13,421.6304514249521,428.63838653941707,389.69542436988814,391.2035827636719,16173410.0,[],[],[]
2018-05-20,389.4293068700916,397.14692418498635,386.05841580844447,387.0342102050781,15260726.0,['inverted_hammer'],['inverted_hammer'],[]
