Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2017-03-05,24.799999237060547,26.700000762939453,24.799999237060547,26.700000762939453,17627.0,[],[],[]
2017-03-12,27.0,28.850000381469727,27.0,27.89999961853028,3930.0,[],[],[]
2017-03-19,27.89999961853028,27.89999961853028,27.8799991607666,27.8799991607666,50.0,[],[],[]
2017-03-26,27.65999984741211,27.700000762939453,26.64999961853028,26.89999961853028,2024.0,[],[],[]
2017-04-02,26.89999961853028,29.34000015258789,26.89999961853028,28.75,2152.0,[],[],[]
2017-04-09,26.600000381469727,28.799999237060547,26.59000015258789,28.799999237060547,3187.0,[],[],[]
2017-04-16,28.799999237060547,28.799999237060547,25.64999961853028,28.75,1537.0,[],[],['hanging_man']
2017-04-23,27.81999969482422,27.81999969482422,27.729999542236328,27.729999542236328,544.0,[],[],[]
2017-04-30,26.89999961853028,27.89999961853028,26.89999961853028,27.89999961853028,8471.0,[],[],[]
2017-05-07,27.89999961853028,31.34000015258789,27.89999961853028,31.34000015258789,3596.0,[],[],[]
2017-05-14,31.200000762939453,33.439998626708984,30.100000381469727,33.0,7614.0,[],[],[]
2017-05-21,32.0,33.0,28.82999992370605,30.799999237060547,8891.0,[],[],[]
2017-05-28,30.89999961853028,31.489999771118164,30.0,30.01000022888184,1327.0,[],[],[]
2017-06-04,29.61000061035156,30.690000534057617,29.3700008392334,30.59000015258789,2043.0,[],[],[]
2017-06-11,29.61000061035156,30.799999237060547,29.3700008392334,30.799999237060547,1397.0,[],[],[]
2017-06-18,30.799999237060547,30.799999237060547,30.799999237060547,30.799999237060547,10.0,[],[],[]
2017-06-25,29.36000061035156,30.799999237060547,29.36000061035156,30.299999237060547,427.0,[],[],[]
2017-07-02,30.299999237060547,31.049999237060547,29.600000381469727,31.0,5047.0,[],[],[]
2017-07-09,31.0,31.0,29.799999237060547,29.799999237060547,373.0,[],[],[]
2017-07-16,31.950000762939453,32.5,30.5,32.0,562.0,[],[],[]
2017-07-23,32.0,32.0,30.600000381469727,31.799999237060547,167.0,[],[],[]
2017-07-30,31.799999237060547,31.799999237060547,31.0,31.0,250.0,[],[],[]
2017-08-06,31.0,31.790000915527344,31.0,31.790000915527344,1873.0,[],[],[]
2017-08-13,30.600000381469727,31.64999961853028,30.600000381469727,30.64999961853028,3358.0,[],[],[]
2017-08-20,30.600000381469727,31.299999237060547,30.600000381469727,31.299999237060547,1765.0,[],[],[]
2017-08-27,30.89999961853028,31.5,30.600000381469727,31.5,7964.0,[],[],[]
2017-09-03,31.5,33.38999938964844,31.5,33.38999938964844,3503.0,[],[],[]
2017-09-10,33.38999938964844,34.0,33.20000076293945,33.400001525878906,2052.0,[],[],[]
2017-09-17,33.400001525878906,33.900001525878906,33.0,33.79999923706055,1253.0,[],[],[]
2017-09-24,33.900001525878906,33.900001525878906,32.900001525878906,32.900001525878906,925.0,[],[],[]
2017-10-01,33.0,33.869998931884766,31.5,33.869998931884766,1100.0,[],[],[]
2017-10-08,33.869998931884766,33.869998931884766,31.549999237060547,31.600000381469727,259.0,[],[],[]
2017-10-15,32.0,33.0,32.0,32.0,275.0,[],[],[]
2017-10-22,32.0,32.4900016784668,30.600000381469727,32.4900016784668,4047.0,[],[],[]
2017-10-29,32.0,32.0,30.600000381469727,31.0,2327.0,[],[],[]
2017-11-05,31.0,31.940000534057617,31.0,31.940000534057617,2329.0,[],[],[]
2017-11-12,31.0,31.190000534057617,27.100000381469727,30.0,5967.0,[],[],[]
2017-11-19,30.0,30.0,27.799999237060547,28.8799991607666,9691.0,[],[],[]
2017-11-26,28.8799991607666,30.0,28.209999084472656,30.0,12063.0,[],[],[]
2017-12-03,30.0,33.0,30.0,31.0,3712.0,[],[],[]
2017-12-10,31.0,31.0,31.0,31.0,210.0,[],[],[]
2017-12-17,31.0,31.0,31.0,31.0,264.0,[],[],[]
2017-12-24,31.0,31.0,29.5,31.0,4135.0,[],[],[]
2017-12-31,31.0,31.5,29.5,31.5,14669.0,[],[],[]
2018-01-07,31.5,31.5,30.39999961853028,30.39999961853028,323.0,[],[],[]
2018-01-14,30.600000381469727,30.600000381469727,29.600000381469727,29.600000381469727,2660.0,[],[],[]
2018-01-21,30.0,30.0,29.0,29.0,2374.0,[],[],[]
2018-01-28,29.0,29.0,29.0,29.0,1450.0,[],[],[]
2018-02-04,29.0,29.200000762939453,29.0,29.200000762939453,34.0,[],[],[]
2018-02-11,29.200000762939453,29.200000762939453,28.200000762939453,28.200000762939453,3795.0,[],[],[]
2018-02-18,28.200000762939453,28.200000762939453,27.39999961853028,27.39999961853028,2700.0,[],[],[]
2018-02-25,27.39999961853028,30.0,27.39999961853028,29.600000381469727,1302.0,[],[],[]
2018-03-04,29.39999961853028,30.0,28.799999237060547,29.600000381469727,1779.0,[],[],[]
2018-03-11,29.600000381469727,29.600000381469727,29.600000381469727,29.600000381469727,10.0,[],[],[]
2018-03-18,29.600000381469727,29.600000381469727,29.600000381469727,29.600000381469727,91.0,[],[],[]
2018-03-25,29.600000381469727,29.600000381469727,28.39999961853028,28.39999961853028,508.0,[],[],[]
2018-04-01,28.0,30.39999961853028,28.0,30.39999961853028,2240.0,[],[],[]
2018-04-08,30.39999961853028,30.39999961853028,29.200000762939453,29.200000762939453,30.0,[],[],[]
2018-04-15,29.200000762939453,29.200000762939453,26.0,27.0,2147.0,[],[],[]
2018-04-22,27.0,28.0,26.39999961853028,26.39999961853028,1852.0,[],[],[]
2018-04-29,26.0,30.39999961853028,26.0,30.39999961853028,2155.0,[],[],[]
2018-05-06,30.39999961853028,30.39999961853028,30.39999961853028,30.39999961853028,0.0,[],[],[]
2018-05-13,30.39999961853028,30.39999961853028,27.600000381469727,29.0,357.0,[],[],[]
2018-05-20,28.200000762939453,28.200000762939453,27.0,27.0,333.0,[],[],[]
2018-05-27,27.200000762939453,27.200000762939453,26.600000381469727,27.0,9265.0,[],[],[]
2018-06-03,27.0,30.600000381469727,27.0,30.600000381469727,1770.0,[],[],[]
2018-06-10,30.600000381469727,30.600000381469727,30.600000381469727,30.600000381469727,0.0,[],[],[]
2018-06-17,30.799999237060547,30.799999237060547,28.0,30.0,1036.0,[],[],[]
2018-06-24,30.0,30.0,30.0,30.0,0.0,[],[],[]
2018-07-01,30.0,30.0,27.0,27.0,1079.0,[],[],[]
2018-07-08,27.0,27.0,27.0,27.0,498.0,[],[],[]
2018-07-15,27.0,27.200000762939453,27.0,27.200000762939453,300.0,[],[],[]
