Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2017-03-05,3.1048947744274504,3.1105660368583394,2.957447942021705,3.019829273223877,64468,[],[],[]
2017-03-12,2.980132458507209,3.036843045005331,2.8440273917698424,2.9659550189971924,25038,[],[],[]
2017-03-19,2.9687898503620804,3.314723206462092,2.906408715019249,3.1814539432525635,28008,[],[],[]
2017-03-26,3.258013120904624,3.2892040207281172,3.119072126014589,3.2466704845428462,7356,[],[],[]
2017-04-02,3.260848734113905,3.275026391388969,3.102059664089583,3.252342462539673,5174,[],[],[]
2017-04-09,3.2495066024620027,3.3997894069093695,3.204138316351366,3.3317370414733887,22412,[],[],[]
2017-04-16,3.3317370414733887,3.3430785881170335,3.235329053016393,3.3062176704406734,6858,[],[],[]
2017-04-23,3.27786235315763,3.3402436196618686,3.096388471032943,3.2863683700561523,9818,[],[],[]
2017-04-30,3.2863683700561523,3.396953629175723,2.8752179308990433,3.019829273223877,57646,[],[],[]
2017-05-07,2.9489412252926073,2.988638609823659,2.917750597000122,2.94610595703125,7142,[],[],[]
2017-05-14,2.9461059848634537,3.0169939994812007,2.86387608309268,2.9772968292236324,10482,[],[],[]
2017-05-21,2.9631191711916816,3.014158271241357,2.7504550881768584,2.7929880619049072,23478,[],[],[]
2017-05-28,2.7929879918849205,3.0311713218688965,2.6824025874639594,3.0311713218688965,28664,[],[],[]
2017-06-04,3.031171455812259,3.116236469276974,2.9461061021352433,2.980132341384888,271968,[],[],[]
2017-06-11,2.9489416327964486,2.9489416327964486,2.866711378097534,2.872382402420044,28098,[],[],[]
2017-06-18,2.87521767616272,2.878053318703326,2.594501256942749,2.790152311325073,101448,[],[],[]
2017-06-25,2.7901526967162846,2.7901526967162846,2.665389344315994,2.6937446594238277,32896,[],[],[]
2017-07-02,2.6937445128667887,2.750455141067505,2.659718298838429,2.750455141067505,44800,[],[],[]
2017-07-09,2.7504549483033545,2.858204964667702,2.6937446594238277,2.6937446594238277,71542,[],[],[]
2017-07-16,2.69374436552653,2.849698066711426,2.69374436552653,2.708751440048218,83386,[],[],[]
2017-07-23,2.7205164432525635,2.8881585597991943,2.7205164432525635,2.8881585597991943,8832,[],[],[]
2017-07-30,2.88227653503418,2.88227653503418,2.7646324634552,2.8205137252807617,6716,[],[],[]
2017-08-06,2.8205137252807617,2.88227653503418,2.8205137252807617,2.826395750045776,8650,[],[],[]
2017-08-13,2.8499241794157966,2.899922873834056,2.8499241794157966,2.873453617095948,14712,[],[],[]
2017-08-20,2.864629888998876,2.888158790532034,2.820513456408983,2.879335165023804,4124,[],[],[]
2017-08-27,2.879335478224635,2.9116876739626347,2.794043631227614,2.902864456176758,2704,[],[],[]
2017-09-03,2.9028643949338395,2.9116876125335693,2.814631377481452,2.9116876125335693,2680,[],[],[]
2017-09-10,2.9263930011537433,3.1999154308896642,2.9263930011537433,3.1410930156707764,7214,[],[],[]
2017-09-17,3.1469750663090625,3.1469750663090625,2.991097241895167,3.102859020233154,1600,[],[],[]
2017-09-24,3.1293289520086,3.1293289520086,2.9175693418153807,3.088153600692749,10494,[],[],[]
2017-10-01,3.096977073470141,3.2205032501200086,3.0940355290227513,3.191091537475586,38300,[],[],[]
2017-10-08,3.19697352183758,3.2322666645050044,3.123446450977775,3.17638635635376,4624,[],[],[]
2017-10-15,3.176386506076918,3.2469730377197266,3.1175646181792604,3.2469730377197266,12348,[],[],[]
2017-10-22,3.191092143846287,3.2646191120147705,3.1058002815257955,3.208738565444946,6186,[],[],[]
2017-10-29,3.2116800319264605,3.2116800319264605,3.1322698867440057,3.173445224761963,74782,[],[],[]
2017-11-05,3.1763863222345847,3.205796803526695,3.102859020233154,3.191091537475586,22382,[],[],[]
2017-11-12,3.173445305488151,3.2057974132191607,3.0734479427337646,3.0734479427337646,15394,[],[],[]
2017-11-19,3.1175647582596286,3.1175647582596286,2.835219364122693,2.9705097675323486,23954,[],[],[]
2017-11-26,2.9293342851966138,3.3999096403438593,2.9263931192115553,3.2646191120147705,53776,[],[],[]
