Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-12-04,1.4575480222702026,1.4831191301345823,1.4319770336151123,1.4319770336151123,2224.0,[],[],[]
2022-12-11,1.4319770336151123,1.4319770336151123,1.2785509824752808,1.397882342338562,669.0,[],[],[]
2022-12-18,1.397882342338562,1.397882342338562,1.397882342338562,1.397882342338562,324.0,[],[],[]
2022-12-25,1.397882342338562,1.397882342338562,1.397882342338562,1.397882342338562,215.0,[],[],[]
2023-01-01,1.4319770336151123,1.4660717248916626,1.4319770336151123,1.4660717248916626,3367.0,[],[],[]
2023-01-08,1.4660716407221581,1.5001664276692077,1.4490244388580322,1.4490244388580322,22249.0,[],[],[]
2023-01-15,1.4660717248916626,1.704734532902703,1.4660717226827478,1.6024504899978638,26847.0,[],[],[]
2023-01-22,1.6024504899978638,1.6535927057266235,1.5939268252859153,1.6535927057266235,1760.0,[],[],[]
2023-01-29,1.6535925435020926,1.6876872387274509,1.5598320960998535,1.5598320960998535,22566.0,[],[],[]
2023-02-05,1.6194978205375752,1.6791635751724243,1.6109740692852221,1.6365450620651243,1306.0,[],[],[]
2023-02-12,1.6365450620651243,1.6876873970031738,1.5768794122453527,1.6876873970031738,3618.0,[],[],[]
2023-02-19,1.6706398725509644,2.4377705241036245,1.6280214084804825,2.130918264389038,745913.0,[],[],[]
2023-02-26,2.130918276952878,2.1309184287369756,1.960444774152607,2.0797762870788574,7617.0,[],[],[]
2023-03-05,2.0286343097686768,2.0456816398322624,1.6365451856281263,1.8752079010009768,22496.0,[],[],[]
2023-03-12,1.8752081527578102,1.8752081527578102,1.6450688093851087,1.7217819690704346,31448.0,[],[],[]
2023-03-19,1.7217819690704346,1.738829222588834,1.6194978153141193,1.7047345638275146,9138.0,[],[],[]
2023-03-26,1.7217819690704346,1.738829228197176,1.5768794918624707,1.6791635751724243,6316.0,[],[],[]
2023-04-02,1.6365450620651243,1.824066162109375,1.5768794122453527,1.7899713516235352,8560.0,[],[],[]
2023-04-09,1.7899710711869152,1.8070186063925189,1.7217817589802307,1.7729239463806152,3282.0,[],[],[]
2023-04-16,1.8070183992385864,1.8070183992385864,1.6450688818673662,1.7558766603469849,11347.0,[],[],[]
2023-04-23,1.7729239907798522,1.7729239907798522,1.6962109613538323,1.7729239463806152,6185.0,[],[],[]
2023-04-30,1.7217819563627599,1.7729239463806152,1.6109741192698173,1.7217819690704346,8760.0,[],[],[]
2023-05-07,1.7217819690704346,2.3013916015625,1.7217818182073088,2.3013916015625,132311.0,[],[],[]
2023-05-14,2.386628342436675,2.386628342436675,1.8922554325301693,1.960444688796997,225217.0,[],[],[]
2023-05-21,2.011586709570058,2.3013917645838005,1.80701859210781,2.3013916015625,97195.0,[],[],[]
2023-05-28,2.1991076485056484,2.7957647906261887,2.182060318146706,2.5400545597076416,133981.0,[],[],[]
2023-06-04,2.4036756570098716,2.7105280474000475,2.31843900680542,2.5911965370178223,37461.0,[],[],[]
2023-06-11,2.5741491219985355,2.812811947757196,2.4718651478254405,2.7275753021240234,53147.0,[],[],[]
2023-06-18,2.7616700487452226,2.778717378417338,2.488912644249012,2.557101964950561,15823.0,[],[],[]
2023-06-25,2.557102146355037,2.778717289503927,2.42072304878639,2.7275753021240234,55030.0,[],[],[]
2023-07-02,2.7275753021240234,2.7724426614165685,2.557101889459643,2.737348318099976,35580.0,[],[],['hanging_man']
2023-07-09,2.7198012999918166,3.474326602570026,2.702254035087984,3.2462143898010254,207576.0,[],[],[]
2023-07-16,3.1058374311217336,3.33394982429903,2.912819468490449,3.035649299621582,64755.0,[],[],[]
2023-07-23,3.0356492151768624,3.0531963035392193,2.825083985172877,2.965461015701294,35963.0,[],[],[]
2023-07-30,2.9303666724418322,3.000555194248182,2.7373483597528154,2.8426311016082764,29496.0,[],[],[]
2023-08-06,2.8601781480634636,2.9303665021432708,2.719801189975815,2.8075368404388428,14184.0,[],[],[]
2023-08-13,2.73734823670383,2.7899898661753992,2.4916888834990725,2.544330358505249,24793.0,[],[],[]
2023-08-20,2.544330481878473,2.702254287021253,2.4565945954634967,2.5092358589172363,9874.0,[],[],[]
2023-08-27,2.509235972108532,2.596971468814761,2.439047577152912,2.544330358505249,6829.0,[],[],[]
2023-09-03,2.5267832017445957,2.702254155990388,2.4565945105365103,2.4741415977478027,5536.0,[],[],[]
2023-09-10,2.4741417948896123,2.5618774471147083,2.3864061616913403,2.5092358589172363,12026.0,[],[],[]
2023-09-17,2.4215003361139256,2.526783354320384,2.2635763420345145,2.491688966751098,14740.0,[],[],[]
2023-09-24,2.491688966751098,2.5092359713950776,2.456594705581665,2.491688966751098,1572.0,[],[],[]
2023-10-01,2.4916888827906067,2.4916888827906067,2.0530113020305865,2.26357650756836,16702.0,[],[],[]
2023-10-08,2.1407469156232675,2.1933882236480717,2.0705580711364746,2.123199701309204,6876.0,[],[],[]
2023-10-15,2.088105719831691,2.140746831893921,1.947728757664223,2.140746831893921,9068.0,[],[],[]
2023-10-22,2.123199539344834,2.1758407983754244,1.9652757389545148,2.053011178970337,7207.0,[],[],[]
2023-10-29,2.053011178970337,2.053011178970337,1.9477285265683912,2.053011178970337,778.0,[],[],[]
2023-11-05,2.053011178970337,2.351312321958116,2.0179169178009038,2.228482484817505,12673.0,[],[],[]
2023-11-12,2.2460294190738606,2.281123596062859,2.1407468881068645,2.26357650756836,6511.0,[],[],[]
2023-11-19,2.1582939766013642,2.316218067052693,2.1407468881068645,2.2460293769836426,7502.0,[],[],[]
2023-11-26,2.1758411345931115,2.298670768737793,2.1056528568547024,2.228482484817505,7379.0,[],[],[]
2023-12-03,2.2460293769836426,3.2286674731153036,2.123199678352448,2.983007907867432,295926.0,[],[],[]
2023-12-10,3.193573295556083,3.193573295556083,2.667159925204674,2.8075368404388428,76165.0,[],[],[]
2023-12-17,2.7724427760700987,3.246214438755078,2.6320657463093955,3.0005550384521484,116816.0,[],[],[]
2023-12-24,3.000555194248182,3.8428159949181575,2.8426308418149544,3.7199859619140634,114400.0,[],[],[]
2023-12-31,3.7199861759517034,3.7199861759517034,3.3514971016265207,3.667344808578491,53198.0,[],[],[]
2024-01-07,3.5094213463024446,4.035834464576686,3.386591308533948,3.4216856956481934,37590.0,[],[],[]
2024-01-14,3.36904417837827,3.456779831324591,3.1409318154023107,3.2988555431365967,45397.0,[],[],[]
2024-01-21,3.3339497849190107,3.614703643052451,3.158478699570056,3.369044065475464,44812.0,[],[],[]
2024-01-28,3.3690439965976475,4.088475538477022,3.2813085575629897,4.088475227355957,156574.0,[],[],[]
2024-02-04,4.106022400341028,4.386776278475997,3.9480986066817674,4.158663749694824,56401.0,[],[],[]
2024-02-11,4.05338119003045,4.106022660302313,3.6497979202687225,3.930551767349243,74138.0,[],[],[]
2024-02-18,3.930551725874679,3.965645286436128,3.7375331635331563,3.8603627681732178,23802.0,[],[],[]
2024-02-25,3.930551924592963,4.246399480321567,3.649797643230122,4.106022357940674,58164.0,[],[],[]
2024-03-03,4.053380989435532,4.088475164537138,3.7199856588004656,3.9130046367645264,39171.0,[],[],[]
2024-03-10,3.913004424635454,3.913004553064728,3.5796094762961723,3.8077218532562256,35342.0,[],[],[]
2024-03-17,3.702438874107132,3.772627643690431,3.491873979568481,3.491873979568481,19249.0,[],[],[]
2024-03-24,3.439232908204794,3.8779103755950928,3.3690443406318877,3.8779103755950928,26582.0,[],[],[]
2024-03-31,3.8779103755950928,3.8954574643299105,3.667344563909832,3.7199859619140634,7624.0,[],[],[]
2024-04-07,3.7199859619140634,3.904231033131839,3.5006473643274196,3.77262806892395,27255.0,[],[],[]
2024-04-14,3.7901748075231376,3.851589406901505,3.5971565572279864,3.8252689838409424,9414.0,[],[],[]
2024-04-21,3.8252690881504114,3.8691366005660788,3.570836072864479,3.728759527206421,11240.0,[],[],[]
2024-04-28,3.6585714312368274,3.728759527206421,2.8952721761355154,3.3339500427246094,97078.0,[],[],[]
2024-05-05,3.3076294822067034,3.3164028765132554,3.1146111488342285,3.254988193511963,14549.0,[],[],[]
2024-05-12,3.2462143468334257,3.2462143468334257,2.8952722991002133,3.0005550384521484,42856.0,[],[],[]
2024-05-19,3.035649320428567,3.193573236465454,2.8250839056637274,3.149705171585083,42736.0,[],[],[]
2024-05-26,3.1760259388327228,3.3251763717365495,3.026875542441678,3.1584787368774414,29260.0,[],[],[]
2024-06-02,2.9830080546341424,3.0707434995207574,2.7373483905960168,2.904045820236206,84090.0,[],[],[]
2024-06-09,2.9479133513147415,3.2552249474933315,2.8952723396042197,3.1532094478607178,34804.0,[],[],[]
2024-06-16,3.1532094478607178,3.18103185685143,2.91208156664602,3.041919708251953,14210.0,[],[],[]
2024-06-23,3.153209505137484,3.1624837213971486,2.800791838294686,2.9306299686431885,17361.0,[],[],[]
2024-06-30,2.9306299967929617,3.570545981951118,2.8286142745864855,3.514901161193848,62773.0,[],[],[]
2024-07-07,3.496352786841003,3.8951409749614014,3.1624837759978632,3.431433916091919,105799.0,[],[],[]
2024-07-14,3.3665148982103137,3.8209479296777697,3.3108699171623357,3.5983686447143555,43508.0,[],[],[]
2024-07-21,3.598368468899255,3.7003839695230427,3.3201439941564446,3.4685304164886475,18264.0,[],[],[]
2024-07-28,3.4685303814400337,3.6169167871410055,3.1532095039432346,3.2923216819763184,16267.0,[],[],[]
2024-08-04,3.2644991418854667,3.301595694208948,3.1532094478607178,3.1532094478607178,5455.0,[],[],[]
2024-08-11,3.153209569625232,3.375789165496826,3.0048231614984804,3.3386921882629395,13191.0,[],[],[]
2024-08-18,3.3386921882629395,3.3572404610000675,3.125386817757153,3.1532094478607178,6721.0,[],[],[]
2024-08-25,3.134661272508222,3.357240530144408,3.0604679584503174,3.2830474376678467,17801.0,[],[],[]
2024-09-01,3.375789165496826,3.375789165496826,3.134661197662353,3.134661197662353,8467.0,[],[],[]
2024-09-08,3.153209584664548,3.2366768152579604,2.921356046101709,3.051193952560425,39384.0,[],[],[]
2024-09-15,3.0048232795769776,3.041919708251953,2.939904320207324,2.9770007133483887,6459.0,[],[],[]
2024-09-22,3.041919708251953,3.041919708251953,2.9862749576568604,2.9862749576568604,1240.0,[],[],[]
2024-09-29,2.9862749576568604,3.097564661980603,2.9677265700638067,3.088290214538574,4498.0,[],[],[]
2024-10-06,3.088290214538574,3.088290214538574,2.949178457260132,3.0604679584503174,7742.0,[],[],[]
2024-10-13,3.060467806069461,3.171757661058761,3.004822989131235,3.1532094478607178,7081.0,[],[],[]
2024-10-20,3.153209498840978,3.162483692169189,3.051193952560425,3.051193952560425,2961.0,[],[],[]
2024-10-27,3.106838523094319,3.1810320186848173,2.995548963546753,3.0604679584503174,6053.0,[],[],[]
2024-11-03,3.0604680528913852,3.0975646005086475,2.9399039953819046,3.0233712196350098,8635.0,[],[],[]
2024-11-10,3.0233712196350098,3.06974196434021,2.967726707458496,3.06974196434021,1257.0,[],[],[]
2024-11-17,3.0604678281170283,3.0790163267000166,2.9306298385707277,2.939903974533081,6273.0,[],[],[]
2024-11-24,2.939904273135283,2.995548963546753,2.939903974533081,2.995548963546753,1112.0,[],[],[]
2024-12-01,2.995548963546753,3.0326457023620605,2.735872899775831,2.772969484329224,38473.0,['engulfing'],[],[]
2024-12-08,2.754421194748367,2.763695551292658,2.5040192880542302,2.633857250213623,23609.0,[],[],[]
2024-12-15,2.615309111024093,2.745147058245357,2.559664073794591,2.606034755706787,7233.0,[],[],[]
2024-12-22,2.5967607034816207,2.810065984725952,2.513293436037814,2.810065984725952,22220.0,[],[],[]
2024-12-29,2.865710715325065,2.865710715325065,2.782243490219116,2.8564367294311523,5615.0,[],[],[]
2025-01-05,2.856436813289272,2.893533229827881,2.726598919351992,2.893533229827881,5462.0,[],[],[]
2025-01-12,2.902807689176876,3.0233713501736648,2.874984929286486,2.9306299686431885,3501.0,[],[],[]
2025-01-19,2.9028075819990353,2.967726707458496,2.8749849796295166,2.967726707458496,2161.0,[],[],[]
2025-01-26,2.967726707458496,3.060467895887856,2.763695341193056,2.8286142349243164,19460.0,[],[],[]
2025-02-02,2.8193401604112864,2.958452341353517,2.7822436142657994,2.8749849796295166,17332.0,[],[],[]
2025-02-09,2.8842592239379883,2.921355962753296,2.76369531934509,2.893533229827881,17219.0,[],[],[]
2025-02-16,2.89353325270226,2.89353325270226,2.791517750802171,2.8749849796295166,12100.0,[],[],[]
2025-02-23,2.874984851447948,2.9306301294653805,2.782243490219116,2.8842592239379883,6617.0,[],[],[]
2025-03-02,2.91208174688786,2.921355883424232,2.81934026575765,2.8842592239379883,2765.0,[],[],[]
2025-03-09,2.8842592239379883,2.884259247657975,2.763695444460217,2.8842592239379883,15681.0,[],[],[]
2025-03-16,2.874984956901768,3.014097213745117,2.76369521797335,3.014097213745117,21227.0,[],[],[]
2025-03-23,3.0233711981942646,3.0233711981942646,2.837888479232788,2.912081718444824,3370.0,[],[],[]
2025-03-30,2.9120818494178318,3.06046811362715,2.902807712554932,3.0326457023620605,7048.0,[],[],[]
2025-04-06,3.032645455363536,3.0419195916965522,2.615309111024093,2.7265989780426025,14366.0,[],[],[]
2025-04-13,2.633857187825036,2.735872983932495,2.411277691592437,2.735872983932495,8608.0,[],[],[]
2025-04-20,2.735872983932495,2.7544213356061102,2.6060349738652895,2.689502239227295,9582.0,[],[],[]
2025-04-27,2.643131434059312,2.6987763406440313,2.5040192554999563,2.6245832443237305,12927.0,[],[],[]
2025-05-04,2.624583160362345,2.7729695710509454,2.5782124996185303,2.61530876159668,12857.0,[],['inverted_hammer'],[]
2025-05-11,2.5596640961184547,2.62458289751638,2.5040191305602795,2.61530876159668,17311.0,['hammer'],['hammer'],[]
2025-05-18,2.6153090715327445,2.6153090715327445,2.4483746051950086,2.5782124996185303,9485.0,[],[],[]
2025-05-25,2.5782124996185303,2.6802279949188232,2.559664249420166,2.6802279949188232,6884.0,[],[],[]
2025-06-01,2.6802280654330106,2.9399041050171637,2.6245832443237305,2.7080507278442383,40233.0,[],[],[]
2025-06-08,2.717324687588415,2.9213559862807323,2.698776480458268,2.8842592239379883,9258.0,[],[],[]
2025-06-15,2.865710973739624,2.893533308067508,2.6895021289902847,2.735872983932495,10320.0,[],[],[]
2025-06-22,2.735872945104356,2.8100660437587592,2.5689381402461984,2.6802279949188232,9448.0,[],[],[]
2025-06-29,2.68022820256611,2.791517605658873,2.5967605274084886,2.6987762451171875,14962.0,[],[],[]
2025-07-06,2.726598814340805,2.763695240020752,2.633857199096376,2.689502239227295,6372.0,[],[],[]
2025-07-13,2.689502239227295,2.80079197883606,2.6524054947516658,2.80079197883606,9207.0,[],[],[]
2025-07-20,2.800791887338543,2.893533229827881,2.698776451127052,2.819340229034424,12104.0,[],[],[]
2025-07-27,2.8471624851226807,2.8842591161658886,2.7544211662829476,2.8471624851226807,13687.0,[],[],[]
2025-08-03,2.791517795803401,2.8471624851226807,2.75442123413086,2.75442123413086,7430.0,[],[],[]
2025-08-10,2.7265989780426025,2.856436923706691,2.708050596941026,2.717324733734131,12374.0,[],[],[]
