Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-10-21,55.0,55.0,54.0,50.75133895874024,2404.0,[],[],[]
2025-10-22,54.0,54.0,53.59999847412109,50.75133895874024,974.0,[],[],[]
2025-10-23,54.59999847412109,54.59999847412109,54.0,51.31523895263672,161.0,[],[],[]
2025-10-24,54.0,54.59999847412109,52.400001525878906,49.623531341552734,1915.0,[],[],[]
2025-10-27,53.0,53.400001525878906,52.400001525878906,49.99946594238281,767.0,[],[],[]
2025-10-28,52.0,52.79999923706055,51.59999847412109,48.87165832519531,3399.0,[],[],[]
2025-10-29,52.0,52.0,51.0,48.11978912353516,4437.0,['RSI_OVERSOLD'],['RSI_OVERSOLD'],[]
2025-10-30,51.59999847412109,52.0,51.400001525878906,48.68368911743164,490.0,[],[],[]
2025-10-31,51.79999923706055,52.400001525878906,51.0,48.68368911743164,658.0,[],[],[]
2025-11-03,52.79999923706055,53.59999847412109,52.79999923706055,49.623531341552734,439.0,[],[],[]
2025-11-04,53.59999847412109,58.79999923706055,53.0,54.88663482666016,5339.0,[],[],[]
2025-11-05,58.59999847412109,58.79999923706055,56.79999923706055,54.51069641113281,1194.0,[],[],[]
2025-11-06,58.0,60.0,58.0,56.39037704467773,487.0,[],[],[]
2025-11-07,60.0,60.79999923706055,58.79999923706055,55.45053482055664,931.0,[],[],[]
2025-11-10,58.59999847412109,61.0,58.59999847412109,57.14224624633789,1430.0,[],[],[]
2025-11-12,61.400001525878906,61.400001525878906,60.79999923706055,57.706153869628906,588.0,[],[],[]
2025-11-13,65.19999694824219,67.80000305175781,63.0,62.96925354003906,4885.0,[],[],['shooting_star']
2025-11-14,68.0,69.5999984741211,66.19999694824219,63.345191955566406,1875.0,[],[],[]
2025-11-17,68.80000305175781,69.4000015258789,64.80000305175781,61.84144973754883,1232.0,[],[],[]
2025-11-18,66.0,66.5999984741211,64.19999694824219,60.33769989013672,459.0,[],[],[]
2025-11-19,65.19999694824219,65.4000015258789,64.5999984741211,60.90160751342773,499.0,[],[],[]
2025-11-20,65.0,66.80000305175781,62.79999923706055,59.96176528930664,3888.0,[],[],[]
2025-11-21,65.80000305175781,65.80000305175781,60.0,56.39037704467773,1268.0,[],[],[]
2025-11-24,60.0,61.20000076293945,60.0,57.518184661865234,132.0,[],[],[]
2025-11-25,61.20000076293945,64.5999984741211,61.0,59.58583068847656,625.0,[],[],[]
2025-11-26,64.80000305175781,64.80000305175781,63.0,59.20989608764648,182.0,[],[],[]
