Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-12-05,1.7400000095367432,1.7400000095367432,1.6549999713897705,1.6549999713897705,812,[],[],[]
2025-12-08,1.6950000524520874,1.7899999618530271,1.6950000524520874,1.784999966621399,10599,[],[],[]
2025-12-09,1.784999966621399,1.7899999618530271,1.7100000381469729,1.7100000381469729,848,[],[],[]
2025-12-10,1.7300000190734863,1.7300000190734863,1.7300000190734863,1.7300000190734863,7,[],[],[]
2025-12-11,1.7799999713897705,1.7799999713897705,1.7799999713897705,1.7799999713897705,10,[],[],[]
2025-12-12,1.784999966621399,1.784999966621399,1.7300000190734863,1.7300000190734863,250,[],[],[]
2025-12-15,1.7400000095367432,1.784999966621399,1.7000000476837158,1.7000000476837158,750,[],[],[]
2025-12-16,1.784999966621399,1.784999966621399,1.7000000476837158,1.7000000476837158,2070,[],[],[]
2025-12-17,1.7649999856948853,1.7649999856948853,1.7000000476837158,1.7599999904632568,7705,[],[],[]
2025-12-18,1.7649999856948853,1.7899999618530271,1.7100000381469729,1.7899999618530271,6487,[],[],[]
2025-12-19,1.7999999523162842,1.7999999523162842,1.715000033378601,1.715000033378601,430,[],[],[]
2025-12-22,1.715000033378601,1.7999999523162842,1.7100000381469729,1.7949999570846558,11374,[],[],[]
2025-12-23,1.7949999570846558,1.7999999523162842,1.7000000476837158,1.7000000476837158,11206,[],[],[]
2025-12-29,1.649999976158142,1.649999976158142,1.649999976158142,1.649999976158142,80,[],[],[]
2025-12-30,1.7400000095367432,1.7400000095367432,1.6549999713897705,1.7350000143051147,671,[],[],[]
2026-01-02,1.7400000095367432,1.7400000095367432,1.7400000095367432,1.7400000095367432,301,[],[],[]
2026-01-05,1.7400000095367432,1.7400000095367432,1.7000000476837158,1.7000000476837158,278,[],[],[]
2026-01-07,1.7000000476837158,1.7200000286102295,1.7000000476837158,1.7200000286102295,307,[],[],[]
2026-01-08,1.7200000286102295,1.7200000286102295,1.7000000476837158,1.7000000476837158,277,[],[],[]
2026-01-09,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,7,[],[],[]
2026-01-12,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,145,[],[],[]
2026-01-13,1.7200000286102295,1.7200000286102295,1.7200000286102295,1.7200000286102295,7,[],[],[]
2026-01-14,1.7200000286102295,1.7200000286102295,1.659999966621399,1.659999966621399,1059,[],[],[]
2026-01-15,1.659999966621399,1.659999966621399,1.659999966621399,1.659999966621399,965,[],[],[]
2026-01-16,1.659999966621399,1.659999966621399,1.659999966621399,1.659999966621399,3903,[],[],[]
2026-01-19,1.659999966621399,1.659999966621399,1.649999976158142,1.649999976158142,1700,[],[],[]
2026-01-20,1.659999966621399,1.659999966621399,1.6200000047683716,1.6200000047683716,6587,[],[],[]
2026-01-21,1.6200000047683716,1.6200000047683716,1.6200000047683716,1.6200000047683716,7,[],[],[]
2026-01-22,1.6200000047683716,1.6200000047683716,1.6200000047683716,1.6200000047683716,10,[],[],[]
2026-01-23,1.6200000047683716,1.6200000047683716,1.6200000047683716,1.6200000047683716,2,[],[],[]
2026-01-26,1.6399999856948853,1.6399999856948853,1.6200000047683716,1.6200000047683716,69,[],[],[]
2026-01-27,1.6200000047683716,1.6399999856948853,1.6200000047683716,1.6399999856948853,970,[],[],[]
2026-01-28,1.6399999856948853,1.6399999856948853,1.600000023841858,1.600000023841858,1318,['engulfing'],[],[]
2026-01-29,1.6399999856948853,1.6399999856948853,1.6399999856948853,1.6399999856948853,10,[],[],[]
2026-01-30,1.6399999856948853,1.6399999856948853,1.600000023841858,1.600000023841858,161,[],[],[]
2026-02-02,1.6399999856948853,1.6399999856948853,1.6399999856948853,1.6399999856948853,10,[],[],[]
2026-02-03,1.6399999856948853,1.6399999856948853,1.6200000047683716,1.6200000047683716,1060,[],[],[]
2026-02-04,1.6399999856948853,1.6399999856948853,1.6399999856948853,1.6399999856948853,507,[],[],[]
2026-02-05,1.649999976158142,1.659999966621399,1.649999976158142,1.659999966621399,9503,[],[],[]
2026-02-06,1.659999966621399,1.659999966621399,1.649999976158142,1.649999976158142,26,[],[],[]
2026-02-09,1.649999976158142,1.649999976158142,1.649999976158142,1.649999976158142,711,[],[],[]
2026-02-10,1.690000057220459,1.690000057220459,1.6299999952316284,1.6299999952316284,278,[],[],[]
2026-02-11,1.6299999952316284,1.6299999952316284,1.6299999952316284,1.6299999952316284,7,[],[],[]
2026-02-12,1.6299999952316284,1.7000000476837158,1.600000023841858,1.6100000143051147,18227,[],[],[]
2026-02-13,1.7000000476837158,1.7000000476837158,1.690000057220459,1.6950000524520874,1457,[],[],[]
2026-02-16,1.6950000524520874,1.6950000524520874,1.6349999904632568,1.6349999904632568,217,[],[],[]
2026-02-17,1.6349999904632568,1.7000000476837158,1.6349999904632568,1.6950000524520874,3059,[],[],[]
2026-02-18,1.7000000476837158,1.7000000476837158,1.6950000524520874,1.6950000524520874,157,[],[],[]
2026-02-19,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,7,[],[],[]
2026-02-20,1.7000000476837158,1.7000000476837158,1.6950000524520874,1.6950000524520874,82,[],[],[]
2026-02-23,1.690000057220459,1.6950000524520874,1.659999966621399,1.6950000524520874,722,[],[],[]
2026-02-24,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,12,[],[],[]
2026-02-25,1.6950000524520874,1.6950000524520874,1.6950000524520874,1.6950000524520874,9,[],[],[]
2026-02-26,1.7000000476837158,1.7000000476837158,1.659999966621399,1.6950000524520874,208,[],[],[]
2026-02-27,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,7,[],[],[]
2026-03-02,1.7000000476837158,1.7000000476837158,1.6950000524520874,1.6950000524520874,11,[],[],[]
2026-03-03,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,7,[],[],[]
2026-03-04,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,7,[],[],[]
2026-03-05,1.649999976158142,1.649999976158142,1.649999976158142,1.649999976158142,1,[],[],[]
2026-03-06,1.6950000524520874,1.6950000524520874,1.649999976158142,1.649999976158142,5310,[],[],[]
2026-03-09,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,7,[],[],[]
2026-03-10,1.7000000476837158,1.7000000476837158,1.6399999856948853,1.6399999856948853,965,[],[],[]
2026-03-11,1.6399999856948853,1.6699999570846558,1.6399999856948853,1.6699999570846558,15,[],[],[]
2026-03-12,1.6699999570846558,1.6699999570846558,1.6699999570846558,1.6699999570846558,45,[],[],[]
2026-03-13,1.7000000476837158,1.7000000476837158,1.6950000524520874,1.6950000524520874,37,[],[],[]
2026-03-16,1.6950000524520874,1.6950000524520874,1.690000057220459,1.690000057220459,400,[],[],[]
2026-03-17,1.690000057220459,1.690000057220459,1.690000057220459,1.690000057220459,7,[],[],[]
2026-03-18,1.690000057220459,1.7000000476837158,1.690000057220459,1.690000057220459,9,[],[],[]
2026-03-19,1.690000057220459,1.690000057220459,1.690000057220459,1.690000057220459,65,[],[],[]
