Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-12-04,86.5,86.5,86.5,86.5,1.0,[],[],[]
2025-12-05,89.0,89.0,86.5,86.5,4.0,[],[],[]
2025-12-08,89.0,107.0,89.0,107.0,35.0,[],[],[]
2025-12-09,106.0,106.0,106.0,106.0,11.0,[],[],[]
2025-12-10,103.0,103.0,103.0,103.0,5.0,[],[],[]
2025-12-11,103.0,103.0,103.0,103.0,0.0,[],[],[]
2025-12-12,103.0,103.0,103.0,103.0,0.0,[],[],[]
2025-12-15,103.0,103.0,103.0,103.0,0.0,[],[],[]
2025-12-16,103.0,103.0,103.0,103.0,0.0,[],[],[]
2025-12-17,103.0,103.0,103.0,103.0,0.0,[],[],[]
2025-12-18,103.0,103.0,103.0,103.0,0.0,[],[],[]
2025-12-19,103.0,103.0,103.0,103.0,0.0,[],[],[]
2025-12-22,97.0,97.0,89.0,90.0,23.0,[],[],[]
2025-12-23,88.0,89.0,87.5,89.0,121.0,[],[],[]
2025-12-29,89.0,89.0,87.5,87.5,44.0,['engulfing'],[],[]
2025-12-30,87.5,87.5,87.5,87.5,21.0,[],[],[]
2026-01-02,87.5,87.5,87.5,87.5,7.0,[],[],[]
2026-01-05,87.5,87.5,87.5,87.5,0.0,[],[],[]
2026-01-07,88.5,99.0,88.5,99.0,35.0,[],[],[]
2026-01-08,97.0,97.0,97.0,97.0,50.0,[],[],[]
2026-01-09,92.0,95.0,92.0,95.0,30.0,[],[],[]
2026-01-12,96.5,96.5,96.5,96.5,3.0,[],[],[]
2026-01-13,96.0,96.0,95.5,95.5,2.0,[],[],[]
2026-01-14,95.5,95.5,95.5,95.5,0.0,[],[],[]
2026-01-15,95.5,95.5,92.0,92.0,26.0,[],[],[]
2026-01-16,92.0,92.0,92.0,92.0,0.0,[],[],[]
2026-01-19,96.0,96.0,96.0,96.0,10.0,[],[],[]
2026-01-20,96.0,96.0,96.0,96.0,0.0,[],[],[]
2026-01-21,91.0,91.0,91.0,91.0,1.0,[],[],[]
2026-01-22,91.0,95.0,91.0,95.0,2.0,[],[],[]
