Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-11-27,91.41999816894533,95.80999755859376,91.33999633789062,83.26365661621094,11012500,[],[],[]
2022-12-04,97.16000366210938,98.20999908447266,93.97000122070312,82.95838928222656,17258900,[],[],[]
2022-12-11,94.52999877929688,98.63999938964844,94.11000061035156,84.23171997070312,19179100,[],[],[]
2022-12-18,97.31999969482422,100.31999969482422,92.80999755859376,82.47872161865234,22177000,[],[],[]
2022-12-25,94.0999984741211,95.7300033569336,92.97000122070312,83.45552062988281,12427900,[],[],[]
2023-01-01,95.97000122070312,96.86000061035156,94.06999969482422,82.81013488769531,5540300,[],[],[]
2023-01-08,94.9000015258789,97.18000030517578,93.38999938964844,84.1881103515625,8495700,[],[],[]
2023-01-15,96.41000366210938,98.31999969482422,94.66999816894533,82.71418762207031,17939800,[],[],[]
2023-01-22,94.77999877929688,95.5,90.08999633789062,80.38555908203125,11284000,[],[],[]
2023-01-29,91.93000030517578,93.5,91.29000091552734,81.17049407958984,10596000,[],[],[]
2023-02-05,92.93000030517578,95.62999725341795,90.9800033569336,80.33323669433594,14623000,[],[],[]
2023-02-12,91.94000244140624,92.58000183105467,88.12999725341797,79.70465850830078,13552400,[],[],[]
2023-02-19,90.6500015258789,92.7300033569336,89.23999786376953,81.34190368652344,11966600,[],[],[]
2023-02-26,91.4800033569336,91.9499969482422,88.9000015258789,79.5990219116211,13494900,[],[],[]
2023-03-05,90.98999786376952,91.54000091552734,85.7300033569336,78.4195327758789,14787900,[],[],[]
2023-03-12,89.0,90.76000213623048,87.0,77.0463638305664,11891600,[],[],[]
2023-03-19,87.80000305175781,93.13999938964844,87.72000122070312,79.83668518066406,23674000,[],[],[]
2023-03-26,91.16000366210938,92.4499969482422,85.20999908447266,78.4195327758789,16795600,[],[],[]
2023-04-02,89.44000244140625,91.18000030517578,88.41000366210938,80.09196472167969,13092000,[],[],[]
2023-04-09,90.47000122070312,96.0500030517578,90.11000061035156,83.52484893798828,13297200,[],[],[]
2023-04-16,94.51000213623048,94.86000061035156,92.08000183105467,81.42110443115234,11150600,[],[],[]
2023-04-23,93.0500030517578,94.4000015258789,92.05999755859376,82.67102813720703,9931500,[],[],[]
2023-04-30,93.69000244140624,94.7300033569336,91.41999816894533,81.35066986083984,10465100,[],[],[]
2023-05-07,92.3000030517578,93.55999755859376,89.66000366210938,81.07782745361328,12872800,[],[],[]
2023-05-14,92.05999755859376,92.87999725341795,90.19000244140624,81.41510772705078,11152300,[],[],[]
2023-05-21,91.98999786376952,92.0999984741211,85.73999786376953,76.88513946533203,12658900,[],[],[]
2023-05-28,87.16000366210938,87.43000030517578,81.31999969482422,73.0568618774414,13378200,[],[],[]
