Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-12-04,107.49339949637691,110.11889945174711,103.08599058049026,108.54547882080078,2556200.0,[],[],[]
2022-12-11,106.4128605041687,106.6213842407807,101.88224701970779,103.43669128417967,2598400.0,[],[],[]
2022-12-18,103.38929355332981,108.81088287425278,98.163750756984,98.8106918334961,3866300.0,[],[],[]
2022-12-25,98.30645445222852,101.67434165019496,98.27792225478767,99.9238052368164,2686800.0,[],[],[]
2023-01-01,99.82865082412678,101.63629509347584,99.0675639699064,100.1426239013672,1307200.0,[],[],[]
2023-01-08,102.51157659706891,106.83084953332626,101.35088751507702,106.00314331054688,2429100.0,[],[],[]
2023-01-15,106.91646611135567,108.84780354873789,105.61307547156775,108.2293930053711,2794000.0,[],[],[]
2023-01-22,108.30549742230477,108.50529243706043,102.81600759064338,105.88897705078124,2493700.0,[],[],[]
2023-01-29,106.29807261176245,109.27591001012414,105.4323174765352,108.72410583496094,2089400.0,[],[],[]
2023-02-05,107.85833756581295,117.45779945179348,107.59194411942008,116.9535675048828,3542200.0,[],[],[]
2023-02-12,116.04023366000129,117.21043116919186,111.47359721636795,112.33934783935548,2603400.0,[],[],[]
2023-02-19,112.73893445120844,115.8594785036527,110.79812341336479,112.8340835571289,2979800.0,[],[],[]
2023-02-26,111.65436699897789,112.33933919445897,105.95557796734765,107.5158462524414,5365100.0,[],[],[]
2023-03-05,108.6004248425824,109.2854236381506,105.98412485218307,109.18077087402344,4743500.0,[],[],[]
2023-03-12,109.24734554129994,110.15115676844327,101.99781211604491,102.26419830322266,3798800.0,[],[],[]
2023-03-19,101.06545202823227,103.98057536053552,97.37849242077932,98.71607971191406,6000500.0,[],[],[]
2023-03-26,99.36578639367646,102.72894053250076,95.13319195255913,96.11729431152344,4376800.0,[],[],[]
2023-04-02,97.43581395455898,102.08879978792169,96.5376976574147,101.97415161132812,3651000.0,[],[],[]
2023-04-09,101.45820390387314,101.98369167508889,93.64269895079356,95.2000732421875,4327300.0,[],[],[]
2023-04-16,94.3210547129095,99.32757222551078,94.3210547129095,98.16193389892578,3387900.0,[],[],[]
2023-04-23,98.54412284778044,101.54419831409342,98.17148373910716,98.40078735351562,3746900.0,[],[],[]
2023-04-30,98.76388293102245,107.0761907983253,97.37848822156778,105.55703735351562,7816000.0,[],[],[]
2023-05-07,105.69081433924501,106.56026126886991,102.20345624561966,103.2735366821289,3557200.0,[],[],[]
2023-05-14,103.55062282805116,104.94556922635256,101.87859689342336,103.87548065185548,2915700.0,[],[],[]
2023-05-21,103.4932933504892,106.7322415675958,101.70663485089057,104.42963409423828,2485900.0,[],[],[]
2023-05-28,104.40094679335623,105.37549987333884,99.7766359460539,102.32765197753906,2672500.0,[],[],[]
2023-06-04,102.6142809225745,104.70669579532455,98.93584470138855,104.40095520019533,3444800.0,[],[],[]
2023-06-11,104.3913952907109,108.6908907980202,102.78625550929799,107.63033294677734,2988900.0,[],[],[]
2023-06-18,108.00298139211115,115.05425220947286,107.43926777760413,113.58682250976562,6500000.0,[],[],[]
2023-06-25,112.45507337306486,115.07342735227948,109.99016836132134,110.7766342163086,3538700.0,[],[],[]
2023-07-02,111.09314436614436,115.89825174385847,110.85336809356824,115.11178588867188,2892400.0,[],[],[]
2023-07-09,114.24859403023105,115.04464564546355,109.66407016399332,112.01387786865234,2386400.0,[],[],[]
2023-07-16,112.04266119487157,118.15215627774346,112.04266119487157,117.72054290771484,2903200.0,[],[],[]
2023-07-23,117.49036957132869,121.19251488322804,116.88613601922258,120.07037353515624,3981400.0,[],[],[]
2023-07-30,120.32932702447803,123.1107281769793,109.71202167195285,110.28748321533205,6861300.0,[],[],[]
2023-08-06,113.55804692307453,113.93209733201805,106.78675875819947,107.3334503173828,4250300.0,[],[],[]
2023-08-13,107.45813757268449,108.62824697952038,105.43440445877836,106.8539047241211,3548100.0,[],[],[]
2023-08-20,107.00735574510544,107.83218671673416,100.81152843707689,103.2284698486328,4121100.0,[],[],[]
2023-08-27,103.1997023933142,106.65247093340352,101.75145171225371,105.3480987548828,3881600.0,[],[],[]
