Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-06-11,92.55999755859376,93.3000030517578,91.61000061035156,92.59842681884766,7601500,[],[],[]
2025-06-12,92.7300033569336,94.83000183105467,92.33999633789062,94.12067413330078,5849000,[],[],[]
2025-06-13,93.01000213623048,93.7699966430664,92.08000183105467,92.02136993408205,7132300,[],[],[]
2025-06-16,93.3000030517578,94.04000091552734,93.11000061035156,92.9068603515625,5213800,[],[],[]
2025-06-17,92.58999633789062,93.7300033569336,92.22000122070312,92.49323272705078,14241000,[],[],[]
2025-06-18,92.77999877929688,94.19000244140624,92.54000091552734,93.16101837158205,9920500,[],[],[]
2025-06-20,94.13999938964844,94.51000213623048,92.9800033569336,93.50985717773438,16439800,[],[],[]
2025-06-23,93.4499969482422,95.27999877929688,92.9800033569336,94.93513488769533,11459500,[],[],[]
2025-06-24,96.16999816894533,96.69000244140624,94.87999725341795,95.48331451416016,11953000,[],[],[]
2025-06-25,96.12999725341795,97.41000366210938,95.8000030517578,96.69927978515624,6228500,[],[],[]
2025-06-26,97.02999877929688,97.98999786376952,96.88999938964844,96.65941619873048,12473800,[],[],[]
2025-06-27,97.08999633789062,98.06999969482422,96.4499969482422,97.34712982177734,19777900,[],[],[]
2025-06-30,97.97000122070312,99.01000213623048,97.37999725341795,98.4235610961914,8252000,[],[],[]
2025-07-01,98.5999984741211,98.6999969482422,96.41000366210938,97.06806182861328,6782200,[],[],[]
2025-07-02,96.73999786376952,98.5199966430664,96.16999816894533,98.19432067871094,6354300,[],[],[]
2025-07-03,99.2300033569336,99.70999908447266,98.80999755859376,99.13121032714844,3180800,[],[],[]
2025-07-07,99.3499984741211,99.98999786376952,98.19000244140624,98.2242202758789,9851200,[],[],[]
2025-07-08,98.75,99.13999938964844,96.6500015258789,97.08799743652344,9425600,[],[],[]
2025-07-09,97.88999938964844,98.79000091552734,97.44000244140624,97.88534545898438,6244500,[],[],[]
2025-07-10,98.55999755859376,98.83000183105467,97.12999725341795,97.98501586914062,5315900,[],[],[]
2025-07-11,98.20999908447266,98.97000122070312,97.93000030517578,98.43352508544922,6716900,[],[],[]
2025-07-14,98.83000183105467,100.79000091552734,98.31999969482422,99.87873077392578,7750000,[],[],[]
2025-07-15,100.73999786376952,101.0,98.87999725341795,99.1112823486328,5507700,[],[],[]
2025-07-16,99.8000030517578,100.58000183105467,98.61000061035156,100.21762084960938,6241000,[],[],[]
2025-07-17,100.0999984741211,102.08000183105467,100.0999984741211,101.6229476928711,6959000,[],[],[]
2025-07-18,103.0,103.6999969482422,102.33999633789062,102.9983901977539,6319500,[],[],[]
2025-07-21,103.04000091552734,104.16000366210938,102.5199966430664,103.36717224121094,6509400,[],[],[]
2025-07-22,103.7699966430664,103.87999725341795,101.0999984741211,101.44355010986328,8825700,[],[],[]
2025-07-23,107.2300033569336,108.8499984741211,95.19000244140624,100.37708282470705,30058100,[],[],[]
2025-07-24,102.79000091552734,105.0999984741211,102.18000030517578,104.11469268798828,14014600,[],[],[]
2025-07-25,104.79000091552734,106.0199966430664,104.66999816894533,104.67283630371094,7303600,[],[],['shooting_star']
2025-07-28,105.91000366210938,107.1500015258789,105.04000091552734,106.34727478027344,8368800,[],[],[]
2025-07-29,107.81999969482422,108.5500030517578,104.97000122070312,104.9618682861328,9476600,[],[],[]
2025-07-30,105.30999755859376,106.01000213623048,104.29000091552734,105.14128112792967,7247600,[],[],[]
2025-07-31,106.8000030517578,108.1999969482422,106.2699966430664,106.1579132080078,15268000,[],[],['shooting_star']
2025-08-01,105.29000091552734,105.31999969482422,102.76000213623048,103.96517944335938,8736100,[],[],[]
2025-08-04,108.55999755859376,108.75,106.41000366210938,108.2708969116211,8998000,[],[],['hanging_man']
2025-08-05,108.66000366210938,109.9000015258789,107.01000213623048,107.57321166992188,10434700,[],[],[]
2025-08-06,108.25,109.5,107.54000091552734,109.13802337646484,6507700,[],[],[]
2025-08-07,109.58999633789062,110.37999725341795,107.83000183105467,108.19116973876952,5794200,[],[],[]
2025-08-08,109.16000366210938,110.5999984741211,108.5,109.61643981933594,5052400,[],[],[]
2025-08-11,110.25,111.0,109.25,109.4469985961914,4859600,[],[],[]
2025-08-12,110.16000366210938,111.87000274658205,109.79000091552734,111.48025512695312,7075400,[],[],[]
2025-08-13,112.12000274658205,112.3499984741211,107.66999816894533,109.4669418334961,9871600,[],[],[]
2025-08-14,109.01000213623048,110.83000183105467,108.7699966430664,110.37393188476562,6247100,[],[],[]
2025-08-15,110.5500030517578,110.72000122070312,107.5199966430664,108.84898376464844,6535500,[],[],[]
2025-08-18,110.0,111.37999725341795,109.72000122070312,110.69286346435548,6809200,[],[],[]
2025-08-19,110.80999755859376,112.0199966430664,109.18000030517578,109.61643981933594,7000600,[],[],[]
2025-08-20,109.3000030517578,109.45999908447266,104.70999908447266,108.29084014892578,9011700,[],[],[]
2025-08-21,108.5199966430664,109.4800033569336,107.88999938964844,108.45030975341795,7320500,[],[],[]
2025-08-22,109.01000213623048,111.16999816894533,108.43000030517578,108.9984893798828,7552500,[],[],[]
2025-08-25,109.58000183105467,111.4800033569336,109.5500030517578,109.36727142333984,4086900,[],[],[]
2025-08-26,109.81999969482422,110.77999877929688,109.7300033569336,109.53670501708984,10309400,[],[],[]
2025-08-27,109.66999816894533,110.66000366210938,109.4000015258789,109.76593780517578,4433400,[],[],[]
2025-08-28,110.0999984741211,112.05999755859376,109.55999755859376,111.56996154785156,5076800,[],[],[]
2025-08-29,111.0199966430664,111.29000091552734,107.91999816894533,108.5001449584961,6200800,[],[],[]
2025-09-02,106.88999938964844,109.31999969482422,105.4499969482422,108.88885498046876,6986600,[],[],[]
2025-09-03,109.43000030517578,110.7300033569336,108.9000015258789,110.3240966796875,6826300,[],[],[]
2025-09-04,111.0999984741211,112.77999877929688,110.26000213623048,112.37728118896484,8145700,[],[],[]
2025-09-05,113.0,113.69000244140624,108.68000030517578,110.08488464355467,12409800,[],[],[]
2025-09-08,111.0999984741211,111.97000122070312,110.38999938964844,110.17459106445312,9279700,[],[],[]
2025-09-09,110.9000015258789,117.23999786376952,110.5999984741211,116.4039306640625,14095800,[],[],[]
2025-09-10,118.0,120.8000030517578,116.6500015258789,118.69631958007812,18913200,[],[],[]
2025-09-11,118.83000183105467,120.2300033569336,118.83000183105467,119.07506561279295,9832000,[],[],['shooting_star']
2025-09-12,119.02999877929688,119.58999633789062,117.81999969482422,118.28767395019533,6358900,[],[],[]
2025-09-15,118.48999786376952,120.51000213623048,118.2300033569336,118.8458251953125,6063400,[],[],[]
2025-09-16,119.18000030517578,119.81999969482422,118.20999908447266,118.81089782714844,7717500,[],[],[]
2025-09-17,119.11000061035156,119.5,117.33999633789062,118.18211364746094,11958900,[],[],[]
2025-09-18,119.0,122.79000091552734,118.87999725341795,121.83506774902344,12130400,[],[],[]
2025-09-19,122.47000122070312,124.38999938964844,121.29000091552734,123.70146942138672,15836500,[],[],[]
2025-09-22,123.0,123.94000244140624,121.19000244140624,123.4519500732422,12207200,[],[],[]
2025-09-23,124.01000213623048,126.05999755859376,123.8499984741211,125.15866088867188,12013100,[],[],[]
2025-09-24,125.5999984741211,126.0,121.52999877929688,122.8930206298828,8434100,[],[],[]
2025-09-25,121.0999984741211,122.37999725341795,119.62000274658205,122.09456634521484,9004700,[],[],[]
2025-09-26,122.77999877929688,123.08000183105467,121.31999969482422,122.36404418945312,6212500,[],[],[]
2025-09-29,123.83000183105467,124.23999786376952,120.2699966430664,120.77710723876952,8113000,[],[],[]
2025-09-30,121.4000015258789,123.87000274658205,121.30999755859376,123.51183319091795,7326200,[],[],[]
