Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-12-05,120.61568357957053,122.11856379579518,119.26112254625718,120.53659057617188,537000,[],[],[]
2025-12-08,119.5577382392565,120.72444490270962,117.95599365521365,118.71731567382812,496600,[],[],[]
2025-12-09,118.25260671307171,118.49979025868576,114.06037589162155,114.41632080078124,640300,[],[],[]
2025-12-10,114.86125658975384,116.47289825316332,113.83297205936894,115.84999084472656,734700,[],[],[]
2025-12-11,116.63108700530958,117.33308739219939,115.84010415999195,116.68052673339844,389700,[],[],[]
2025-12-12,117.18477675810965,120.26963024864754,116.32458281214376,120.10154724121094,656400,[],[],[]
2025-12-15,120.11144352151474,121.0803988905213,119.12270924260135,120.95186614990234,588600,[],[],[]
2025-12-16,121.2880269287191,122.45473362902365,118.17351257639861,121.44622802734376,644800,[],[],[]
2025-12-17,120.73433285185865,123.19627887906456,118.72720364799784,122.2372055053711,567300,[],[],[]
2025-12-18,122.2767604710972,122.72169540087228,120.65523693661117,121.23859405517578,457100,[],[],[]
2025-12-19,121.95048213130444,122.92933449703057,119.89392056770687,120.02245330810548,1300400,[],[],[]
2025-12-22,120.02244905131522,122.30642273678363,119.70605439556444,121.35723876953124,527800,[],[],[]
2025-12-23,121.48577032424927,121.6439638690421,119.95322934159698,120.8134307861328,311700,[],[],[]
2025-12-24,121.14961134349309,121.78240068560058,120.38828925932891,121.36713409423828,198000,[],[],[]
2025-12-26,120.99141254975284,122.08890816765886,120.34873378036153,121.86149597167967,306000,[],[],[]
2025-12-29,121.90103810595791,122.90954365167187,120.9419647432383,121.82193756103516,400200,[],[],[]
2025-12-30,121.416567953602,122.8996693168295,121.04084411378048,121.35723876953124,289800,[],[],[]
2025-12-31,120.15097596397585,121.94058998507744,119.98289296138277,120.58602142333984,314300,[],[],[]
2026-01-02,120.36850209754442,121.61430932967109,119.4193181494529,121.15949249267578,295100,[],[],[]
2026-01-05,120.38828287586784,123.17651312401217,120.38828287586784,121.61431121826172,435700,[],[],[]
2026-01-06,120.8430922091253,121.46599202442482,118.7568624940921,119.20178985595705,777200,[],[],[]
2026-01-07,119.31055741898702,120.57613602320411,116.2850330968153,119.0831527709961,478500,[],[],[]
2026-01-08,118.56900865138996,121.98014631699304,118.17351344536361,121.06062316894533,330000,[],[],[]
