Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2016-10-01,20.690692523912823,22.022460963708223,20.274053397732256,21.985260009765625,1738100.0,[],[],[]
2016-11-01,21.98526218034511,26.050058062589407,21.76205908998294,25.42838859558105,3340100.0,[],[],[]
2016-12-01,25.57818926488516,27.974971681283765,25.54074098225207,27.6004695892334,4212700.0,[],[],[]
2017-01-01,27.825169707731632,28.049867671137765,25.80288988204472,26.514430999755863,3785200.0,[],[],[]
2017-02-01,26.701679798180155,27.11363503941538,25.95268129346716,26.634542465209957,2638900.0,[],[],[]
2017-03-01,27.086615517811225,27.463341733986088,24.788591942537714,27.161958694458008,4406900.0,[],[],[]
2017-04-01,27.274987503178966,29.120934576832067,25.278318499991244,28.25447273254394,3352800.0,[],[],[]
2017-05-01,28.480501182299985,28.894894591985096,26.366624784158777,27.16216468811035,4861800.0,[],[],[]
2017-06-01,27.16216915628435,28.298656183772835,25.9877927694254,26.631805419921875,6221500.0,[],[],[]
2017-07-01,26.707572473732448,28.298657146128985,26.707572473732448,28.147127151489254,4661000.0,[],[],[]
2017-08-01,28.374425033698245,28.374425033698245,25.03707965552647,25.761137008666992,4772700.0,[],[],[]
2017-09-01,25.799252261506112,29.724388762443294,25.265733583706062,29.53384780883789,6098800.0,[],[],[]
2017-10-01,29.571956599381462,30.486564858028807,28.809796798713933,29.190868377685547,4457000.0,[],[],[]
2017-11-01,29.495743424215267,30.27755913498299,26.90486199629286,29.54936408996582,3544500.0,[],[],[]
2017-12-01,29.62600875175859,30.469175522572282,28.054637908935547,28.054637908935547,4048300.0,[],[],[]
2018-01-01,28.092962887159455,30.085924583627246,27.70970679618554,29.08945083618164,4737200.0,[],[],[]
2018-02-01,28.897817096972553,29.70266504589536,27.441425823707934,28.33857536315918,3378600.0,[],[],[]
2018-03-01,28.41569027187431,30.92181381874546,28.338579667099648,29.263917922973636,3678400.0,[],[],[]
2018-04-01,29.10970527027945,30.49769899101972,28.569922067679762,29.263917922973636,2667200.0,[],[],[]
2018-05-01,29.225356622711498,31.02174377483351,28.762695781316378,30.4788589477539,2860300.0,[],[],[]
2018-06-01,30.750314105979918,34.20147750892366,30.633981347855254,31.48707389831543,17514400.0,[],[],['shooting_star']
2018-07-01,31.25440238898231,34.31780178283763,31.02173993119111,31.48707389831543,5535600.0,[],[],[]
2018-08-01,31.642173882511734,33.449646785152815,31.487064592416036,32.94284439086914,3856900.0,[],[],[]
2018-09-01,32.94283397070938,33.83951471788194,31.422395525158088,31.734281539916996,4691200.0,[],[],[]
2018-10-01,31.952600471156664,32.35025610134008,25.215895644733568,26.018993377685547,5999500.0,[],[],[]
2018-11-01,26.12815499453424,27.519841099794732,26.08137416526682,26.79790496826172,4822600.0,[],[],[]
2018-12-01,27.182408526940808,27.441364783996853,20.2220212209002,21.163679122924805,7578700.0,['engulfing'],[],[]
2019-01-01,20.865486036388894,22.74094520585645,20.418198403349376,21.38339233398437,5535600.0,[],[],[]
2019-02-01,21.328470356605415,24.899871200034365,21.31277575889602,24.7733154296875,4652500.0,[],[],[]
2019-03-01,24.971056304420465,25.160889939376823,20.73143519736115,21.54613494873047,6281400.0,[],[],[]
2019-04-01,21.73597431937058,24.5518411489726,21.633148319842466,23.72131729125977,4959800.0,[],[],[]
2019-05-01,23.73713472549031,24.950782223954487,23.053569946325165,23.268800735473636,8108900.0,[],[],[]
2019-06-01,23.24488391156774,25.189926076081562,23.18111199972918,25.022523880004883,5823500.0,[],[],[]
2019-07-01,24.99860973507687,26.568996696835253,23.73911152081301,26.14650535583496,4895100.0,[],[],[]
2019-08-01,26.090702768874365,26.34579036559172,22.654770600946105,23.56256103515625,3760600.0,[],[],[]
2019-09-01,23.273349755674943,26.036908053864558,22.8234683700078,23.530426025390625,5197400.0,[],[],[]
2019-10-01,23.73930143461839,25.65932545666302,22.486057214955856,24.92827415466309,4292000.0,[],[],[]
2019-11-01,25.056806568594098,26.486794573299598,25.056806568594098,25.525117874145508,3396000.0,[],[],[]
2019-12-01,25.638380691680315,27.280733006994023,24.894063232298592,26.60114097595215,4264600.0,[],[],[]
2020-01-01,26.730581638430927,26.730581638430927,22.685396254001574,22.774389266967773,3452000.0,[],[],[]
2020-02-01,22.86338868320006,23.818050587512424,19.26216136612955,19.914838790893555,3822800.0,[],[],[]
2020-03-01,19.95562962125387,20.885695204472086,9.32513524029537,12.123493194580078,10052500.0,['RSI_OVERSOLD'],['RSI_OVERSOLD'],[]
2020-04-01,11.55240127356606,15.329774256499693,10.899722247009306,13.902040481567385,7607500.0,[],[],[]
2020-05-01,13.46148270464158,13.502274454031632,7.465003446504656,8.827470779418945,12182400.0,['RSI_OVERSOLD'],['RSI_OVERSOLD'],[]
2020-06-01,8.917212804364883,12.107179667517206,8.094951429108963,9.196532249450684,16733300.0,[],[],[]
2020-07-01,9.279984159519248,9.363437573686104,7.694376124980246,8.311928749084473,11561600.0,['engulfing'],[],[]
2020-08-01,8.562288090554224,9.396822119845313,7.535814845411361,7.660994529724121,9728600.0,[],[],[]
2020-09-01,7.594232959967933,8.765351511487255,7.22001642142095,8.53735065460205,13987900.0,[],[],[]
2020-10-01,8.596462606864568,11.492914232684836,8.27557295298757,11.00313663482666,10131900.0,[],[],[]
2020-11-01,11.281801508210426,15.537813198953158,10.395133763678537,13.848919868469238,7782100.0,[],[],[]
2020-12-01,14.304922154036968,16.24714892537684,14.00713348388672,14.551100730895996,6690600.0,[],[],[]
2021-01-01,14.721093868212849,16.956453653945776,14.007135579689457,14.092130661010742,8098400.0,[],[],[]
2021-02-01,14.202623126855617,18.290870162594597,13.896643103813096,17.134944915771484,7328300.0,[],[],[]
2021-03-01,17.491920895577987,21.129695781868644,17.423925154941145,19.06840133666992,7631500.0,[],[],[]
2021-04-01,19.02568849137489,20.512210761104324,17.94070510420665,18.95734405517578,5167500.0,[],[],[]
2021-05-01,19.13675182932383,23.75861992445517,18.991517484394993,23.70736122131348,8091800.0,[],[],[]
2021-06-01,23.758617690977108,24.68128829177436,22.767605925431173,23.518115997314453,7626400.0,[],[],[]
2021-07-01,23.681141657315074,24.453348357898868,21.947957474114332,23.200653076171875,9960000.0,[],[],[]
2021-08-01,23.423735581023745,24.856615554549435,21.299600988516637,22.092626571655277,5769600.0,[],[],[]
2021-09-01,22.023669931630245,23.807973653618372,19.9549060337634,23.25630187988281,8053700.0,[],[],[]
2021-10-01,23.420081205558454,24.695813223287086,22.497760742164502,23.402841567993164,4144200.0,[],[],[]
2021-11-01,23.69591617591545,25.241523035073012,22.990904853019714,23.120744705200195,4677300.0,[],[],[]
2021-12-01,23.726683209785335,24.99049634903691,22.81778137078718,24.609621047973636,6492100.0,[],[],[]
2022-01-01,24.843335550577873,27.50945332601296,24.23739974300917,25.613740921020508,5343400.0,[],[],[]
2022-02-01,25.50986585938175,27.433864602040256,24.99201321338131,27.02544212341309,4809700.0,[],[],[]
2022-03-01,26.747366926612177,26.860330666010473,24.818219042004564,25.174501419067383,7320200.0,[],[],[]
2022-04-01,25.383058844472696,25.69589461863248,21.446560526887097,21.498699188232425,7349400.0,[],[],[]
2022-05-01,21.42918007648912,22.929040620952264,21.08158624400531,22.798070907592773,7322200.0,[],[],[]
2022-06-01,22.86792433566804,23.19972205968258,20.84220459257357,21.628040313720703,5717800.0,[],[],[]
2022-07-01,21.497066436063303,24.684085140821487,20.62391371071656,24.596769332885746,5163500.0,[],[],[]
2022-08-01,24.36101305112108,26.724531796072593,24.28242900374567,24.73422241210937,6190400.0,[],[],[]
2022-09-01,24.742985661915558,26.233528138860766,23.857428540207597,23.936342239379883,6565500.0,[],[],[]
2022-10-01,24.155540392748982,26.137084343412802,23.839897436213917,25.646080017089844,7481200.0,[],[],[]
2022-11-01,25.742524461581404,27.57852554321289,24.024019203898952,27.499147415161133,4980700.0,[],[],[]
2022-12-01,27.604981525004813,27.896024401017808,24.773929126555227,26.370258331298828,6717100.0,[],[],[]
2023-01-01,26.537828931809724,27.578527834653386,24.6504561746828,27.38448905944824,6547100.0,[],[],[]
2023-02-01,27.137551036931395,27.79901080563809,25.773911382706274,25.78278160095215,4528700.0,[],[],[]
2023-03-01,25.702935101489082,25.93361405101331,20.441687371955233,22.2338809967041,10655200.0,[],[],[]
2023-04-01,22.287112849407606,22.375834075643574,18.134897196945733,18.87129592895508,5643300.0,[],[],[]
2023-05-01,18.88016792871309,20.016273312527687,16.03217084076416,18.31467056274414,6287300.0,[],[],[]
2023-06-01,18.529611989009176,21.35964926211977,18.207201575600028,18.5654354095459,5014900.0,[],[],[]
2023-07-01,18.556474114395197,21.458165918590918,17.938524080980628,20.42824363708496,4423900.0,[],[],[]
2023-08-01,20.437200799763083,20.947684039816266,18.74532584983707,18.871734619140625,4082100.0,[],[],[]
2023-09-01,19.061355044462054,19.67536389678498,17.544394013667667,18.10422706604004,4963200.0,[],[],[]
2023-10-01,18.086165254067605,19.232913992805006,16.533081320353418,17.706926345825195,4289300.0,[],[],[]
2023-11-01,17.652748563888103,19.939937225043572,17.499246327582643,19.0567569732666,3586000.0,[],[],[]
2023-12-01,18.983915531923433,23.481786443202772,18.911075639050058,22.607702255249023,4284300.0,[],[],[]
2024-01-01,22.289026614071656,23.336104903751277,21.11448511264871,21.85198974609375,5026100.0,[],[],[]
2024-02-01,21.85199072846268,21.98856532318754,19.521110848966995,19.566635131835938,5083300.0,[],[],[]
2024-03-01,19.43916575049084,21.181822623313707,18.98391469716326,21.044099807739254,4734000.0,[],[],[]
2024-04-01,21.044097576111987,21.044097576111987,18.82216253106141,19.575050354003903,5168900.0,[],[],[]
2024-05-01,19.859676423536342,21.714347716988186,19.6944112237599,20.410572052001957,4216100.0,[],[],[]
2024-06-01,20.594201013329563,21.213852385184747,19.060886116990265,21.111995697021484,5331500.0,[],[],[]
2024-07-01,21.08421961362403,26.399255314945947,20.399005112158964,25.556625366210938,6812600.0,[],[],[]
2024-08-01,25.519587951222427,26.260362682151882,22.399087654341713,25.50106811523437,5372900.0,[],[],[]
2024-09-01,25.20476023385461,25.98257348685297,23.26949264853243,25.10528945922852,7131100.0,[],[],[]
2024-10-01,24.93748688697834,26.55026415293289,23.72557073631002,25.38496208190918,4722100.0,[],[],[]
2024-11-01,25.55276449330089,30.343615110068004,24.88155176935591,28.58075714111328,5422200.0,[],[],[]
2024-12-01,28.833934032301414,29.171502612804343,25.87083711855737,26.658496856689453,11136000.0,[],[],[]
2025-01-01,26.855411118361662,27.868115090103647,25.055046598702464,27.577430725097656,8292500.0,[],[],[]
2025-02-01,26.996065765012215,28.599511348286494,26.248254112725842,26.880401611328125,7176600.0,[],[],[]
2025-03-01,26.993625037590544,27.11627965227327,24.219721455359693,24.61599540710449,12842700.0,[],[],[]
2025-04-01,24.37068439129115,24.804697598270554,21.01181159973495,23.427181243896484,12770400.0,[],[],[]
