Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-12-04,96.70418117896385,99.2876219461346,94.41408628631523,98.17096710205078,798400.0,[],[],[]
2022-12-11,97.64102745401031,98.69144032228658,95.33202737482418,97.49285125732422,660100.0,[],[],[]
2022-12-18,97.85329678525224,101.1922240805831,93.66066540849903,94.9696807861328,1863900.0,[],[],[]
2022-12-25,95.18784052124838,96.18384575448515,91.02366943859512,95.37757110595705,712500.0,[],[],[]
2023-01-01,95.3586014703336,96.40201455483957,92.97769564583476,93.9926528930664,336600.0,[],[],[]
2023-01-08,94.46692672227834,95.44395583807263,91.9343032836914,94.6281967163086,428800.0,[],[],[]
2023-01-15,94.7135751746264,96.49684937971018,92.11451130541161,96.2312469482422,582500.0,[],[],[]
2023-01-22,96.43047376000935,97.20829154681348,93.13896546924546,95.87081146240234,457700.0,[],[],[]
2023-01-29,96.22178109633441,97.47387808594137,94.97917715100859,95.95619201660156,454200.0,[],[],[]
2023-02-05,95.51983279526014,106.94996350562923,94.02111594785418,105.53661346435548,907000.0,[],[],[]
2023-02-12,104.87263220179956,105.42279790411274,98.65010455605128,100.04448699951172,715000.0,[],[],[]
2023-02-19,100.50925929722881,103.2506019935274,98.91569391542639,103.20317840576172,660900.0,[],[],[]
2023-02-26,102.33048572432445,103.03242420673158,97.76791999185126,98.29911041259766,545500.0,[],[],[]
2023-03-05,98.75442426502042,100.1867536110377,96.41149845487931,100.03498077392578,731700.0,[],[],[]
2023-03-12,99.778878032077,100.40492292343056,93.8212551715987,95.1145477294922,822800.0,[],[],[]
2023-03-19,94.06848556776013,99.64110469685274,86.62251558091472,91.32976531982422,3566200.0,[],[],[]
2023-03-26,92.26166709516278,94.17311216744545,87.05997298250078,88.37227630615234,13706100.0,[],[],[]
2023-04-02,89.52293498308225,95.55200640537979,89.52293498308225,94.80075073242188,1445700.0,[],[],[]
2023-04-09,94.2967229041733,95.50443283880114,92.24267043491689,92.88932037353516,1088800.0,[],[],[]
2023-04-16,92.11905694504392,95.77070312222536,92.11905694504392,93.4789047241211,797900.0,[],[],[]
