Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-06-26,234.1499938964844,248.759994506836,224.3600006103516,225.28073120117188,17076100,[],[],[]
2022-07-03,246.94000244140625,248.1499938964844,217.7100067138672,207.10012817382807,15129900,[],[],[]
2022-07-10,220.6000061035156,232.92999267578125,218.72000122070312,213.4721069335937,7255500,[],[],[]
2022-07-17,228.6499938964844,231.25,210.4100036621093,201.7468414306641,8563100,[],[],[]
2022-07-24,219.1100006103516,230.3099975585937,217.1000061035156,210.51763916015625,6696100,[],[],[]
2022-07-31,229.47999572753903,233.97999572753903,221.1100006103516,215.880126953125,7166400,[],[],[]
2022-08-07,232.0599975585937,239.7400054931641,231.52999877929688,217.5472412109375,6964300,[],[],[]
2022-08-14,236.0,236.1600036621093,222.8600006103516,213.6480865478516,9702600,[],[],[]
2022-08-21,229.0399932861328,240.8999938964844,228.9499969482422,214.62057495117188,7209000,[],[],[]
2022-08-28,227.3800048828125,229.3999938964844,218.0200042724609,202.0525054931641,6704500,[],[],[]
2022-09-04,216.1999969482422,218.9900054931641,206.97000122070312,194.3697967529297,7356700,[],[],[]
2022-09-11,204.9900054931641,209.57000732421875,196.88999938964844,194.6957397460937,9672100,[],[],[]
2022-09-18,210.259994506836,215.8300018310547,155.0,149.94932556152344,42661500,[],[],[]
2022-09-25,160.0,165.35000610351562,146.64999389648438,139.0630645751953,37749700,[],[],[]
2022-10-02,148.47000122070312,153.3699951171875,141.9199981689453,138.26217651367188,23965600,[],[],[]
2022-10-09,150.1199951171875,159.61000061035156,147.97999572753906,143.79379272460938,31998000,[],[],[]
2022-10-16,155.88999938964844,158.41000366210938,148.92999267578125,146.16847229003906,19087400,[],[],[]
2022-10-23,158.27999877929688,161.4199981689453,149.63999938964844,142.6948699951172,19483900,[],[],[]
2022-10-30,152.19000244140625,160.52999877929688,151.42999267578125,149.34397888183594,13884400,[],[],[]
2022-11-06,159.02000427246094,162.5500030517578,151.33999633789062,145.88909912109375,13919400,[],[],[]
2022-11-13,157.89999389648438,176.89999389648438,157.0399932861328,163.53622436523438,15791400,[],[],[]
2022-11-20,174.52000427246094,179.50999450683594,167.1999969482422,162.70742797851562,14091400,[],[],[]
2022-11-27,173.92999267578125,177.77000427246094,172.8699951171875,164.55125427246094,5045800,[],[],[]
2022-12-04,175.75,183.5500030517578,171.88999938964844,168.9374237060547,12957100,[],[],[]
2022-12-11,179.5500030517578,179.9199981689453,170.14999389648438,161.56251525878906,8829500,[],[],[]
2022-12-18,172.0800018310547,184.38999938964844,169.58999633789062,160.9906005859375,12013900,[],[],[]
2022-12-25,170.2899932861328,179.05999755859375,162.61000061035156,164.93756103515625,24298000,[],[],[]
2023-01-01,175.72000122070312,177.99000549316406,171.5500030517578,162.3781280517578,6563000,[],[],[]
2023-01-08,174.97000122070312,186.4600067138672,174.52999877929688,174.16275024414062,8960900,[],[],[]
2023-01-15,185.77999877929688,193.9100036621093,185.69000244140625,176.84408569335938,9406100,[],[],[]
2023-01-22,187.9600067138672,191.7100067138672,183.63999938964844,175.20338439941406,6108400,[],[],[]
2023-01-29,187.1999969482422,193.1699981689453,185.8500061035156,178.65347290039062,6383200,[],[],[]
2023-02-05,188.0500030517578,217.38999938964844,183.58999633789065,201.2570343017578,15868500,[],[],[]
2023-02-12,213.0,214.47000122070312,205.94000244140625,196.2881622314453,7670300,[],[],[]
2023-02-19,207.6100006103516,213.1300048828125,207.25,197.16004943847656,5486300,[],[],[]
2023-02-26,206.67999267578125,207.9900054931641,199.58999633789065,190.5787048339844,6837400,[],[],[]
2023-03-05,206.0399932861328,210.1000061035156,202.5800018310547,196.01632690429688,6672900,[],[],[]
2023-03-12,209.6000061035156,213.3099975585937,198.5,189.66880798339844,9241300,[],[],[]
2023-03-19,196.97000122070312,226.0500030517578,190.8300018310547,207.69386291503903,25253900,[],[],[]
2023-03-26,219.9900054931641,223.6000061035156,214.6699981689453,205.1390838623047,11890500,[],[],[]
2023-04-02,217.32000732421875,228.8600006103516,217.1499938964844,215.4054412841797,8204300,[],[],[]
2023-04-09,227.32000732421875,235.8099975585937,223.42999267578125,218.8087158203125,14011400,[],[],[]
2023-04-16,229.3600006103516,233.3800048828125,227.72999572753903,217.47946166992188,9683600,[],[],[]
2023-04-23,230.75,232.5,227.17999267578125,217.2437744140625,7654000,[],[],[]
2023-04-30,231.0,232.63999938964844,221.6999969482422,214.7360992431641,8532700,[],[],[]
2023-05-07,228.4499969482422,231.69000244140625,225.009994506836,216.16905212402344,5693700,[],[],[]
2023-05-14,229.0500030517578,231.6499938964844,220.259994506836,210.16384887695312,6436300,[],[],[]
2023-05-21,221.77999877929688,234.1499938964844,219.3300018310547,215.961669921875,10240700,[],[],[]
2023-05-28,229.0200042724609,230.44000244140625,222.52999877929688,211.31396484375,5187600,[],[],[]
2023-06-04,225.57000732421875,227.3800048828125,213.8099975585937,209.04200744628903,8787500,[],[],[]
2023-06-11,221.9600067138672,226.3999938964844,218.5500030517578,212.1342010498047,8089800,[],[],[]
2023-06-18,224.42999267578125,238.0,222.009994506836,221.3302459716797,11485200,[],[],[]
2023-06-25,234.58999633789065,234.7899932861328,223.2400054931641,220.2684326171875,18961900,[],[],[]
2023-07-02,232.8699951171875,250.0800018310547,232.58999633789065,235.0199584960937,14267200,[],[],[]
2023-07-09,247.1100006103516,253.1300048828125,246.17999267578125,238.19590759277344,7031300,[],[],[]
2023-07-16,250.4600067138672,262.8699951171875,249.32000732421875,244.07379150390625,9472700,[],[],[]
2023-07-23,256.3900146484375,265.6000061035156,253.88999938964844,246.1784210205078,10842000,[],[],[]
2023-07-30,255.0,270.2699890136719,254.44000244140625,254.8814849853516,10129000,[],[],[]
2023-08-06,268.8500061035156,270.95001220703125,262.3699951171875,249.33546447753903,6939100,[],[],[]
2023-08-13,263.75,269.9100036621094,262.239990234375,251.96145629882807,7055500,[],[],[]
2023-08-20,266.0400085449219,268.4200134277344,261.3699951171875,249.00360107421875,9241500,[],[],[]
2023-08-27,261.82000732421875,263.3900146484375,254.5,245.28732299804688,7966200,[],[],[]
2023-09-03,259.7799987792969,264.82000732421875,257.1700134277344,247.4109344482422,7338700,[],[],[]
2023-09-10,260.17999267578125,260.3299865722656,251.7899932861328,241.3359832763672,4713600,[],[],[]
2023-09-17,255.1100006103516,258.6199951171875,249.9100036621093,242.0695953369141,7565500,[],[],[]
2023-09-24,253.7899932861328,268.3800048828125,246.0500030517578,248.7481842041016,17918900,[],[],[]
2023-10-01,260.2900085449219,270.4599914550781,260.0299987792969,252.39718627929688,11022700,[],[],[]
2023-10-08,266.0,266.7200012207031,255.6699981689453,245.708984375,9196600,[],[],[]
2023-10-15,255.0,259.2099914550781,241.0399932861328,231.36090087890625,10810100,[],[],[]
2023-10-22,244.259994506836,251.0599975585937,238.6199951171875,229.245849609375,8399300,[],[],[]
2023-10-29,239.6999969482422,243.07000732421875,224.69000244140625,218.0226593017578,9417100,[],[],[]
2023-11-05,229.52999877929688,250.0,229.07000732421875,235.45762634277344,8611100,[],[],[]
2023-11-12,247.3600006103516,247.6999969482422,240.75,234.4001007080078,5255000,[],[],[]
2023-11-19,244.88999938964844,261.9200134277344,242.3000030517578,243.85118103027344,7694700,[],[],[]
2023-11-26,255.3600006103516,259.2099914550781,252.3800048828125,245.4327087402344,3460200,[],[],[]
2023-12-03,255.8300018310547,265.29998779296875,251.6600036621093,251.9208374023437,7742900,[],[],[]
2023-12-10,262.6300048828125,273.760009765625,261.8900146484375,260.5693054199219,7693600,[],[],['shooting_star']
2023-12-17,271.9599914550781,284.5199890136719,268.5599975585937,269.26104736328125,9992900,[],[],['shooting_star']
2023-12-24,283.25,285.5299987792969,244.6300048828125,237.4233245849609,37365000,[],[],[]
2023-12-31,250.0,255.6300048828125,249.1999969482422,242.152084350586,10924800,[],[],[]
2024-01-07,251.509994506836,252.94000244140625,244.509994506836,236.2555084228516,10617900,[],[],[]
2024-01-14,248.2700042724609,251.72999572753903,246.02999877929688,237.9402770996093,9333900,[],[],[]
2024-01-21,247.25,247.25,241.5,235.98751831054688,9135000,[],[],[]
2024-01-28,247.3999938964844,254.8500061035156,247.3999938964844,240.7928161621093,9870500,[],[],[]
2024-02-04,250.8600006103516,251.009994506836,239.17999267578125,231.99581909179688,13980600,[],[],[]
