Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2024-03-31,115.0,137.92999267578125,115.0,136.32652282714844,7199500,[],[],[]
2024-04-07,141.00999450683594,152.47999572753906,119.0,122.32001495361328,58405000,[],[],[]
2024-04-14,126.12999725341795,139.92999267578125,125.86000061035156,133.5850372314453,38807400,[],[],[]
2024-04-21,134.60000610351562,140.58999633789062,128.25,134.681640625,25291500,[],[],[]
2024-04-28,135.52000427246094,157.25,132.11000061035156,152.5959930419922,22102200,[],[],[]
2024-05-05,153.5800018310547,167.1699981689453,149.42100524902344,165.74513244628906,19469000,[],[],[]
2024-05-12,167.16000366210938,173.5,163.22500610351562,166.7519989013672,18053700,[],[],[]
2024-05-19,165.0,172.35000610351562,158.86000061035156,162.1164093017578,14382800,[],[],[]
2024-05-26,163.05999755859375,177.77000427246094,159.07000732421875,176.88052368164062,13133400,[],[],[]
2024-06-02,178.33999633789062,182.77999877929688,165.39999389648438,175.3552703857422,11659400,[],[],[]
2024-06-09,178.92999267578125,179.0,155.5,161.57806396484375,26819400,[],[],[]
2024-06-16,161.22000122070312,181.9600067138672,160.59800720214844,169.64300537109375,16866700,[],[],[]
2024-06-23,169.75,185.5,166.14999389648438,175.185791015625,13967400,[],[],[]
2024-06-30,176.5500030517578,181.7250061035156,167.1750030517578,170.97885131835938,13715200,[],[],[]
2024-07-07,171.0,177.44000244140625,165.1199951171875,175.6842498779297,8142300,[],[],[]
2024-07-14,176.80999755859375,184.33099365234372,172.60000610351562,179.89117431640625,9473800,[],[],[]
2024-07-21,180.2400054931641,183.88999938964844,159.11000061035156,162.8341522216797,18134300,[],[],[]
2024-07-28,166.3800048828125,173.9759979248047,156.41000366210938,172.5739288330078,19527600,[],[],[]
2024-08-04,174.32000732421875,183.8600006103516,161.5,164.21986389160156,15474900,[],[],[]
2024-08-11,152.40499877929688,179.5500030517578,150.00999450683594,178.5553436279297,15335500,[],[],[]
2024-08-18,178.49000549316406,190.8000030517578,174.38999938964844,183.489990234375,11788600,[],[],[]
2024-08-25,184.1000061035156,186.7449951171875,173.07000732421875,182.72235107421875,11307100,[],[],[]
2024-09-01,181.47999572753903,201.3699951171875,179.19000244140625,200.37754821777344,12360700,[],[],[]
2024-09-08,200.0,204.19000244140625,187.54800415039065,197.71578979492188,14989300,[],[],[]
2024-09-15,200.00999450683597,228.677001953125,197.3800048828125,224.89138793945312,15075800,[],[],[]
2024-09-22,227.8800048828125,250.8489990234375,225.2400054931641,244.6998748779297,17907000,[],[],[]
2024-09-29,247.8249969482422,258.6400146484375,246.7899932861328,249.08624267578125,14706600,[],[],['shooting_star']
2024-10-06,251.0,266.4200134277344,248.5,264.7675170898437,13517000,[],[],[]
2024-10-13,265.4100036621094,270.1099853515625,260.5199890136719,266.0635070800781,9132900,[],[],[]
2024-10-20,267.260009765625,281.3729858398437,260.04998779296875,271.8754577636719,10721200,[],[],[]
2024-10-27,277.0,298.8099975585937,268.5,292.6310119628906,15154300,[],[],[]
2024-11-03,295.739990234375,311.5799865722656,284.1000061035156,300.1575927734375,11600300,[],[],[]
2024-11-10,298.0,342.7900085449219,292.5400085449219,340.1234130859375,14085900,[],[],[]
2024-11-17,347.79998779296875,349.7900085449219,319.1000061035156,328.73876953125,17045600,[],[],[]
2024-11-24,326.57000732421875,357.0899963378906,317.54998779296875,348.0787353515625,12035800,[],[],[]
2024-12-01,353.5199890136719,354.989990234375,328.1940002441406,333.0852966308594,11422200,[],[],[]
2024-12-08,335.7300109863281,354.69000244140625,326.6300048828125,345.4369506835937,10578100,[],[],[]
2024-12-15,340.3500061035156,350.5799865722656,322.3309936523437,330.9818115234375,19445800,[],[],[]
2024-12-22,336.0599975585937,345.6400146484375,314.19000244140625,341.85565185546875,22606200,[],[],[]
2024-12-29,344.25,348.989990234375,332.5,333.0164794921875,5215800,[],[],[]
2025-01-05,324.3399963378906,354.9800109863281,323.0,353.1989440917969,8495100,[],[],[]
2025-01-12,369.75,376.2950134277344,348.20001220703125,366.23828125,11694400,[],[],[]
2025-01-19,355.3299865722656,404.1300048828125,353.010009765625,400.4677429199219,13362900,[],[],[]
2025-01-26,405.0,447.5,395.2900085449219,419.5029602050781,17839700,[],[],[]
2025-02-02,339.6000061035156,387.6400146484375,317.70001220703125,372.0047607421875,39025300,[],[],[]
2025-02-09,350.3399963378906,389.8900146484375,348.95001220703125,377.082763671875,14508300,[],[],[]
2025-02-16,379.1499938964844,385.7000122070313,357.0,366.7271118164063,10817100,[],[],[]
2025-02-23,367.9200134277344,383.2900085449219,325.4200134277344,327.1103210449219,14499200,[],[],[]
2025-03-02,327.3800048828125,348.510009765625,298.0,334.3932189941406,27533500,[],[],[]
2025-03-09,334.70001220703125,337.42999267578125,279.5599975585937,288.6208801269531,30619500,[],[],[]
2025-03-16,275.9700012207031,315.79998779296875,266.4700012207031,312.893798828125,23920000,[],[],[]
2025-03-23,312.5,343.4200134277344,311.0,333.0863037109375,17108200,[],[],[]
2025-03-30,344.239990234375,349.6199951171875,299.1300048828125,302.21893310546875,16110800,[],[],[]
2025-04-06,291.3500061035156,335.7850036621094,252.25,270.8427429199219,26274000,[],[],[]
2025-04-13,257.0199890136719,333.29998779296875,253.0760040283203,320.67547607421875,27108700,[],[],[]
2025-04-20,333.3299865722656,339.989990234375,316.0,323.0365905761719,10978900,[],[],[]
2025-04-27,320.0,376.1499938964844,306.2099914550781,371.8290710449219,20383300,[],[],[]
2025-05-04,371.0,403.4200134277344,357.6400146484375,395.6911315917969,15037500,[],[],[]
2025-05-11,392.0,413.75,387.0299987792969,398.62646484375,12758400,[],[],[]
2025-05-18,415.0,444.0,408.8200073242188,427.3807678222656,15894900,[],[],['shooting_star']
2025-05-25,424.5,469.8110046386719,421.6380004882813,463.6531677246094,16103200,[],[],[]
2025-06-01,471.6400146484375,489.1300048828125,462.0,472.2294921875,15644300,[],[],[]
