Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2017-03-05,40.84067042199198,41.42042988146434,40.62521809213186,41.06504440307617,133954000,[],[],[]
2017-03-12,40.959549233408296,41.84911670142633,40.73418288756935,41.76689529418945,122038000,[],[],[]
2017-03-19,41.804051930489784,42.26963648108144,41.644064975020896,42.20623779296875,121498000,[],[],[]
2017-03-26,42.10172269100355,42.274583647258,40.06501513122652,40.33941650390625,211292000,[],[],[]
2017-04-02,39.968927956615914,41.292888287249404,39.79160662854285,41.08881759643555,155166000,[],[],[]
2017-04-09,41.0719811384509,41.72727691675806,40.64071366047713,40.84661483764648,131678000,[],[],[]
2017-04-16,40.88228160975956,41.078421901424555,40.46771034702369,40.79164123535156,81630000,[],[],[]
2017-04-23,40.86345093577492,41.863481210009766,40.83670385049445,41.7639274597168,99370000,[],[],[]
2017-04-30,42.16066997677901,45.412371594034106,42.09429729328458,44.87298202514648,191696000,[],[],[]
2017-05-07,44.67386739728883,46.357421365126605,44.64959549039421,45.92154312133789,170722000,[],[],[]
2017-05-14,45.871524750725236,46.435178773952394,45.71847519111934,46.17366027832031,119422000,[],[],[]
2017-05-21,46.20981186929446,46.71305267155158,45.476264982912696,46.2623176574707,148592000,[],[],[]
2017-05-28,46.31135048452643,48.291596730431095,46.31135048452643,48.11774444580078,126570000,[],[],[]
2017-06-04,48.06028751618184,48.50408484756576,47.55011939760976,48.322303771972656,141526000,[],[],[]
2017-06-11,48.36936133965012,48.94887381540816,46.342561119920596,47.0458984375,186238000,[],[],[]
2017-06-18,46.53722287485245,47.60658343599389,45.332284901347414,46.5481071472168,249886000,[],[],[]
2017-06-25,47.052334972058276,47.846807772004844,47.00726019831173,47.82649993896485,126616000,[],[],[]
2017-07-02,48.039981185759665,48.20888311528139,44.98937855535175,45.01018142700195,245782000,[],[],[]
2017-07-09,45.18106543375618,45.64466936290767,44.31972070138691,45.49855422973633,131720000,[],[],[]
2017-07-16,45.656061401808536,47.396575365484495,45.54808297913864,47.35100555419922,123732000,[],[],[]
2017-07-23,47.40102663458315,48.337157749965606,47.016719621464595,48.189571380615234,137590000,[],[],[]
2017-07-30,48.154894287418344,48.847337031986115,45.568392976275035,46.63478469848633,301140000,[],[],[]
2017-08-06,46.6526269696571,46.73682853151153,45.40395005268062,45.9626579284668,147140000,[],[],[]
2017-08-13,46.017142841041256,46.35167010861491,44.854150737993315,45.29051971435547,126334000,[],[],[]
2017-08-20,45.69369971308533,46.197437648878136,44.93211900875862,45.10626983642578,111490000,[],[],[]
2017-08-27,45.07308288595861,46.10530967474073,44.746177394010346,45.36482238769531,110480000,[],[],[]
2017-09-03,45.370268507645676,46.68184996719619,44.82543317760244,46.42726135253906,122066000,[],[],[]
2017-09-10,46.21625747559039,46.4104176141453,45.53223897234518,45.89033889770508,101566000,[],[],[]
2017-09-17,46.274204905865645,46.478764565071955,45.3881008760024,45.58275604248047,148140000,[],[],[]
2017-09-24,45.56888526261184,46.3871316173849,45.10279894280477,45.99088668823242,125134000,[],[],[]
2017-10-01,45.83833712236824,47.5390238496286,45.05822752694277,47.50554275512695,167288000,[],[],[]
2017-10-08,47.54864044622962,48.5134960218369,46.94733350650826,48.48526382446289,110236000,[],[],[]
2017-10-15,48.54023759981271,49.39266947274276,47.85077227739711,49.01970291137695,119706000,[],[],[]
2017-10-22,49.139570996428645,49.368401126054515,48.46049605046623,48.94639587402344,115102000,[],[],[]
2017-10-29,49.01177498997771,51.927657190508974,47.575379980007774,50.48532104492188,222234000,[],[],[]
2017-11-05,50.224302152836955,51.14804113415641,49.90235074707474,51.13962173461914,138292000,[],[],[]
2017-11-12,50.96676246358795,51.68654788836042,50.50493187340687,50.92119216918945,105828000,[],[],[]
2017-11-19,50.69087045114095,51.31001051998338,50.2317250349989,50.47640609741211,104516000,[],[],[]
2017-11-26,50.53435817808503,51.66950674548083,50.397652514101246,51.54230880737305,66676000,[],[],[]
2017-12-03,51.51209477728668,52.62034821021211,49.630917705809736,50.03459167480469,176506000,[],[],[]
