Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-12-02,811.1199951171875,819.7000122070312,808.2999877929688,803.4489135742188,2254200,[],[],[]
2025-12-03,812.9500122070312,837.9099731445312,812.9500122070312,824.5007934570312,2347900,[],[],['shooting_star']
2025-12-04,835.5399780273438,843.989990234375,834.5,825.7426147460938,1670800,[],[],[]
2025-12-05,837.260009765625,856.2000122070312,836.52001953125,842.2312622070312,2277500,[],[],['shooting_star']
2025-12-08,861.0999755859375,870.5599975585938,856.2999877929688,854.1861572265625,2238100,[],[],['shooting_star']
2025-12-09,866.0,883.719970703125,864.3099975585938,863.93359375,2274800,[],[],['shooting_star']
2025-12-10,871.3499755859375,897.2000122070312,869.27001953125,876.4109497070312,2394300,[],[],['shooting_star']
2025-12-11,889.97998046875,919.0999755859376,888.0,897.8865966796875,2683000,[],[],['shooting_star']
2025-12-12,913.75,914.989990234375,886.989990234375,875.1494140625,2715200,[],[],[]
2025-12-15,892.0,904.469970703125,889.5900268554688,876.7559204101562,1976600,[],[],[]
2025-12-16,890.22998046875,896.239990234375,874.3200073242188,866.4664916992188,2161600,[],[],[]
2025-12-17,886.3300170898438,895.969970703125,868.4400024414062,859.744873046875,2213300,[],[],[]
2025-12-18,880.5,892.7899780273438,874.7000122070312,863.6575317382812,2066300,[],[],[]
2025-12-19,883.1699829101562,899.75,881.9500122070312,880.5897216796875,4808300,[],[],[]
2025-12-22,896.52001953125,905.47998046875,894.8400268554688,886.030029296875,1442300,[],[],[]
2025-12-23,900.3499755859375,905.9199829101562,893.7000122070312,888.7009887695312,1210200,[],[],[]
2025-12-24,901.1599731445312,911.8800048828124,898.7000122070312,897.6401977539062,771800,[],[],[]
2025-12-26,911.0,913.3200073242188,905.3099975585938,893.9540405273438,995300,[],[],[]
2025-12-29,906.4500122070312,906.47998046875,891.5599975585938,879.3084716796875,1578000,[],[],[]
2025-12-30,894.739990234375,895.02001953125,881.1799926757812,871.6604614257812,1833300,[],[],[]
2025-12-31,884.0999755859375,886.0,876.7899780273438,866.318603515625,1221500,[],[],[]
2026-01-02,884.0,914.4400024414062,880.75,901.1488037109376,2817600,[],[],[]
2026-01-05,914.4000244140624,961.6900024414062,912.5999755859376,934.7568969726562,3742000,[],[],[]
2026-01-06,949.4099731445312,958.5700073242188,943.25,941.685302734375,1966000,[],[],['shooting_star']
2026-01-07,956.8800048828124,958.25,934.0,927.4439086914062,2683300,[],[],[]
2026-01-08,935.47998046875,945.1900024414062,932.0,921.3431396484376,1960800,[],[],[]
2026-01-09,938.77001953125,946.1400146484376,932.7000122070312,925.4332885742188,1334100,[],[],[]
2026-01-12,934.0,950.5599975585938,929.1099853515624,935.850830078125,2179600,[],[],[]
2026-01-13,947.3200073242188,949.9400024414062,931.0,924.6152954101562,1969600,[],[],[]
2026-01-14,932.2999877929688,938.1500244140624,917.9000244140624,919.21435546875,2513000,[],[],[]
2026-01-15,924.9000244140624,981.260009765625,924.6699829101562,961.7811889648438,3773700,[],[],[]
2026-01-16,973.0,984.7000122070312,957.0,948.1212158203124,3071600,[],[],[]
2026-01-20,946.3800048828124,962.5999755859376,939.0999755859376,929.7598876953124,2629100,[],[],[]
2026-01-21,944.0,968.9199829101562,943.4500122070312,939.2608642578124,2251300,[],[],[]
2026-01-22,960.0599975585938,970.9500122070312,950.8099975585938,940.8772583007812,2468300,[],[],[]
2026-01-23,934.0800170898438,937.1900024414062,917.0499877929688,905.623291015625,3872600,[],[],[]
2026-01-26,918.4099731445312,933.739990234375,917.97998046875,918.4160766601562,2655900,[],[],[]
2026-01-27,924.0,933.4000244140624,920.3900146484376,916.3068237304688,2012500,[],[],[]
2026-01-28,932.510009765625,937.1699829101562,922.760009765625,923.2945556640624,1674100,[],[],[]
2026-01-29,937.2999877929688,955.3800048828124,925.1300048828124,926.556884765625,2335400,[],[],[]
2026-01-30,933.9500122070312,947.0,923.1699829101562,921.914794921875,1893700,[],[],[]
2026-02-02,932.1300048828124,949.4400024414062,912.0800170898438,932.6773071289062,1802000,[],[],[]
2026-02-03,949.5,964.5,919.0599975585938,925.443115234375,2321900,[],[],[]
2026-02-04,937.1199951171876,944.1599731445312,893.7999877929688,900.123779296875,3561900,[],[],[]
2026-02-05,901.6699829101562,910.8300170898438,876.719970703125,877.56396484375,3214300,[],[],[]
2026-02-06,907.8699951171876,931.77001953125,907.22998046875,915.3508911132812,2473200,[],[],[]
2026-02-09,929.0,949.0,927.1099853515624,930.00634765625,2322600,[],[],[]
2026-02-10,945.7000122070312,961.8300170898438,929.9299926757812,935.2988891601562,3324900,[],[],[]
2026-02-11,950.6400146484376,968.1300048828124,931.280029296875,930.96240234375,2654300,[],[],[]
2026-02-12,956.1699829101562,968.3900146484376,903.97998046875,891.5,3188700,[],[],[]
2026-02-13,894.4099731445312,905.989990234375,869.0,892.0814819335938,2623000,[],[],[]
2026-02-17,907.72998046875,921.5499877929688,905.6799926757812,902.82421875,2008500,[],[],[]
2026-02-18,921.5800170898438,947.7000122070312,919.97998046875,920.2589721679688,1864900,[],[],[]
2026-02-19,925.0,929.6599731445312,906.489990234375,903.4254760742188,1974200,[],[],[]
2026-02-20,912.5499877929688,922.3699951171876,900.5700073242188,908.934814453125,2009100,[],[],[]
2026-02-23,918.5,932.0,883.75,879.4366455078125,2535900,[],[],[]
2026-02-24,885.4400024414062,911.77001953125,881.6500244140625,889.2528686523438,1971500,[],[],[]
2026-02-25,914.719970703125,922.510009765625,907.52001953125,908.087158203125,1763600,[],[],[]
2026-02-26,927.760009765625,938.3900146484376,921.5399780273438,915.5972900390624,2220300,[],[],[]
2026-02-27,912.0,916.25,854.1500244140625,847.1689453125,5552300,[],[],[]
2026-03-02,840.0,873.6300048828125,836.0,853.7377319335938,2873200,[],[],[]
2026-03-03,836.0,868.3400268554688,824.6400146484375,854.609619140625,3782100,[],[],[]
2026-03-04,869.8400268554688,878.7999877929688,860.0,859.2364501953125,2081700,[],[],[]
2026-03-05,862.010009765625,866.52001953125,822.2000122070312,827.7401733398438,3093700,[],[],[]
2026-03-06,816.0,827.1599731445312,801.3300170898438,813.829833984375,2473000,[],[],[]
