Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2017-03-05,22.4746391941824,23.21371610656681,22.17229009498654,22.40744972229004,663300.0,[],[],[]
2017-03-12,22.205884669395434,22.306662573206946,21.164459142706388,21.399620056152344,425500.0,[],[],[]
2017-03-19,21.36602036184332,21.769157531858557,21.016642915906722,21.701967239379883,815600.0,[],[],[]
2017-03-26,21.601185515953304,21.601185515953304,19.18239012849917,19.787092208862305,781000.0,[],[],[]
2017-04-02,19.350364710776095,20.962889500080873,18.947226667345028,20.660539627075195,721600.0,[],[],[]
2017-04-09,20.694136222007018,20.761325233943655,19.417553735217663,19.820680618286133,971300.0,[],[],[]
2017-04-16,19.820684925960755,20.05584585087864,18.980820135084528,19.115198135375977,601500.0,[],[],[]
2017-04-23,19.18238276064804,19.45115052110151,18.409716724278596,19.3167724609375,921900.0,[],[],[]
2017-04-30,19.719904582796513,20.526165585153077,19.484735760969095,19.518329620361328,820900.0,[],[],[]
2017-05-07,19.68630738309502,19.90360834275473,19.148796000240385,19.714242935180664,687600.0,[],[],[]
2017-05-14,19.68042828273179,19.88331786040212,18.564526784546885,19.00412368774414,594400.0,[],[],[]
2017-05-21,19.004126657005944,19.308462426794584,18.395445809349834,18.463077545166016,687700.0,[],[],[]
2017-05-28,18.598339080810547,19.0041260980246,18.39544862499831,18.598339080810547,459000.0,[],[],[]
2017-06-04,18.496897324479935,18.5307119768131,17.550072869742067,18.192556381225582,773400.0,[],['hammer'],[]
2017-06-11,18.226373489083123,20.22146822830939,17.820592438016693,20.08620834350586,649800.0,[],[],[]
2017-06-18,20.120024460146716,20.5799109399129,19.40990469854185,19.781871795654297,802300.0,[],[],[]
2017-06-25,19.91713315300068,19.984762452578597,18.53070868344682,18.66596984863281,606900.0,[],[],[]
2017-07-02,18.69978430871667,19.612799536663555,18.327818043078878,19.24082946777344,705300.0,[],[],[]
2017-07-09,19.30845896319862,19.88331703405303,19.105567860295547,19.49782371520996,403800.0,[],[],[]
2017-07-16,19.37609285870345,19.47753811441413,18.632156085080137,19.00412368774414,535600.0,[],[],[]
2017-07-23,19.004120204340683,19.51135024109948,18.767416361570515,19.30845642089844,1491500.0,[],[],[]
2017-07-30,19.20701417573946,19.984762452578597,19.20701417573946,19.51572799682617,844600.0,[],[],[]
2017-08-06,19.549787638948757,19.720081951834228,19.345426494187198,19.617897033691406,571400.0,[],[],[]
2017-08-13,19.58384598182885,19.92443460759979,18.153373215965438,18.32366752624512,498900.0,[],[],[]
2017-08-20,18.596132802729485,19.072961958277574,17.880903074123577,18.15337371826172,605300.0,[],[],[]
2017-08-27,18.187428455322014,18.807299490761622,17.914956585432027,18.42584228515625,420900.0,[],[],[]
2017-09-03,18.425841580072166,18.459901923860365,17.9490188282113,18.42584228515625,564500.0,[],[],[]
2017-09-10,18.255543649784816,18.289603280392516,17.335957657816685,17.67654800415039,604400.0,[],[],[]
