Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2017-03-05,30.322207244943662,30.576192501495004,29.617971391112746,29.895044326782227,2648600.0,[],[],[]
2017-03-12,29.7795963844843,29.90658897097888,28.151793818702664,28.20951652526856,1727000.0,[],[],[]
2017-03-19,28.221052184114825,28.85025541324867,28.10561557240899,28.688621520996094,4074700.0,[],[],[]
2017-03-26,28.642441597115166,28.890665791893586,28.157566144945623,28.59626579284668,2068600.0,[],[],[]
2017-04-02,28.446186516348423,28.648220417231116,27.949758042149277,28.359596252441406,3008600.0,[],[],[]
2017-04-09,28.348064661362915,29.548704784564745,28.273023353295816,29.39862442016602,2684800.0,[],[],[]
2017-04-16,29.381304020258796,29.791136829326973,29.33512409786331,29.404394149780277,2369200.0,[],[],[]
2017-04-23,29.52561419897386,29.99894574368124,29.392848017572,29.82577323913575,2168400.0,[],[],[]
2017-04-30,29.958539790740026,30.06821380328526,29.15618166447994,29.369760513305664,2953500.0,[],[],[]
2017-05-07,29.41016598717673,29.485208585501642,28.567403119879017,29.381307601928707,2660100.0,[],[],[]
2017-05-14,29.444805433918834,29.560253066641096,28.792526439223046,28.844472885131843,2007300.0,[],[],[]
2017-05-21,28.926006165836665,29.46178659675614,28.69888685433872,29.40355110168457,2361800.0,[],[],[]
2017-05-28,29.44430717308045,29.95678517860409,29.28706871977088,29.584085464477543,1785200.0,[],[],[]
2017-06-04,29.619013560668176,29.910198663704133,29.17060340211282,29.752960205078125,1478400.0,[],[],[]
2017-06-11,29.653957225258292,29.79955034894001,28.995891264206694,29.659780502319336,2425700.0,[],[],[]
2017-06-18,29.63649629966301,30.76044875123878,29.63649629966301,30.41103744506836,3059700.0,[],[],[]
2017-06-25,30.387737911736153,30.68473872372631,30.10238013289796,30.370264053344723,2629900.0,[],[],[]
2017-07-02,30.504210156357455,30.603210915539577,29.106540206100433,29.53167152404785,3572200.0,[],[],[]
2017-07-09,29.700548692076882,30.154791667062522,28.93764740238068,29.176416397094723,2101100.0,[],[],[]
2017-07-16,29.257958609816242,29.380244374437204,28.34946964540352,29.23465347290039,2413400.0,[],[],[]
2017-07-23,29.23466426278855,29.700552306768838,29.124013714995673,29.223012924194336,1955400.0,[],[],[]
2017-07-30,29.222998785863936,30.009201039377,29.042479363351234,29.822853088378903,2799600.0,[],[],[]
2017-08-06,29.88691043063721,30.381912463177365,29.316187875671552,29.43266105651856,2746700.0,[],[],[]
2017-08-13,29.455956769621896,29.55800843599936,29.10561965832016,29.36412048339844,1910800.0,[],[],[]
2017-08-20,29.55212630188379,30.49215427003643,29.516876690427317,29.90463829040528,3001100.0,[],[],[]
2017-08-27,29.934010522420557,30.35701876976771,29.640250073852616,30.23364067077637,1366200.0,[],[],[]
2017-09-03,30.31002616072465,30.926919904756055,29.804752193026907,30.738914489746094,1523400.0,[],[],[]
2017-09-10,30.83879324196321,30.950420755355708,30.29239759046499,30.433393478393555,1503700.0,[],[],[]
2017-09-17,30.52740783755955,30.991555307736824,30.298284317765233,30.56266021728516,2068600.0,[],[],[]
2017-09-24,30.58027334857014,30.738895249972924,30.321772032862597,30.362911224365238,2155800.0,[],[],[]
2017-10-01,30.486281903408734,30.903418779396315,30.233651648756315,30.60377883911133,2418800.0,[],[],[]
2017-10-08,30.674294268995606,31.338178386085985,30.674294268995606,30.99154663085937,2994100.0,[],[],[]
2017-10-15,30.991544376597904,31.27943153073488,30.827042278946898,30.874042510986328,2285900.0,[],[],[]
2017-10-22,30.93278907894138,31.191303668510667,30.404026664117662,30.52740478515625,2013400.0,[],[],[]
2017-10-29,30.59791119762653,30.715412899757077,29.916381685450272,30.13963890075684,2420000.0,[],[],[]
2017-11-05,30.110267237579244,30.28065224301313,29.605000233227695,30.069145202636722,2423600.0,[],[],[]
2017-11-12,30.145516104221322,30.633160923545674,29.98688615041472,30.39814567565918,2072200.0,[],[],[]
2017-11-19,30.552212438691743,30.818877697235113,30.2322340130123,30.49295806884766,2183000.0,[],[],[]
2017-11-26,30.44554972629762,30.82478877337285,30.220377652050075,30.321123123168945,2078900.0,[],[],[]
2017-12-03,30.38037043719016,30.433700609817645,29.75225688717161,30.012983322143555,3946200.0,[],[],[]
2017-12-10,30.13149865260292,30.61739264634316,29.693010031086562,30.510734558105472,2863800.0,[],[],[]
2017-12-17,30.510733687682013,30.82479294791849,30.374443710173455,30.66479682922364,3200500.0,[],[],[]
2017-12-24,30.78923860462978,31.15662530278976,29.6752301743804,29.78781509399414,2519100.0,[],[],[]
2017-12-31,29.8174393316961,30.392223418157013,29.787819386929215,30.16705131530762,2348100.0,[],[],[]
2018-01-07,30.184835831861708,30.309274449972225,29.1419216520998,29.28413391113281,2195500.0,[],[],[]
2018-01-14,29.254521534301485,29.331554532659585,28.223476921085535,28.24125289916992,2880900.0,[],[],[]
2018-01-21,28.28272090318434,28.60270194923084,28.081257356587408,28.347909927368164,2871000.0,[],[],[]
2018-01-28,28.33604637732463,28.816015937681655,28.25901341373777,28.44272232055664,3277700.0,[],[],[]
2018-02-04,28.41308744577809,28.584929830191577,27.198352751711383,27.9212703704834,4771000.0,[],[],[]
2018-02-11,27.761265722976194,27.950883585273324,25.16587027657852,25.89471435546875,5028300.0,['RSI_OVERSOLD'],['RSI_OVERSOLD'],[]
2018-02-18,25.99545758800172,26.282213946655215,24.78664383360402,26.16242218017578,4649700.0,[],[],[]
2018-02-25,26.01867540644002,26.473885705134606,25.701237236647312,26.455915451049805,3078100.0,[],[],[]
2018-03-04,26.53377700329949,26.53377700329949,25.377793152703735,25.755136489868168,3457500.0,[],[],[]
2018-03-11,25.611380028793725,26.6595568283964,25.611380028793725,26.65356826782227,2905000.0,[],[],[]
2018-03-18,26.653572178576578,26.671540147773403,25.91086375723444,26.34809684753418,3216500.0,[],[],[]
2018-03-25,26.3241419862558,26.407996341286392,24.7608641249202,24.85669708251953,3079100.0,[],[],[]
2018-04-01,25.05435989022696,26.27023566675845,24.86269164392689,26.24627685546875,2581800.0,[],[],[]
2018-04-08,26.2283148434394,26.43794867640857,25.545504560546124,25.964767456054688,3607000.0,[],[],[]
2018-04-15,26.024669214234606,26.066596000676725,25.347847749793587,25.725191116333008,2489700.0,[],[],[]
2018-04-22,25.76112049798696,26.180385216959678,25.252008262640594,25.42571258544922,2900400.0,[],[],[]
2018-04-29,25.48560282161936,26.7853411774952,25.22805130135188,26.71346473693848,2966100.0,[],[],[]
2018-05-06,26.767363809651716,27.162685627154673,26.264247215276043,27.138729095458984,3159600.0,[],[],[]
2018-05-13,27.24654578848994,28.1090369582195,27.150712792055273,27.917366027832035,4825500.0,[],[],[]
