Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-05-29,84.43000030517578,86.16000366210938,83.0199966430664,85.95999908447266,2871700,[],[],[]
2022-06-05,85.58000183105469,86.66999816894531,81.62000274658203,84.16999816894531,3264900,[],[],[]
2022-06-12,84.0999984741211,85.54000091552734,80.37000274658203,81.43000030517578,2197800,[],[],[]
2022-06-19,80.12000274658203,80.98999786376953,72.0,73.9000015258789,5769900,[],[],[]
2022-06-26,74.79000091552734,77.83999633789062,73.8499984741211,77.29000091552734,3340300,[],[],[]
2022-07-03,77.55999755859375,78.5999984741211,75.01000213623047,77.11000061035156,5983000,[],[],[]
2022-07-10,76.20999908447266,77.66000366210938,74.12000274658203,76.87999725341797,2738300,[],[],[]
2022-07-17,76.26000213623047,77.38999938964844,74.30000305175781,76.52999877929688,2541500,[],[],[]
2022-07-24,76.70999908447266,78.75,76.2699966430664,77.04000091552734,3591000,[],[],[]
2022-07-31,76.93000030517578,79.0,76.52999877929688,78.83000183105469,3225100,[],[],[]
2022-08-07,77.87999725341797,79.04000091552734,73.55999755859375,75.37999725341797,6087500,[],[],[]
2022-08-14,76.37000274658203,77.68000030517578,75.33000183105469,77.5199966430664,3436100,[],[],[]
2022-08-21,77.23999786376953,77.75,74.83000183105469,76.41000366210938,3900500,[],[],[]
2022-08-28,75.8499984741211,75.9000015258789,73.3499984741211,73.38999938964844,4020200,[],[],[]
2022-09-04,73.37999725341797,74.52999877929688,71.06999969482422,71.26000213623047,3991200,[],[],[]
2022-09-11,71.25,74.4800033569336,70.61000061035156,74.30000305175781,2266300,[],[],[]
2022-09-18,74.77999877929688,75.51000213623047,71.04000091552734,71.69999694824219,3551500,[],[],[]
2022-09-25,71.45999908447266,72.0999984741211,66.44999694824219,67.33999633789062,4497200,[],[],[]
2022-10-02,66.93000030517578,67.62999725341797,65.5199966430664,65.7699966430664,4167500,[],[],[]
2022-10-09,66.47000122070312,70.33000183105469,65.79000091552734,67.55000305175781,3752900,[],[],[]
2022-10-16,68.0,68.56999969482422,64.75,66.88999938964844,4550400,[],[],[]
2022-10-23,67.0,70.45999908447266,66.9000015258789,70.23999786376953,3824600,[],[],[]
2022-10-30,70.76000213623047,72.08000183105469,69.52999877929688,70.12999725341797,6634700,[],[],[]
2022-11-06,69.62000274658203,73.5199966430664,66.45999908447266,72.69000244140625,8836800,[],[],[]
2022-11-13,72.80000305175781,79.61000061035156,72.63999938964844,78.62999725341797,5733400,[],[],[]
2022-11-20,78.16000366210938,80.68000030517578,77.80000305175781,78.91000366210938,7788500,[],[],[]
2022-11-27,78.69999694824219,81.9000015258789,78.36000061035156,81.44000244140625,3347200,[],[],[]
2022-12-04,81.1500015258789,83.5199966430664,79.08999633789062,83.29000091552734,5941100,[],[],[]
2022-12-11,82.58000183105469,83.04000091552734,79.87999725341797,81.19999694824219,3859200,[],[],[]
2022-12-18,81.01000213623047,84.3499984741211,79.83000183105469,80.66000366210938,6086300,[],[],[]
2022-12-25,80.66999816894531,81.79000091552734,79.37000274658203,80.63999938964844,3817500,[],[],[]
2023-01-01,80.55000305175781,81.23999786376953,79.2300033569336,79.87000274658203,1872600,[],[],[]
2023-01-08,79.6500015258789,82.7699966430664,78.69999694824219,81.61000061035156,3650200,[],[],[]
2023-01-15,81.80999755859375,82.25,79.08999633789062,80.37000274658203,3759500,[],[],[]
2023-01-22,80.52999877929688,81.30999755859375,78.83999633789062,80.86000061035156,3130500,[],[],[]
2023-01-29,81.04000091552734,86.51000213623047,80.0999984741211,86.13999938964844,4115300,[],[],[]
2023-02-05,85.95999908447266,89.72000122070312,85.08999633789062,86.76000213623047,5475700,[],[],[]
2023-02-12,86.86000061035156,87.66999816894531,85.30000305175781,86.08000183105469,3761900,[],[],[]
2023-02-19,88.08000183105469,89.5999984741211,81.68000030517578,83.13999938964844,7535700,[],[],[]
2023-02-26,82.54000091552734,82.95999908447266,80.08000183105469,80.81999969482422,3236500,[],[],[]
2023-03-05,81.58000183105469,82.37999725341797,76.55000305175781,78.9000015258789,4691800,[],[],[]
2023-03-12,78.47000122070312,79.12000274658203,76.51000213623047,77.04000091552734,4160700,[],[],[]
2023-03-19,76.79000091552734,79.0,76.26000213623047,77.2699966430664,5170200,[],[],[]
2023-03-26,77.43000030517578,80.55000305175781,77.41999816894531,79.16999816894531,3349200,[],[],[]
2023-04-02,80.0999984741211,81.62999725341797,78.68000030517578,81.54000091552734,2862400,[],[],[]
2023-04-09,81.54000091552734,84.86000061035156,81.19000244140625,84.7300033569336,3653100,[],[],[]
2023-04-16,84.33999633789062,85.75,81.9800033569336,82.43000030517578,3946800,[],[],[]
2023-04-23,82.4000015258789,84.80000305175781,82.04000091552734,84.6500015258789,3025200,[],[],[]
2023-04-30,84.56999969482422,85.38999938964844,80.36000061035156,80.80999755859375,3813200,[],[],[]
2023-05-07,80.80999755859375,82.61000061035156,77.81999969482422,79.75,3534300,[],[],[]
2023-05-14,79.25,80.05000305175781,73.83999633789062,76.43000030517578,7008800,[],[],[]
2023-05-21,76.56999969482422,78.38999938964844,75.7300033569336,76.91999816894531,4128600,[],[],[]
2023-05-28,76.87000274658203,77.83999633789062,74.30999755859375,74.91999816894531,3795200,[],[],[]
2023-06-04,74.61000061035156,74.91000366210938,72.87999725341797,74.41999816894531,3403100,[],[],[]
2023-06-11,74.12999725341797,75.91999816894531,73.66999816894531,74.86000061035156,3313300,[],[],[]
2023-06-18,75.0,78.5,74.52999877929688,78.0199966430664,5652800,[],[],[]
2023-06-25,77.43000030517578,80.20999908447266,77.0999984741211,78.9000015258789,4167100,[],[],[]
2023-07-02,78.94000244140625,81.4000015258789,78.79000091552734,81.0999984741211,3842200,[],[],[]
2023-07-09,80.26000213623047,80.41000366210938,77.94999694824219,78.66000366210938,2653700,[],[],[]
2023-07-16,78.5,82.62000274658203,78.48999786376953,80.38999938964844,3425600,[],[],[]
2023-07-23,79.97000122070312,80.62999725341797,77.58000183105469,79.91999816894531,4959800,[],[],[]
2023-07-30,80.12000274658203,80.5999984741211,78.66999816894531,79.66999816894531,3571300,[],[],[]
2023-08-06,79.58999633789062,79.91999816894531,77.69000244140625,78.08999633789062,4143300,[],[],[]
2023-08-13,79.1500015258789,79.48999786376953,74.4800033569336,76.6500015258789,5565900,[],[],[]
2023-08-20,76.45999908447266,77.29000091552734,75.56999969482422,76.5199966430664,5757700,[],[],[]
2023-08-27,76.52999877929688,77.30999755859375,76.0199966430664,76.8499984741211,2904000,[],[],[]
2023-09-03,77.05000305175781,78.44999694824219,76.06999969482422,76.3499984741211,3917800,[],[],[]
2023-09-10,76.16999816894531,76.6500015258789,73.51000213623047,73.87999725341797,3320400,[],[],[]
2023-09-17,74.0,75.30999755859375,73.11000061035156,74.41000366210938,3715800,[],[],[]
2023-09-24,74.25,75.5,73.01000213623047,73.11000061035156,3009400,[],[],[]
2023-10-01,72.91999816894531,74.76000213623047,72.68000030517578,74.25,3887500,[],[],[]
2023-10-08,74.16000366210938,74.9000015258789,72.54000091552734,74.36000061035156,4565700,[],[],[]
2023-10-15,74.0999984741211,74.80000305175781,72.05999755859375,73.3499984741211,3095500,[],[],[]
2023-10-22,71.3499984741211,72.55999755859375,68.0,68.30999755859375,6552300,[],[],[]
