Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-05-22,43.27000045776367,45.119998931884766,42.900001525878906,44.76784896850586,12233800,[],[],[]
2022-05-29,45.5,48.52999877929688,44.22999954223633,48.29350280761719,18002900,[],[],[]
2022-06-05,47.70000076293945,48.915000915527344,46.34000015258789,48.65204620361328,14835600,[],[],[]
2022-06-12,49.18999862670898,50.68999862670898,46.2400016784668,46.25180816650391,15408100,[],[],[]
2022-06-19,45.19499969482422,45.27999877929688,41.15499877929688,41.072879791259766,17910600,[],[],[]
2022-06-26,41.90999984741211,43.459999084472656,40.400001525878906,43.154415130615234,9348000,[],[],[]
2022-07-03,43.630001068115234,44.040000915527344,41.470001220703125,42.12858581542969,12108300,[],[],[]
2022-07-10,41.38999938964844,43.209999084472656,40.560001373291016,42.27798461914063,9715500,[],[],[]
2022-07-17,42.09000015258789,42.68000030517578,39.28499984741211,40.83385848999024,16404800,[],[],[]
2022-07-24,41.5,45.18999862670898,40.91999816894531,44.35951614379883,14101400,[],[],[]
2022-07-31,44.4900016784668,49.95000076293945,44.0,49.59819030761719,12886700,[],[],[]
2022-08-07,49.18999862670898,49.959999084472656,48.0099983215332,49.58823394775391,16364600,[],[],[]
2022-08-14,50.0,53.630001068115234,49.20000076293945,53.3828010559082,13985400,[],[],[]
2022-08-21,52.9900016784668,54.13999938964844,51.22999954223633,51.62931442260742,14403800,[],[],[]
2022-08-28,50.810001373291016,51.09999847412109,48.2599983215332,48.112300872802734,17660500,[],[],[]
2022-09-04,47.81999969482422,49.43000030517578,46.66999816894531,47.56432723999024,22932100,[],[],[]
2022-09-11,48.0099983215332,50.358001708984375,47.310001373291016,50.04515838623047,11747300,[],[],[]
2022-09-18,50.630001068115234,51.709999084472656,46.40999984741211,47.01634979248047,15691000,[],[],[]
2022-09-25,46.72999954223633,48.619998931884766,43.060001373291016,43.90782928466797,16611300,[],[],[]
2022-10-02,43.75,44.54999923706055,42.20000076293945,43.100807189941406,12609100,[],[],[]
2022-10-09,44.09999847412109,47.790000915527344,43.52000045776367,45.48201370239258,10509300,[],[],[]
2022-10-16,46.11000061035156,47.5099983215332,43.56999969482422,44.94400024414063,10641400,[],[],[]
2022-10-23,46.43999862670898,48.47999954223633,45.13999938964844,46.61782455444336,14218900,[],[],[]
2022-10-30,47.2599983215332,50.540000915527344,46.880001068115234,50.26435089111328,11217800,[],[],[]
2022-11-06,50.16999816894531,53.59000015258789,47.630001068115234,52.72526168823242,14479000,[],[],[]
2022-11-13,53.18999862670898,55.72999954223633,51.48500061035156,55.10646438598633,20842200,[],[],[]
