Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2016-10-01,13.234731117803596,13.344447863479507,12.651855102582818,12.802715301513672,26283007.0,[],[],[]
2016-11-01,12.885006380605068,15.120504962578156,12.254130017795068,15.099933624267578,44936808.0,[],[],[]
2016-12-01,15.175369228133253,16.574278907822794,15.1616535374426,15.985355377197267,38874824.0,[],[],[]
2017-01-01,16.060985864563,16.700401804692063,15.600331857192584,16.397884368896484,28589428.0,[],[],[]
2017-02-01,16.521638589704462,18.31612567597016,15.944101238018218,18.3023738861084,41012896.0,[],[],[]
2017-03-01,18.591143891525665,18.797406105860414,17.311541354724447,17.917999267578125,55196289.0,[],[],[]
2017-04-01,17.97313095402292,18.303928181839254,17.3046514355119,17.497615814208984,31761958.0,[],[],[]
2017-05-01,17.552744156388822,17.99381024292525,16.408757075964864,16.8084659576416,36811713.0,[],[],[]
2017-06-01,16.884273856268035,18.50073507393163,16.670630239770432,18.072412490844727,41805053.0,[],[],[]
2017-07-01,18.210582781809666,18.79779220009174,17.927334473333143,17.982601165771484,30557587.0,[],[],[]
2017-08-01,18.044774187636445,18.397107678603156,16.324586966942945,16.359121322631836,34480046.0,[],[],[]
2017-09-01,16.414396848153025,17.665394427899443,15.357404811533726,17.519685745239258,44085110.0,[],[],[]
2017-10-01,17.512748178692092,18.09558331135019,17.353165963435067,17.554380416870117,29598084.0,[],[],[]
2017-11-01,17.693153453988774,18.79636403333158,17.290713679695845,18.25516891479492,32485521.0,[],[],[]
2017-12-01,18.33843421936035,18.733920865155962,17.684694060174905,18.450857162475582,45822242.0,[],[],[]
2018-01-01,18.492651231961,19.7115677552557,18.339416312938425,18.85484504699707,33412625.0,[],[],[]
2018-02-01,18.826988220214844,18.882709351669504,16.34039812078604,16.70956039428711,40776847.0,[],[],[]
2018-03-01,16.667761760623435,17.288847783176347,15.190683975568334,15.897064208984379,54652691.0,[],[],[]
2018-04-01,15.792159821110214,17.39375450818422,15.113754878780052,16.813262939453125,79380211.0,[],[],[]
2018-05-01,16.77829470479931,17.421725995840678,15.28859362810777,15.30258083343506,70737552.0,[],[],[]
2018-06-01,15.498410376042019,16.586209528375484,15.12773725635626,15.975026130676271,50209207.0,[],[],[]
2018-07-01,15.848576421941178,17.611869208965427,15.694024552889017,17.035818099975586,34244331.0,[],[],[]
2018-08-01,16.979607831748933,17.351945135551944,16.17875702969689,16.312232971191406,36855952.0,[],[],[]
2018-09-01,16.312231409626943,16.790301370974106,15.271618491560554,15.511782646179201,38485170.0,[],[],[]
2018-10-01,15.56122264536238,16.465375837569585,13.844761524171702,15.165657043457033,70965110.0,[],[],[]
2018-11-01,15.172728599944596,15.702500098398291,14.50874303762092,15.525362014770508,54611137.0,[],[],[]
2018-12-01,15.72431626658241,15.859318867341695,11.51079621055288,12.3350248336792,62493257.0,['engulfing'],[],[]
2019-01-01,12.18581047291313,14.98535470973896,12.086334447424171,14.786395072937012,50330302.0,[],[],[]
2019-02-01,14.836136880415474,15.091931743495106,13.912430139755223,14.490463256835938,48380134.0,[],[],[]
2019-03-01,14.590545132187161,14.883643528385015,13.039270765427583,13.432451248168944,51351913.0,[],[],[]
2019-04-01,13.589721607072983,14.826451899044448,13.589721607072983,14.704923629760742,38978829.0,[],[],[]
