Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-09-11,144.77999877929688,149.0399932861328,144.6300048828125,147.53106689453125,691700,[],[],[]
2025-09-12,147.72000122070312,148.92999267578125,146.6199951171875,145.5076446533203,736200,[],[],[]
2025-09-15,146.6999969482422,147.99000549316406,146.35000610351562,145.5473175048828,620400,[],[],[]
2025-09-16,146.91000366210938,147.49000549316406,145.3300018310547,144.97203063964844,611600,[],[],[]
2025-09-17,146.75,149.52999877929688,145.64999389648438,146.10276794433594,614100,[],[],[]
2025-09-18,147.57000732421875,150.30999755859375,147.11000061035156,148.413818359375,653900,[],[],[]
2025-09-19,149.60000610351562,149.88999938964844,147.97000122070312,147.95755004882812,1635700,[],[],[]
2025-09-22,148.8800048828125,151.1199951171875,148.02000427246094,149.38584899902344,584700,[],[],[]
2025-09-23,150.92999267578125,152.07000732421875,147.47000122070312,146.658203125,715800,[],[],[]
2025-09-24,148.47000122070312,149.05999755859375,147.42999267578125,146.261474609375,487500,[],[],[]
2025-09-25,146.47000122070312,147.47999572753906,144.64999389648438,145.09104919433594,616000,[],[],[]
2025-09-26,147.11000061035156,148.69000244140625,146.0800018310547,146.658203125,404600,[],[],[]
2025-09-29,149.0399932861328,149.13999938964844,148.1999969482422,147.2533416748047,533000,[],[],[]
2025-09-30,148.4600067138672,150.27000427246094,147.52000427246094,148.64195251464844,915100,[],[],[]
2025-10-01,149.25999450683594,153.3800048828125,149.11000061035156,151.25057983398438,850700,[],[],[]
2025-10-02,152.4499969482422,154.36000061035156,151.22999572753906,152.73838806152344,923200,[],[],[]
2025-10-03,153.99000549316406,155.89999389648438,153.3800048828125,153.34344482421875,824000,[],[],['shooting_star']
2025-10-06,155.02000427246094,155.82000732421875,154.1199951171875,153.75009155273438,719300,[],[],[]
2025-10-07,155.52999877929688,157.17999267578125,154.74000549316406,154.0476531982422,932700,[],[],[]
2025-10-08,156.4600067138672,157.44000244140625,155.5,156.08099365234375,678000,[],[],[]
2025-10-09,157.5,157.88999938964844,154.60000610351562,154.1765899658203,1019900,[],[],[]
2025-10-10,156.0800018310547,156.60000610351562,150.85000610351562,149.90164184570312,808400,[],[],[]
2025-10-13,152.39999389648438,154.25,152.0399932861328,152.65902709960938,890600,[],[],[]
2025-10-14,152.0,158.0399932861328,151.9600067138672,156.73562622070312,1007500,[],[],[]
2025-10-15,159.1699981689453,161.99000549316406,158.7100067138672,159.3244171142578,1191500,[],[],['shooting_star']
2025-10-16,161.1999969482422,161.47999572753906,155.05999755859375,154.80148315429688,1158300,[],[],[]
2025-10-17,155.85000610351562,156.6300048828125,154.35000610351562,154.12701416015625,1682400,[],[],[]
2025-10-20,156.91000366210938,164.6300048828125,156.0500030517578,161.2486572265625,2883700,[],[],[]
2025-10-21,162.5800018310547,166.22000122070312,161.99000549316406,163.10345458984375,1906100,[],[],['shooting_star']
2025-10-22,163.5800018310547,164.27000427246094,157.38999938964844,156.41822814941406,1451300,[],[],[]
