Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-12-02,488.5499877929688,491.8200073242188,485.7000122070313,484.60498046875,717700,[],[],[]
2025-12-03,487.8699951171875,492.55999755859375,487.2699890136719,488.747314453125,545400,[],[],[]
2025-12-04,491.6099853515625,495.0,487.55999755859375,486.234130859375,466000,[],[],[]
2025-12-05,488.2999877929688,498.0,487.1799926757813,493.2075805664063,557100,[],[],[]
2025-12-08,494.0899963378906,494.6000061035156,484.2699890136719,483.8997192382813,496200,[],[],[]
2025-12-09,487.3699951171875,491.8399963378906,486.3200073242188,483.1447143554688,619000,[],[],[]
2025-12-10,485.7300109863281,486.3500061035156,473.4599914550781,476.8070373535156,2442500,[],[],[]
2025-12-11,482.510009765625,489.4299926757813,481.0,482.29046630859375,663800,[],[],[]
2025-12-12,486.1600036621094,489.489990234375,484.0,483.3732299804688,736500,[],[],[]
2025-12-15,490.0,490.0,486.1400146484375,484.2672424316406,1028200,[],[],[]
2025-12-16,494.489990234375,498.5899963378906,491.4200134277344,489.7307739257813,892800,[],[],[]
2025-12-17,491.6499938964844,503.9100036621094,491.2999877929688,495.7108154296875,1279300,[],[],[]
2025-12-18,501.9299926757813,505.5700073242188,497.260009765625,494.3896789550781,1092600,[],[],[]
2025-12-19,498.7099914550781,505.2000122070313,498.6400146484375,499.7439270019531,1297100,[],[],[]
2025-12-22,501.5700073242188,512.510009765625,499.989990234375,506.2703552246094,540600,[],[],[]
2025-12-23,508.8699951171875,515.8900146484375,508.260009765625,511.9723205566406,568700,[],[],['shooting_star']
2025-12-24,516.0,518.760009765625,513.52001953125,513.8497924804688,294500,[],[],['shooting_star']
2025-12-26,517.2000122070312,520.8800048828125,515.9099731445312,516.5914306640625,347700,[],[],['shooting_star']
2025-12-29,520.6500244140625,522.3499755859375,518.27001953125,515.6179809570312,361200,[],[],[]
2025-12-30,517.0,519.0599975585938,515.3099975585938,512.3298950195312,546800,[],[],[]
2025-12-31,514.8200073242188,516.4099731445312,510.7799987792969,507.46240234375,519200,[],[],[]
2026-01-02,509.7200012207031,510.2300109863281,496.5899963378906,495.671142578125,753500,[],[],[]
2026-01-05,502.5,533.0399780273438,500.0,523.3861083984375,1284400,[],[],[]
2026-01-06,526.5499877929688,534.1900024414062,524.25,529.3662109375,789000,[],[],[]
2026-01-07,535.280029296875,540.0,531.2999877929688,527.9158935546875,681700,[],[],[]
2026-01-08,530.489990234375,537.1400146484375,529.5599975585938,527.6476440429688,660300,[],[],[]
2026-01-09,531.2999877929688,537.27001953125,530.8800048828125,528.084716796875,654000,[],[],[]
2026-01-12,527.469970703125,536.239990234375,526.5,531.5714721679688,657100,[],[],[]
2026-01-13,535.8200073242188,535.9299926757812,527.7999877929688,531.3529663085938,755800,[],[],[]
2026-01-14,531.9000244140625,537.5700073242188,529.0,532.4257202148438,671100,[],[],[]
2026-01-15,538.27001953125,546.8800048828125,536.3200073242188,536.0316772460938,701300,[],[],['shooting_star']
2026-01-16,539.5999755859375,541.2999877929688,534.5900268554688,535.3462524414062,651900,[],[],[]
2026-01-20,528.8900146484375,534.5999755859375,514.2999877929688,513.86962890625,950500,[],[],[]
2026-01-21,520.1099853515625,530.5399780273438,518.6799926757812,521.3397827148438,611100,[],[],[]
2026-01-22,528.1900024414062,533.8400268554688,526.030029296875,526.723876953125,612400,[],[],[]
2026-01-23,528.9099731445312,531.9500122070312,521.22998046875,520.5648803710938,590400,[],[],[]
2026-01-26,524.5499877929688,528.72998046875,521.0,521.9358520507812,445600,[],[],[]
2026-01-27,523.7100219726562,525.9299926757812,518.3400268554688,515.42919921875,727800,[],[],[]
2026-01-28,516.7100219726562,521.239990234375,513.8800048828125,513.1941528320312,726600,[],[],[]
2026-01-29,517.4600219726562,521.2899780273438,509.55999755859375,512.0319213867188,904600,[],[],[]
2026-01-30,513.010009765625,518.8900146484375,509.989990234375,512.1411743164062,662100,[],[],[]
2026-02-02,516.1500244140625,521.27001953125,513.2899780273438,513.6212768554688,806200,[],[],[]
2026-02-03,502.7099914550781,502.7099914550781,469.6300048828125,467.9263000488281,2247700,['RSI_OVERSOLD'],['RSI_OVERSOLD'],[]
2026-02-04,467.4299926757813,467.5899963378906,450.1499938964844,458.1515808105469,3180400,[],[],[]
2026-02-05,465.8399963378906,471.8999938964844,442.7000122070313,454.6648864746094,2568500,[],[],[]
2026-02-06,461.4800109863281,465.5700073242188,447.510009765625,449.4894104003906,1836500,[],[],[]
2026-02-09,452.0400085449219,456.3399963378906,446.1000061035156,446.4894714355469,1887900,[],[],[]
2026-02-10,416.2900085449219,426.2999877929688,408.9400024414063,416.1817321777344,3939300,['rebound'],['rebound'],[]
2026-02-11,418.3699951171875,423.4700012207031,410.5700073242188,409.4963684082031,2002700,[],[],[]
2026-02-12,413.1400146484375,417.7300109863281,402.2799987792969,412.33740234375,2082700,[],[],[]
2026-02-13,416.25,430.7999877929688,416.25,423.6121520996094,2273100,[],[],[]
