Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2016-10-01,43.92066192626953,46.91798272007199,37.726216192659614,38.125858306884766,43657900.0,[],[],[]
2016-11-01,38.60542163547172,51.11421315153688,35.807922672284754,50.35489273071289,62715120.0,[],[],[]
2016-12-01,52.113320458296904,53.91171061099735,46.73273639858144,46.972801208496094,46326020.0,[],[],[]
2017-01-01,47.93306593024961,55.41511440967064,46.972803589330034,51.05392074584961,39638720.0,[],[],[]
2017-02-01,51.29398213391796,52.174218024541915,43.97198998270271,44.412109375,47677240.0,[],[],[]
2017-03-01,45.17232712973293,48.122773598883185,40.29098350224452,46.920711517333984,57613100.0,[],[],[]
2017-04-01,46.47995576524301,49.08442935206859,40.87031039385729,42.87374877929688,41434660.0,[],[],[]
2017-05-01,42.87374675920707,47.04091346983144,38.66650216111241,38.94698333740234,45795580.0,[],[],[]
2017-06-01,39.34767532348633,40.34939824981761,32.146230003513104,35.31671524047852,64895860.0,[],[],[]
2017-07-01,35.55749975337697,43.10244566588543,32.74822440765526,40.373416900634766,52827760.0,[],[],[]
2017-08-01,40.253029519602286,40.614220743733675,35.27658517335402,37.4437370300293,47553620.0,[],[],[]
2017-09-01,37.76479962787779,48.310530828351915,36.641084601191594,47.34593200683594,55422080.0,[],[],[]
2017-10-01,46.542087365171916,48.23015456350707,40.83486469297003,47.02438735961914,58839560.0,[],[],[]
2017-11-01,47.78804372960831,52.168945065468684,45.45690575075831,47.58708572387695,33582780.0,[],[],[]
2017-12-01,48.67225646972656,54.40899974016838,44.34815936327996,53.644378662109375,28227720.0,[],[],[]
2018-01-01,53.96632346926876,57.58821917378411,49.33833659949565,49.82125854492188,36403240.0,[],[],[]
2018-02-01,50.102959552269574,50.38466171118114,39.39822920810515,42.255516052246094,36443740.0,[],[],[]
2018-03-01,42.295751251514254,49.647743710431904,41.048209626957515,44.328346252441406,37087300.0,[],[],[]
2018-04-01,44.005946208871954,52.468644678371334,41.42685689914757,50.29253387451172,39560860.0,[],[],[]
2018-05-01,49.36565050149463,56.1761038541052,49.08356229986983,51.1790885925293,45436120.0,[],[],[]
2018-06-01,51.179081793754335,54.87025687347176,48.05181387857411,52.65123748779297,34866420.0,[],[],[]
2018-07-01,51.8443126565515,54.70888962898367,50.6742829127004,54.224735260009766,30096600.0,[],[],[]
2018-08-01,55.193023436929714,57.61376643874648,50.06909844207845,53.538848876953125,33045820.0,[],[],[]
2018-09-01,53.821248970345295,54.210295859687825,47.890438412298714,52.95804977416992,33620380.0,[],[],[]
2018-10-01,53.7255645440537,54.97781701022955,39.142905575935856,41.36463928222656,59129960.0,[],[],[]
2018-11-01,35.022597379079585,36.63840790105947,26.822384647876042,27.145544052124023,155925220.0,['rebound'],['rebound'],[]
2018-12-01,28.317007101754804,28.88253996928284,20.245630590524343,23.40395164489746,78788120.0,[],[],[]
2019-01-01,22.67510969327983,28.829772774063645,22.391670513189982,27.857988357543945,123756740.0,[],[],[]
