Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-05-22,173.7100067138672,176.3000030517578,159.6199951171875,142.7567901611328,31397400,[],[],[]
2022-05-29,164.2100067138672,171.80999755859375,163.57000732421875,151.17025756835938,28673700,[],[],[]
2022-06-05,170.97999572753906,170.97999572753906,162.64999389648438,146.08924865722656,28123200,[],[],[]
2022-06-12,166.4600067138672,167.6199951171875,159.4499969482422,144.0244140625,18989100,[],[],[]
2022-06-19,160.52999877929688,162.8699951171875,154.86000061035156,139.185791015625,35489700,[],[],[]
2022-06-26,158.1699981689453,166.19000244140625,157.35000610351562,147.22357177734375,20918300,[],[],[]
2022-07-03,165.8699951171875,169.52000427246094,163.85000610351562,150.11257934570312,22836100,[],[],[]
2022-07-10,168.6300048828125,172.6999969482422,165.3300018310547,152.31919860839844,17813800,[],[],[]
2022-07-17,171.41000366210938,173.32000732421875,167.6999969482422,151.64572143554688,23533400,[],[],[]
2022-07-24,171.14999389648438,171.24000549316406,167.4600067138672,150.3075714111328,17988100,[],[],[]
2022-07-31,170.30999755859375,175.47999572753906,169.0399932861328,155.04869079589844,18918000,[],[],[]
2022-08-07,174.5500030517578,177.69000244140625,172.39999389648438,154.6853485107422,19335100,[],[],[]
2022-08-14,175.7899932861328,177.3800048828125,173.32000732421875,157.1489715576172,16616000,[],[],[]
2022-08-21,177.77000427246094,181.07000732421875,176.8000030517578,159.665771484375,15819600,[],[],[]
2022-08-28,180.13999938964844,180.47000122070312,174.6699981689453,155.1195526123047,17949000,[],[],[]
2022-09-04,174.5500030517578,175.2899932861328,169.88999938964844,152.25442504882812,24456300,[],[],[]
2022-09-11,170.97999572753906,174.5500030517578,169.1300048828125,154.53831481933594,18524800,[],[],[]
2022-09-18,173.22000122070312,174.44000244140625,165.25,148.96234130859375,35510000,[],[],[]
2022-09-25,167.05999755859375,172.02999877929688,166.5,150.34519958496094,21583100,[],[],[]
2022-10-02,168.3300018310547,170.00999450683594,163.00999450683594,145.65249633789062,27347600,[],[],[]
2022-10-09,163.52000427246094,168.72999572753906,160.97999572753906,144.18045043945312,22631400,[],[],[]
