Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-12-04,864.0455730077259,874.2825968005214,857.9332044593223,868.3192749023438,427400.0,[],[],[]
2025-12-05,868.1602790485729,876.6083183982156,865.933981914124,874.6205444335938,592300.0,[],[],[]
2025-12-08,873.5471262699357,883.386631623167,871.4003570874008,874.2925415039062,655600.0,[],[],[]
2025-12-09,873.7062066461131,878.5861651566524,856.6312351541484,857.6549072265625,523100.0,[],[],[]
2025-12-10,861.6503576322331,888.0081999539358,857.2275482941318,883.8140258789062,677600.0,[],[],[]
2025-12-11,883.744478724752,895.8003334790081,879.8385099026253,893.6336669921875,760200.0,[],[],[]
2025-12-12,897.8278284167413,902.7972635896066,876.4891029022422,879.4608154296875,517000.0,[],[],[]
2025-12-15,884.5593858058697,886.8851079609739,876.1908746693487,878.0692749023438,593800.0,[],[],[]
2025-12-16,877.6518963006865,880.1962445741523,863.8865857239923,869.1442260742188,653800.0,[],[],[]
2025-12-17,870.177922465532,874.5410403336798,857.0188075048375,857.913330078125,657000.0,[],[],[]
2025-12-18,866.3514051392376,871.400368039496,860.179345086051,862.6442260742188,699900.0,[],[],[]
2025-12-19,861.1931936445202,870.1282286570773,861.1236142704917,869.4623413085938,1643200.0,[],[],[]
2025-12-22,871.7184720805677,883.3966449352315,871.0525240794119,881.051025390625,392800.0,[],[],[]
2025-12-23,880.6534525864729,883.3071138646338,875.2069712926475,881.7169189453125,311100.0,[],[],[]
2025-12-24,880.3950381068676,884.0525349752218,879.0433663502678,882.3331298828125,118800.0,[],[],[]
2025-12-26,882.9294408978092,884.4004349082298,878.1091132118822,882.6511840820312,126300.0,[],[],[]
2025-12-29,881.7168902318764,887.6802119782049,880.5937931166875,885.1060180664062,439500.0,[],[],[]
2025-12-30,886.3384730107696,890.532707728723,881.8560935608875,883.3866577148438,329500.0,[],[],[]
2025-12-31,882.8897432393502,888.6940095860615,873.2291296598597,873.5869750976562,281700.0,[],[],[]
2026-01-02,876.2207586086327,889.1810847273002,870.6649639000266,888.51513671875,300400.0,[],[],[]
2026-01-05,893.0968810040468,912.0601999068466,888.0280212758297,901.3461303710938,632300.0,[],[],[]
2026-01-06,909.0686761348632,925.6964472500142,894.5082676712667,923.08251953125,687100.0,[],[],[]
2026-01-07,923.1321919042274,927.6245806040697,898.3148623669169,902.8370361328124,639700.0,[],[],[]
2026-01-08,903.7712738327818,913.0541443510048,894.2199737532874,900.9287109375,573900.0,[],[],[]
2026-01-09,907.210099757474,924.3149169952616,907.210099757474,915.3599853515624,627100.0,[],[],[]
2026-01-12,913.1037962912111,924.7819680394649,908.8102580182831,923.2613525390624,480800.0,[],[],[]
2026-01-13,923.0924369017013,934.2239226333833,922.3271245093803,932.6138305664062,520700.0,[],[],[]
2026-01-14,931.2920455806762,931.2920455806762,919.4846627945992,930.4869995117188,606000.0,[],[],['hanging_man']
2026-01-15,933.6971924663623,944.1926366110516,933.6971924663623,938.8057861328124,623500.0,[],[],['shooting_star']
2026-01-16,943.9938441347032,944.1926336636734,930.5465848016315,938.4976806640624,837800.0,[],[],[]
2026-01-20,920.4089677814277,931.7392435093313,917.3577273244236,923.8080444335938,676600.0,[],[],[]
2026-01-21,931.3118458837179,946.93578095461,925.2690566442413,939.5114135742188,687300.0,[],[],[]
2026-01-22,946.7269851578636,948.4662872892561,932.9318296856266,933.5281982421876,578300.0,[],[],[]
2026-01-23,932.7728487710585,940.0679449947046,917.8645445590874,922.317138671875,442400.0,[],[],[]
2026-01-26,923.0526533255542,932.9418410996866,922.3470323798557,927.3462524414062,554900.0,[],[],[]
2026-01-27,930.1888100990877,934.2339377060622,919.9517855303825,920.3095703125,678200.0,[],[],[]
2026-01-28,916.6123092780471,920.727016122557,905.8286593160663,910.6688842773438,1293000.0,[],[],[]
2026-01-29,930.8149318170334,959.1009783644407,927.346275808462,942.6024780273438,1177600.0,[],[],[]
2026-01-30,943.9044709165657,948.3371682364017,922.3271617068319,930.1192626953124,865100.0,[],[],[]
2026-02-02,930.0297562414859,948.1681939133075,927.6941460663718,946.180419921875,870200.0,[],[],[]
2026-02-03,949.4305053474664,966.8533138572692,946.3991013035687,958.4351196289062,765200.0,[],[],[]
2026-02-04,965.9985587573434,973.4527114545073,954.4595449410257,962.0726928710938,956500.0,[],[],[]
2026-02-05,954.5887516634376,965.7004012978086,942.1750517937583,961.7049560546876,886800.0,[],[],[]
2026-02-06,973.3749818924925,984.9156272207184,968.0278666670845,972.3294677734376,629500.0,[],[],[]
2026-02-09,967.5699346370559,983.1432523482475,967.360807488256,974.6994018554688,490900.0,[],[],[]
2026-02-10,976.4120772494742,987.8531126720952,970.5072894140675,987.3452758789062,753400.0,[],[],[]
2026-02-11,995.7393743772478,1008.1761494392023,987.4647826071772,991.587158203125,753100.0,[],[],[]
2026-02-12,996.2571311350781,1007.9471011128222,971.4432633422592,978.025146484375,603200.0,[],[],[]
2026-02-13,982.6951678369462,1005.2287537081896,978.8316943794526,997.4818725585938,582400.0,[],[],[]
2026-02-17,995.2912350537111,1010.3368417425835,986.1105476040175,1005.6270141601562,601400.0,[],[],[]
2026-02-18,1007.6981876688793,1010.6754385964913,988.8488490972304,993.25,578900.0,[],[],[]
2026-02-19,989.366586811843,1008.8432459282865,989.366586811843,1008.1263427734376,580200.0,[],[],[]
2026-02-20,1003.7052218576594,1020.214535816251,996.7051453545981,1017.8745727539062,690100.0,[],[],[]
2026-02-23,1010.1875163213333,1017.72527033438,994.006752226148,1004.6710815429688,720600.0,[],[],[]
2026-02-24,1008.6839274847325,1021.917341895382,1002.3012652078347,1018.6612548828124,432900.0,[],[],[]
2026-02-25,1023.082326380947,1030.5503715988414,1002.8787965971759,1007.4890747070312,514900.0,[],[],[]
2026-02-26,1010.4265353562166,1015.5944251668699,995.4904446635895,1010.6455688476562,459900.0,[],[],[]
2026-02-27,995.6796269787278,1006.5929523410185,989.2073210808137,1004.8802490234376,1065800.0,[],[],[]
2026-03-02,997.2727654973694,1010.9940828955993,990.2428481259919,1007.1007080078124,713300.0,[],[],[]
2026-03-03,986.1901572663683,993.2499758154663,964.6622779407774,984.4575805664062,962100.0,[],[],[]
2026-03-04,986.6582212246259,990.9398883146789,972.6381940283759,983.5813598632812,645900.0,[],[],[]
2026-03-05,974.5997970580781,982.3366502741884,945.7731314892717,961.306640625,1003900.0,[],[],[]
2026-03-06,941.7105011814616,941.7105011814616,913.6207336691679,919.7843017578124,1250700.0,[],[],[]
2026-03-09,897.0416418354445,929.4330102531984,896.1653863734266,928.1983032226562,1349500.0,[],[],[]
2026-03-10,926.5454556385556,956.3578949597398,924.0461400830636,946.3407592773438,959800.0,[],[],[]
2026-03-11,941.7304331956589,945.783099539096,926.3860561721544,936.472900390625,531500.0,[],[],[]
2026-03-12,923.3790084989532,925.5397459183326,897.4300429056093,898.326171875,771100.0,[],[],[]
2026-03-13,902.5580447226799,910.1057660136523,884.2165429104193,886.068603515625,877800.0,[],[],[]
2026-03-16,897.9079391070218,900.4968370500192,883.2207840176638,890.8282470703125,924100.0,[],[],[]
2026-03-17,899.3517828960664,902.1398408894895,878.1923219480514,889.50390625,764300.0,[],[],[]
2026-03-18,906.5908037925774,917.5041292722759,894.8510583858707,908.5126342773438,1013200.0,[],[],[]
2026-03-19,895.0601308289001,903.1455292352473,883.5095182661863,896.1753540039062,624400.0,[],[],[]
2026-03-20,893.9349453297107,902.5779553699023,878.590568311242,890.5991821289062,904800.0,[],[],[]
2026-03-23,917.7530286068228,928.1883574534575,902.0601668671588,902.1995849609376,1031500.0,[],[],[]
2026-03-24,885.7499410429206,925.8284490443694,880.0742754864023,920.6406860351562,1130700.0,[],[],[]
2026-03-25,932.0617982530505,935.9949808061401,911.6391746393166,917.633544921875,971400.0,[],[],[]
2026-03-26,910.8724897610522,916.3291218618397,895.2593043012329,897.6192016601562,772500.0,[],[],[]
2026-03-27,896.2450836082372,901.4727151516598,881.1895096251885,884.6546630859375,613400.0,[],[],[]
2026-03-30,893.5565759809892,895.8666985484632,855.0612589681917,857.8095092773438,787400.0,[],[],[]
2026-03-31,873.4725706477142,891.8638479766792,864.6204329001263,891.4257202148438,1072600.0,[],[],[]
2026-04-01,901.6519319035149,925.0418390793626,900.1383886714115,916.846923828125,690700.0,[],[],[]
2026-04-02,897.0018919059545,919.5952209216929,887.3830154387279,904.1911010742188,358500.0,[],[],[]
2026-04-06,903.3745883707434,908.2338014232006,896.1057030277582,908.2138671875,300600.0,[],[],[]
2026-04-07,903.3147694660679,914.8554146760367,899.0032012867924,909.080078125,455800.0,[],[],[]
2026-04-08,946.7589024161306,974.0620576111188,946.7589024161306,961.9339599609376,625800.0,[],[],[]
2026-04-09,959.9226395729205,987.3652137657225,959.9226395729205,978.8018188476562,559700.0,[],[],[]
2026-04-10,982.2271376993301,985.7719672748268,974.7989004358828,980.0364990234376,511500.0,[],[],[]
2026-04-13,978.3736425600159,987.4747147050891,968.4461505215958,985.2741088867188,435500.0,[],[],[]
2026-04-14,990.7606157796637,993.1702878985005,978.8217111487074,980.80322265625,530000.0,[],[],[]
2026-04-15,978.0251503742024,981.2114676139489,950.3336420046136,959.6537475585938,529400.0,[],[],[]
2026-04-16,963.4176171293275,967.7889274088092,947.0675942177576,952.9225463867188,479500.0,[],[],[]
2026-04-17,1024.615832820952,1024.615832820952,973.41493037865,984.5870971679688,728900.0,[],[],[]
2026-04-20,975.8544630719584,993.0807416493315,973.1161798630519,992.1945190429688,399800.0,[],[],[]
2026-04-21,994.3751966233636,997.0139302233014,960.6893172376019,968.5457153320312,576300.0,[],[],[]
2026-04-22,977.3879066426547,979.4988692578726,944.7475407236756,950.363525390625,750100.0,[],[],[]
2026-04-23,958.5584246438508,980.703719040255,950.5427349585044,969.7306518554688,615400.0,[],[],[]
2026-04-24,966.9624175935975,981.0621202275481,962.8201688137708,970.3180541992188,447600.0,[],[],[]
2026-04-27,968.8942109071138,975.4561600707344,955.0634373011208,970.188720703125,453900.0,[],[],[]
2026-04-28,968.7946452104919,973.4845994260478,957.6224181051589,958.16015625,525200.0,[],[],[]
2026-04-29,961.3963499008037,966.3252720452355,940.4161136225653,943.4630737304688,722900.0,[],[],[]
2026-04-30,892.1824826507657,918.0517722420913,876.2506526034306,905.5452880859376,2029700.0,[],[],[]
2026-05-01,900.5864612226737,905.3659977410862,870.3060556389056,878.4710693359375,1608000.0,[],[],[]
2026-05-04,876.5792130797466,876.5792130797466,856.8237182189223,864.0527954101562,1167300.0,[],[],[]
2026-05-05,869.4298637515433,877.2862012688038,862.7782712126199,868.9718017578125,724000.0,[],[],[]
2026-05-06,887.7215360675137,908.0744501546807,887.7215360675137,898.8140258789062,910300.0,[],[],[]
2026-05-07,900.6064271343178,902.5879387008587,878.6602931408144,883.0714111328125,757100.0,[],[],[]
2026-05-08,890.1971206787189,890.7061053420537,873.3111463589885,877.0635986328125,753900.0,[],[],[]
2026-05-11,869.4289381091454,878.4807148979088,860.956012587339,872.6025390625,687200.0,[],[],[]
2026-05-12,874.2891363419899,885.9456523528123,864.2593489209568,879.5685424804688,827500.0,[],[],[]
2026-05-13,876.0855012337785,885.1871652033626,875.307100704624,880.596435546875,675200.0,[],[],[]
2026-05-14,887.302966974308,892.5124456013298,875.8061025388444,878.6603393554688,544700.0,[],[],[]
2026-05-15,869.8181488988675,876.9238328037259,854.0998064478508,860.9859008789062,677500.0,[],[],[]
2026-05-18,858.5508468138773,863.7303563195114,851.6846708978212,856.7045288085938,583800.0,[],[],[]
2026-05-19,858.1616584610738,858.6306845355151,837.4633550585456,850.8463745117188,660000.0,[],[],[]
2026-05-20,857.3931603059142,861.3651409971469,845.7566237565488,857.7125244140625,790400.0,[],[],[]
2026-05-21,853.0519408032027,876.9338344459818,842.3035688976701,862.9918823242188,733000.0,[],[],[]
2026-05-22,870.1874391761338,876.0157278196768,859.319313005777,865.2174682617188,702900.0,[],[],[]
2026-05-26,870.6265104021137,878.2311892359085,856.7744044988948,866.2852783203125,780200.0,[],[],[]
2026-05-27,870.2472830100361,873.7003503504709,848.7306209721127,854.9580688476562,676600.0,[],[],[]
2026-05-28,850.2875167320466,855.0978360493474,837.8226308395651,851.0958862304688,737900.0,[],[],[]
2026-05-29,846.4951436780175,855.117792034481,842.2237171719306,842.9323120117188,1021200.0,['inverted_hammer'],['inverted_hammer'],[]
2026-06-01,838.5111966952668,839.2796075624236,813.3718265631278,821.6451416015625,1638500.0,['RSI_OVERSOLD'],['RSI_OVERSOLD'],[]
2026-06-02,826.6152200877956,837.6429978542186,820.4475880337454,834.6390380859375,1104100.0,[],[],[]
2026-06-03,834.3096559029397,857.1137641020936,832.4135114378139,849.0499877929688,1264300.0,[],[],[]
2026-06-04,857.6426697352903,871.903925044953,853.0319607636228,870.476806640625,799800.0,[],[],[]
