Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-10-23,126.4000015258789,135.99000549316406,125.91000366210938,132.72874450683594,3856700,[],[],[]
2022-10-30,134.3800048828125,144.30999755859375,133.9199981689453,140.4590606689453,4887900,[],[],[]
2022-11-06,140.61000061035156,149.5,136.58999633789062,146.02049255371094,6743200,[],[],[]
2022-11-13,147.72000122070312,149.7899932861328,142.61000061035156,143.73228454589844,5455700,[],[],[]
2022-11-20,144.0500030517578,150.39999389648438,141.92999267578125,147.90087890625,4147600,[],[],[]
2022-11-27,147.8300018310547,151.77000427246094,145.27000427246094,147.7615966796875,2498900,[],[],[]
2022-12-04,148.5800018310547,154.64999389648438,142.72000122070312,152.288330078125,4555300,[],[],[]
2022-12-11,151.83999633789062,152.33999633789062,147.85000610351562,147.383544921875,3219200,[],[],[]
2022-12-18,148.66000366210938,155.0,141.7100067138672,142.5384063720703,7209200,[],[],[]
2022-12-25,143.97999572753906,145.50999450683594,140.4199981689453,143.4636688232422,4687300,[],[],[]
2023-01-01,144.5,145.42999267578125,140.42999267578125,141.8518524169922,1766500,[],[],[]
2023-01-08,142.86000061035156,143.3300018310547,134.61000061035156,138.4872589111328,3716000,[],[],[]
2023-01-15,139.49000549316406,149.1699981689453,138.00999450683594,147.82455444335938,4605900,[],[],[]
2023-01-22,148.5,150.58999633789062,142.17999267578125,145.57485961914062,4212800,[],[],[]
2023-01-29,147.44000244140625,153.57000732421875,145.64999389648438,149.31773376464844,3971500,[],[],[]
2023-02-05,149.52999877929688,154.3800048828125,148.4199981689453,151.73670959472656,3859700,[],[],[]
2023-02-12,151.83999633789062,154.6199951171875,150.35000610351562,150.65164184570312,4602900,[],[],[]
2023-02-19,151.42999267578125,158.5399932861328,150.50999450683594,154.1954345703125,3813300,[],[],[]
2023-02-26,153.9600067138672,168.75,147.3300018310547,159.9093780517578,6583500,[],[],[]
2023-03-05,162.44000244140625,164.7899932861328,157.97000122070312,162.37806701660156,4553500,[],[],[]
2023-03-12,162.44000244140625,164.88999938964844,155.99000549316406,156.63433837890625,4434200,[],[],[]
2023-03-19,155.27000427246094,161.1199951171875,151.6999969482422,154.3945770263672,5582600,[],[],[]
2023-03-26,155.7899932861328,163.3300018310547,154.86000061035156,160.04872131347656,4534800,[],[],[]
2023-04-02,162.6999969482422,167.72999572753906,160.2899932861328,165.88206481933594,3987900,[],[],[]
