Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2024-09-27,1244.0559951995936,1248.1856666144463,1236.2661544901919,1243.24951171875,184600,[],[],[]
2024-09-30,1239.208404665338,1265.653059058025,1237.2942638806205,1264.740234375,233300,[],[],[]
2024-10-01,1267.2836387896543,1279.2120221986345,1257.2251504255141,1272.5654296875,176100,[],[],[]
2024-10-02,1271.6702591115761,1286.17754970755,1264.0311136380617,1278.3878173828125,175900,[],[],[]
2024-10-03,1278.2726510006505,1278.2726510006505,1255.2931183213343,1257.614990234375,219200,[],[],[]
2024-10-04,1268.7587124124004,1270.9481313071412,1250.1670977954952,1268.25341796875,187800,[],[],[]
2024-10-07,1265.0161260046696,1280.4358309227248,1256.7542644654002,1269.2734375,144700,[],[],[]
2024-10-08,1281.0627441801846,1290.1479934097565,1276.2440579216811,1287.116455078125,94100,[],[],[]
2024-10-09,1281.1843527300562,1298.9244824053364,1281.1843527300562,1297.726806640625,138100,[],[],[]
2024-10-10,1279.8090341077618,1287.1913133476187,1275.1961660869042,1280.9036865234375,106200,[],[],[]
2024-10-11,1284.1224246973832,1323.5044413059684,1284.1224246973832,1319.6776123046875,192100,[],[],[]
2024-10-14,1324.8237223728604,1333.0201376968362,1318.2927000401457,1320.8096923828125,152700,[],[],['shooting_star']
2024-10-15,1330.5499712038054,1330.5499712038054,1300.4777549579385,1301.057861328125,156000,[],[],[]
2024-10-16,1303.397078163973,1305.605228778184,1284.964451537312,1295.0228271484375,193200,[],[],[]
2024-10-17,1305.0251140476596,1323.7290051133423,1300.9456377644062,1311.7618408203125,197300,[],[],[]
2024-10-18,1319.546520876914,1319.546520876914,1300.6274470481198,1307.2706298828125,134000,[],[],[]
2024-10-21,1309.9279237141077,1315.6073466708847,1286.5925482399357,1297.63330078125,152800,[],[],[]
2024-10-22,1290.1199062422863,1290.1199062422863,1251.2150878698137,1263.5284423828125,206100,[],[],[]
2024-10-23,1263.5284648527795,1279.2475317499923,1262.7144427653939,1270.2464599609375,143200,[],[],[]
2024-10-24,1273.5493321351273,1281.2685501525,1256.7167676806368,1258.990478515625,120500,[],[],[]
2024-10-25,1267.8417757473628,1275.6264396823626,1258.5038796446904,1267.6639404296875,133500,[],[],[]
2024-10-28,1276.0383090909759,1276.0383090909759,1251.3836158347594,1252.9273681640625,170000,[],[],[]
2024-10-29,1245.9847415282047,1255.6594627853979,1241.1754210869485,1250.20458984375,162800,[],[],[]
2024-10-30,1243.4490261922745,1258.0454571730372,1242.560192223353,1244.0853271484375,219000,[],[],[]
2024-10-31,1239.753171081588,1244.6560348623452,1216.3896991110119,1218.513671875,268400,[],[],[]
2024-11-01,1223.6692422998503,1232.6609482562212,1216.3616608824022,1220.5721435546875,218000,[],[],[]
2024-11-04,1224.7171296160147,1236.8713799584834,1222.6960660359407,1230.761474609375,179600,[],[],[]
2024-11-05,1237.3018414056653,1252.8525533694867,1233.2036335630944,1251.5426025390625,166500,[],[],[]
2024-11-06,1308.056568545713,1309.9278941087255,1278.7141974236754,1293.6473388671875,396900,[],[],[]
2024-11-07,1260.33784879347,1272.4079223045337,1222.0037695498856,1243.86083984375,509700,[],[],[]
2024-11-08,1242.4386130128999,1281.9610023081289,1242.4386130128999,1264.061767578125,245500,[],[],[]
2024-11-11,1273.4745016983402,1295.5935834376967,1272.7727546160636,1286.311767578125,214600,[],[],[]
2024-11-12,1289.4274662102414,1291.8040861796676,1257.5588518672325,1268.216064453125,266000,[],[],[]
2024-11-13,1274.3072407054315,1288.8379966516488,1267.0183912115288,1275.308349609375,227500,[],[],[]
2024-11-14,1267.935391125339,1267.935391125339,1177.0357256734774,1189.8917236328125,667500,[],[],[]
2024-11-15,1184.0158858178156,1197.1525145121984,1160.409016264292,1173.470947265625,481100,[],[],[]
2024-11-18,1179.8333871577224,1184.7456171051133,1163.019553206936,1171.77734375,268300,[],[],[]
2024-11-19,1170.4112165586062,1176.4742930360671,1166.0322645378583,1170.1585693359375,319300,[],[],[]
2024-11-20,1181.8637643515144,1214.4622245219643,1169.821788610628,1209.9149169921875,377200,[],[],[]
2024-11-21,1221.2270336394054,1226.663289299196,1157.8452450801792,1160.343505859375,567300,[],[],[]
2024-11-22,1159.28621630734,1185.2789564626921,1150.91207988266,1179.2344970703125,486600,[],[],[]
2024-11-25,1186.4204218646598,1186.4204218646598,1167.931715932339,1179.85205078125,436900,[],[],[]
2024-11-26,1179.823965032935,1191.9315010889911,1167.3516209945851,1181.377197265625,344900,[],[],[]
2024-11-27,1180.8064266089507,1185.016909112707,1164.843964781831,1168.9515380859375,286400,[],[],[]
2024-11-29,1181.5550605390677,1181.5550605390677,1160.8488376629232,1172.357421875,171100,[],[],[]
