Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2016-10-01,27.79319894967104,28.38161271368947,26.035579737465582,27.4263916015625,64861700.0,[],[],[]
2016-11-01,28.26699844929071,29.627226335435093,26.49409386966114,27.808488845825195,74212700.0,[],[],[]
2016-12-01,27.8084883787464,29.96351254100142,26.33951478968886,27.002628326416016,62816800.0,[],[],[]
2017-01-01,26.863830946189736,28.97654904430513,26.470599422726597,28.79920196533203,70058300.0,[],[],[]
2017-02-01,29.192450807671946,30.04061204536248,28.151510181044237,29.36979103088379,73608700.0,[],[],[]
2017-03-01,29.52400342639771,32.44327147744612,28.93798547654262,32.1554069519043,75785400.0,[],[],[]
2017-04-01,32.147633631258344,32.186533853105786,30.202592796775615,30.646055221557617,58156700.0,[],[],[]
2017-05-01,30.73942217808619,36.39560301033787,29.930287495613218,35.95214080810547,94554200.0,[],[],[]
2017-06-01,36.045495205171036,37.43011776914987,35.59424348189432,37.10097503662109,56397300.0,[],[],[]
2017-07-01,37.100971647904466,38.284375619681434,36.23888853523612,36.94423294067383,50575700.0,[],[],[]
2017-08-01,36.912872413389096,38.088441587839625,31.46607088120037,32.68082809448242,97949400.0,[],[],[]
2017-09-01,32.696501138826385,33.31252745081581,30.902580402850518,31.827049255371094,67855500.0,[],[],[]
2017-10-01,31.645315127864976,32.40385973420464,30.57863219019277,32.35645294189453,66488100.0,[],[],[]
2017-11-01,32.39595460172704,33.92884780976617,31.289746861885096,32.94114303588867,73368100.0,[],[],[]
2017-12-01,32.972758336572014,36.0700705559352,32.419656102088226,35.233642578125,49525700.0,[],[],[]
2018-01-01,35.345171686654986,38.87410655106029,35.23364410337174,37.47208786010742,47051200.0,[],[],[]
2018-02-01,37.2410817437001,41.13644148061394,35.823116302490234,40.554935455322266,71766600.0,[],[],[]
2018-03-01,40.49119846917715,42.96034885285308,39.39189876739683,42.19047546386719,49218600.0,[],[],[]
2018-04-01,42.1022661213754,44.508107523359435,40.650739273787714,43.1207389831543,51570300.0,[],[],[]
2018-05-01,37.58730206318972,38.97467174198398,34.916803571942516,35.061161041259766,100271600.0,[],[],[]
2018-06-01,35.341853348383935,39.127473119247945,35.17343235097171,37.73785400390625,67589600.0,[],[],[]
2018-07-01,37.180398937839215,39.39408376315905,35.68573303768222,38.0691032409668,41316300.0,[],[],[]
2018-08-01,37.68129370302991,43.91034252411052,36.13817839308707,40.95336532592773,88439000.0,[],[],[]
2018-09-01,40.70292075490816,41.59571293060611,39.871371629556855,40.88809967041016,48027700.0,[],[],[]
2018-10-01,41.189028985924566,41.71772353047648,31.949154148169306,34.413673400878906,87689200.0,[],[],[]
2018-11-01,34.41367337443333,35.552373571492836,29.866931374249315,31.66448211669922,81243100.0,[],[],[]
2018-12-01,32.38837172894055,33.39695122704419,26.28467315932908,27.696155548095703,76770500.0,[],[],[]
2019-01-01,27.261221562971073,31.897772063544114,26.85911307916445,31.76647186279297,73626500.0,[],[],[]
2019-02-01,31.758256917450435,32.52143511724917,26.186202586293746,28.67269897460937,98721600.0,[],[],[]
2019-03-01,29.197905321107303,29.296379668254396,25.434074565293827,26.92580986022949,83291400.0,[],[],[]
2019-04-01,27.09985177454105,28.782193063206616,24.90367750152708,26.74347877502441,89784200.0,[],[],[]
2019-05-01,26.818075220025737,29.884412694760165,23.146743646730176,23.66884994506836,137859600.0,[],[],[]
2019-06-01,23.65228224289363,26.652571516103478,23.55283257127893,26.593902587890625,84712900.0,[],[],[]
2019-07-01,27.06325258720457,27.188970327375312,24.08789057802735,25.92339324951172,74221200.0,[],[],[]
2019-08-01,25.881486801752217,25.9401573196271,15.538951806037701,17.307405471801758,146620200.0,[],[],[]
2019-09-01,17.123019558723538,22.65054195729687,16.955392690176488,22.18220329284668,137992100.0,[],[],[]
2019-10-01,22.275871935554154,22.684603684248437,20.555789920401285,22.02041244506836,97553000.0,[],[],[]
2019-11-01,22.250322727143526,23.842675661142227,21.543556072223645,22.89747810363769,83789900.0,[],[],[]
2019-12-01,22.905997067501765,23.62741979835239,20.97303750509036,23.273611068725582,87677100.0,[],[],[]
2020-01-01,23.437572528179064,25.189349662939144,22.065487628576363,22.23807716369629,72511400.0,[],[],[]
2020-02-01,22.376155232527775,26.233510602419777,19.079702065283154,20.236047744750977,92843100.0,[],[],[]
2020-03-01,20.287823125355995,21.383763572468606,9.197317643322727,11.332565307617188,148215500.0,['RSI_OVERSOLD'],['RSI_OVERSOLD'],[]
2020-04-01,10.501217808537339,15.183009282702145,8.90853437525134,13.021510124206545,117117700.0,[],[],[]
2020-05-01,12.610212494326003,13.634082834326435,10.072419967158767,11.901382446289062,131984300.0,[],[],[]
2020-06-01,12.023894757617471,15.883094664020698,10.763748544621189,11.621349334716797,135771700.0,[],[],[]
2020-07-01,11.612599717458963,12.592711315325705,10.641234540708329,11.69135856628418,117881400.0,[],[],[]
2020-08-01,11.708858856550412,14.106637689460355,11.350067354047036,12.890246391296388,121171800.0,[],[],[]
2020-09-01,12.723977798441874,16.276887115192924,12.373936202657124,13.677836418151855,141680400.0,[],[],[]
2020-10-01,13.74784695941418,20.87117444664752,13.32779805076122,19.45350646972656,138540800.0,[],[],[]
2020-11-01,19.751042681380024,26.5593338035179,19.663532188279934,24.78287696838379,105071200.0,[],[],[]
2020-12-01,25.237930915876422,27.69696366290001,24.205308153292467,27.198156356811523,87826800.0,[],[],[]
2021-01-01,28.038254411497157,31.022346209381208,26.463073082268885,27.67070770263672,86901200.0,[],[],[]
2021-02-01,28.178268427415507,37.559360360063096,27.259410868557666,36.87677764892578,99794500.0,[],[],[]
2021-03-01,37.751885249983545,40.62221678933905,33.98893729168389,36.062931060791016,94424500.0,[],[],[]
2021-04-01,36.43047362991791,42.52993196761342,35.406603216311595,41.87361145019531,64345000.0,[],[],[]
2021-05-01,42.43367783884674,43.46629823052277,36.87678457097912,39.28330993652344,74837500.0,[],[],[]
2021-06-01,39.72961118941586,39.834622439343015,35.774152167690836,38.04941940307617,72938200.0,[],[],[]
2021-07-01,38.276948215423936,39.05578816151619,32.65003474507368,37.01679611206055,65728500.0,[],[],[]
2021-08-01,37.34933305463821,39.40581665050887,34.19897102499531,35.28409957885742,81858100.0,[],[],[]
2021-09-01,35.88792677985944,36.5416129038908,32.17423226675879,32.59688186645508,64529900.0,[],[],[]
2021-10-01,32.72895702654758,35.30888572071649,32.33272534759633,34.32269287109375,54248200.0,[],[],[]
2021-11-01,34.243451628069636,41.428502671401716,34.07615389381355,35.326499938964844,87892600.0,[],[],[]
2021-12-01,36.25105185636946,39.303819236835466,34.225788890666884,35.98049545288086,73973000.0,[],[],[]
2022-01-01,36.34384803920669,37.540252218522035,31.345576869197213,33.632022857666016,60004900.0,[],[],[]
2022-02-01,33.94218891087709,37.32755414356322,33.27753757495803,36.246360778808594,71160200.0,[],[],[]
2022-03-01,36.00708755003827,36.937618463800895,28.272949145653886,33.1233024597168,116266100.0,[],[],[]
2022-04-01,33.34621499620906,33.40862742342948,28.540426129985914,29.351795196533203,72089300.0,[],[],[]
2022-05-01,29.432036129208587,31.179603528934937,23.529580428146758,30.76054573059082,112539200.0,[],[],[]
2022-06-01,31.233094121158118,31.705995071543438,26.8557933912412,27.412670135498047,81458100.0,[],[],[]
2022-07-01,27.367759275917653,31.014396857284584,26.99052063978674,30.206029891967773,61822400.0,[],[],[]
2022-08-01,30.107234971058087,33.86166124117062,29.04737528163628,31.194034576416016,76799200.0,[],[],[]
2022-09-01,30.825776716134992,33.506489628695974,24.944121327730016,25.759584426879883,84210500.0,[],[],[]
2022-10-01,26.19450002101175,29.68286769469446,25.650857333776568,28.70431327819824,69724600.0,[],[],[]
2022-11-01,29.365746458853145,34.376316563913946,26.48444249087491,34.222286224365234,81264800.0,[],[],[]
2022-12-01,34.35819598369411,35.51796349164008,32.421105682836014,34.787139892578125,69914200.0,[],[],[]
2023-01-01,35.97473355595809,41.68428375992469,35.015529854518974,41.62947082519531,66696800.0,[],[],[]
