Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-06-09,429.510009765625,430.489990234375,426.7000122070313,425.7697143554688,793200,[],[],[]
2025-06-10,429.4800109863281,429.4800109863281,416.8200073242188,419.7081909179688,1066100,[],[],[]
2025-06-11,423.760009765625,428.7799987792969,417.9599914550781,420.9822082519531,1001100,[],[],[]
2025-06-12,424.6000061035156,425.9700012207031,422.0400085449219,422.3258972167969,1500700,[],[],[]
2025-06-13,419.6600036621094,424.9200134277344,418.489990234375,419.4195861816406,1230000,[],[],[]
2025-06-16,424.6099853515625,432.0799865722656,423.4500122070313,424.6151428222656,1393800,[],[],[]
2025-06-17,422.5,425.8500061035156,421.3399963378906,419.9769287109375,1074500,[],[],[]
2025-06-18,422.2200012207031,425.6499938964844,419.4100036621094,417.8966979980469,1708500,[],[],[]
2025-06-20,422.0,426.6400146484375,417.7200012207031,417.7374877929688,2199400,[],[],[]
2025-06-23,420.75,427.2699890136719,418.0,424.9237365722656,786400,[],[],[]
2025-06-24,428.1099853515625,430.0,426.25,427.0138854980469,760200,[],[],[]
2025-06-25,431.2300109863281,432.6400146484375,426.4500122070313,425.5308227539063,742300,[],[],[]
2025-06-26,428.4200134277344,431.8399963378906,426.5199890136719,427.18310546875,1135700,[],[],[]
2025-06-27,432.25,437.4100036621094,428.9599914550781,430.2685852050781,3822700,[],[],[]
2025-06-30,432.5299987792969,438.1499938964844,431.489990234375,435.3646545410156,1254800,[],[],[]
2025-07-01,434.2099914550781,436.7799987792969,428.4100036621094,432.1398010253906,1167900,[],[],[]
2025-07-02,432.3800048828125,435.2799987792969,428.8299865722656,430.6866149902344,917400,[],[],[]
2025-07-03,431.25,437.7000122070313,428.8800048828125,435.3447570800781,1182300,[],[],[]
2025-07-07,437.4700012207031,438.9500122070313,430.2300109863281,432.5677795410156,1342900,[],[],[]
2025-07-08,432.9599914550781,435.0,424.05999755859375,424.8938598632813,1128600,[],[],[]
2025-07-09,431.5,434.0499877929688,427.5899963378906,431.5823974609375,841600,[],[],[]
2025-07-10,433.9500122070313,437.7099914550781,425.6199951171875,432.49810791015625,1051200,[],[],[]
2025-07-11,430.0,438.8999938964844,430.0,435.4542236328125,944500,[],[],[]
2025-07-14,436.5700073242188,440.8599853515625,434.2099914550781,437.1363220214844,1172000,[],[],[]
2025-07-15,438.4599914550781,441.1900024414063,434.9299926757813,434.3195495605469,820500,[],[],[]
