Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-08-12,77.87999725341797,78.94000244140625,77.62999725341797,78.48567199707031,1263900,[],[],[]
2025-08-13,78.70999908447266,81.6500015258789,78.58999633789062,81.2937240600586,1873400,[],[],[]
2025-08-14,80.86000061035156,80.86000061035156,80.08999633789062,80.26443481445312,973300,[],[],[]
2025-08-15,80.58000183105469,80.58000183105469,78.86000061035156,78.8354263305664,1352900,[],[],[]
2025-08-18,79.0,79.88999938964844,78.8499984741211,79.01529693603516,1571000,[],[],[]
2025-08-19,79.0,80.4800033569336,78.80000305175781,79.6248779296875,1137600,[],[],[]
2025-08-20,79.52999877929688,80.04000091552734,79.23999786376953,79.23514556884766,1433700,[],[],[]
2025-08-21,79.12000274658203,79.77999877929688,78.87999725341797,79.42501831054688,1013700,[],[],[]
2025-08-22,80.0999984741211,82.2699966430664,79.87000274658203,81.47359466552734,876700,[],[],[]
2025-08-25,81.44000244140625,81.62999725341797,80.75,80.70413208007812,674600,[],[],[]
2025-08-26,80.95999908447266,81.6500015258789,80.75,81.32369995117188,1187200,[],[],[]
2025-08-27,81.37000274658203,82.12000274658203,81.1500015258789,81.8333511352539,679100,[],[],[]
2025-08-28,82.11000061035156,82.20999908447266,79.79000091552734,80.40434265136719,935100,[],[],[]
2025-08-29,80.41000366210938,80.91999816894531,79.83999633789062,80.10454559326172,1289700,[],[],[]
2025-09-02,79.27999877929688,79.93000030517578,78.4800033569336,79.47498321533203,1906700,[],[],[]
2025-09-03,79.41999816894531,79.70999908447266,78.98999786376953,79.64485931396484,1539600,[],[],[]
2025-09-04,79.94000244140625,81.33000183105469,79.44000244140625,81.27373504638672,794600,[],[],[]
2025-09-05,81.30000305175781,82.18000030517578,80.81999969482422,81.39364624023438,1646800,[],[],[]
2025-09-08,81.4800033569336,82.86000061035156,80.25,82.68275451660156,1816000,[],[],[]
2025-09-09,82.44000244140625,82.44000244140625,80.22000122070312,80.47429656982422,1068900,[],[],[]
2025-09-10,80.4000015258789,81.55000305175781,80.16000366210938,80.96395111083984,950200,[],[],[]
