Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2025-08-12,202.22000122070312,207.3500061035156,201.6699981689453,204.77735900878903,1394400,[],[],['shooting_star']
2025-08-13,207.6999969482422,210.58999633789065,206.30999755859372,207.9731292724609,2179700,[],[],[]
2025-08-14,205.05999755859372,206.83999633789065,202.92999267578125,203.2635803222656,1340400,[],[],[]
2025-08-15,206.47999572753903,206.47999572753903,202.75999450683597,201.0769805908203,1036500,[],[],[]
2025-08-18,202.4199981689453,203.05999755859372,199.83999633789065,199.51370239257807,1179900,[],[],[]
2025-08-19,202.6000061035156,206.00999450683597,201.4900054931641,200.54269409179688,1410300,[],[],[]
2025-08-20,200.5,202.07000732421875,197.92999267578125,197.158935546875,1212300,[],[],[]
2025-08-21,197.1000061035156,198.0200042724609,194.30999755859372,195.12075805664065,1093100,[],[],[]
2025-08-22,198.25,204.5200042724609,197.6100006103516,201.26495361328125,1771000,[],[],[]
2025-08-25,196.1000061035156,200.6699981689453,193.8999938964844,195.86280822753903,1647000,[],[],[]
2025-08-26,198.7400054931641,200.4199981689453,193.8800048828125,195.8331298828125,2974300,[],[],[]
2025-08-27,204.00999450683597,205.0,191.33999633789065,190.13414001464844,2773400,[],[],[]
2025-08-28,193.5,194.50999450683597,186.3300018310547,186.06768798828125,1694700,[],[],[]
2025-08-29,187.44000244140625,188.72000122070312,186.00999450683597,186.19630432128903,1613100,[],[],[]
2025-09-02,187.4499969482422,191.9600067138672,186.0,189.9263610839844,1288600,[],[],[]
2025-09-03,190.6999969482422,194.13999938964844,190.67999267578125,190.0945587158203,920700,[],[],[]
2025-09-04,192.3999938964844,203.25999450683597,192.3999938964844,200.76036071777344,1333600,[],[],[]
2025-09-05,204.3500061035156,206.3999938964844,199.9499969482422,200.2755584716797,1122300,[],[],[]
2025-09-08,202.47999572753903,204.3600006103516,201.7899932861328,201.10665893554688,1193800,[],[],[]
2025-09-09,202.17999267578125,203.05999755859372,200.02999877929688,200.4932098388672,687200,[],[],[]
2025-09-10,202.0800018310547,203.9199981689453,201.0,200.5229034423828,796200,[],[],[]
2025-09-11,203.5399932861328,205.1699981689453,202.9600067138672,201.3639068603516,850700,[],[],[]
2025-09-12,200.8999938964844,203.22999572753903,195.77999877929688,194.86349487304688,741300,[],[],[]
2025-09-15,197.08999633789065,201.38999938964844,196.1000061035156,198.9398651123047,893800,[],[],[]
2025-09-16,201.0,201.3800048828125,193.6199951171875,193.98294067382807,958600,[],[],[]
2025-09-17,197.3999938964844,203.1000061035156,195.9499969482422,194.527099609375,918600,[],[],[]
2025-09-18,196.91000366210935,200.0399932861328,195.9499969482422,197.50521850585935,978500,[],[],[]
2025-09-19,200.0,200.25,195.13999938964844,196.1497344970703,2629100,[],[],[]
2025-09-22,197.5800018310547,197.8500061035156,195.0800018310547,194.5765838623047,888400,[],[],[]
2025-09-23,198.6000061035156,201.9900054931641,197.3000030517578,198.25717163085935,1557100,[],[],[]
2025-09-24,198.1300048828125,201.27999877929688,198.00999450683597,198.26705932617188,1117100,[],[],[]
2025-09-25,197.94000244140625,202.30999755859372,196.2400054931641,198.97943115234372,1216500,[],[],[]
2025-09-26,197.07000732421875,202.4499969482422,196.0,199.2168884277344,880800,[],[],[]
2025-09-29,196.97000122070312,197.50999450683597,191.3800048828125,189.94615173339844,1542800,[],[],[]
2025-09-30,192.0,197.2400054931641,192.0,193.37939453125,1118800,[],[],[]
2025-10-01,196.2400054931641,197.3500061035156,192.82000732421875,193.23097229003903,849700,[],[],[]
2025-10-02,195.3999938964844,196.1699981689453,192.97000122070312,194.06207275390625,823700,[],[],[]
2025-10-03,196.5,203.7100067138672,196.47000122070312,197.31723022460935,987800,[],[],[]
2025-10-06,199.0,199.1000061035156,195.50999450683597,194.0719757080078,969500,[],[],[]
2025-10-07,195.8699951171875,196.08999633789065,188.83999633789065,187.0570831298828,1512600,[],[],[]
2025-10-08,189.8800048828125,191.47000122070312,188.32000732421875,189.0853729248047,982400,[],[],[]
2025-10-09,190.9499969482422,191.19000244140625,187.44000244140625,187.28463745117188,1271300,[],[],[]
2025-10-10,190.8699951171875,192.2700042724609,181.1300048828125,179.5277099609375,1936600,[],[],[]
2025-10-13,184.8800048828125,190.55999755859372,184.02999877929688,187.9871368408203,882400,[],[],[]
2025-10-14,187.6699981689453,192.72999572753903,185.1100006103516,189.4712371826172,968600,[],[],[]
2025-10-15,192.6199951171875,193.7899932861328,190.00999450683597,188.04649353027344,597000,[],[],[]
2025-10-16,191.58999633789065,191.58999633789065,185.75999450683597,185.5136260986328,901500,[],[],[]
2025-10-17,186.67999267578125,188.6499938964844,184.72000122070312,184.04412841796875,752900,[],[],[]
2025-10-20,186.17999267578125,190.8300018310547,186.17999267578125,188.48239135742188,911500,[],[],[]
2025-10-21,188.7400054931641,191.4499969482422,187.3000030517578,189.5547332763672,848000,[],[],[]
2025-10-22,191.16000366210935,191.32000732421875,186.8999938964844,186.65545654296875,809200,[],[],[]
2025-10-23,187.3600006103516,188.6100006103516,185.1300048828125,186.69517517089844,684600,[],[],[]
2025-10-24,190.2100067138672,191.91000366210935,189.0,187.7476348876953,560200,[],[],[]
2025-10-27,191.3699951171875,194.92999267578125,191.1999969482422,191.4908905029297,720800,[],[],[]
2025-10-28,197.08999633789065,203.77999877929688,194.7400054931641,198.2128143310547,1126600,[],[],[]
2025-10-29,197.88999938964844,203.6300048828125,194.41000366210935,194.1022186279297,1302500,[],[],[]
2025-10-30,194.3000030517578,201.2100067138672,191.4600067138672,196.87240600585935,1340300,[],[],[]
2025-10-31,197.3800048828125,199.0399932861328,193.72000122070312,192.9603729248047,1022100,[],[],[]
2025-11-03,193.5500030517578,193.83999633789065,189.25999450683597,191.2525787353516,930700,[],[],[]
