Date,Open,High,Low,Close,Volume,signal,bull_patterns,bear_patterns
2022-10-02,0.0047140000388026,0.0051759998314082,0.0027129999361932,0.0028790000360459,6895193,[],[],[]
2022-10-09,0.0028790000360459,0.0029539999086409,0.0020359999034553,0.0027920000720769,5499191,[],[],[]
2022-10-16,0.0027920000720769,0.0028460000175982,0.0019069999689236,0.0023260000161826,4836119,[],[],[]
2022-10-23,0.0023260000161826,0.0023260000161826,0.0013229999458417,0.0017290000105276,4125795,[],[],[]
2022-10-30,0.0017290000105276,0.0020910000894218,0.001604999997653,0.0018589999526739,3718155,[],[],[]
2022-11-06,0.0018589999526739,0.0045850002206861,0.0018459999701008,0.0042039998807013,9487352,[],[],[]
2022-11-13,0.0042039998807013,0.0049009998328983,0.0031359998974949,0.0048210001550614,13133918,[],[],[]
2022-11-20,0.0048170001246035,0.0087139997631311,0.0046629998832941,0.0077940002083778,19059185,[],[],[]
2022-11-27,0.0078070000745356,0.0097549995407462,0.00626299995929,0.0094229998067021,22641141,[],[],[]
2022-12-04,0.0094250002875924,0.0096909999847412,0.006541000213474,0.0072409999556839,21572010,['engulfing'],[],[]
2022-12-11,0.0072470000013709,0.0083240000531077,0.0069240001030266,0.0069650001823902,15298462,[],[],[]
2022-12-18,0.006963999941945,0.007135999854654,0.0049740001559257,0.0056650000624358,13993248,[],[],[]
2022-12-25,0.0056699998676776,0.00583800021559,0.0049330000765621,0.0053019998595118,11241890,[],[],[]
2023-01-01,0.005301000084728,0.005386000033468,0.0042539997957646,0.0051899999380111,11154385,[],[],[]
2023-01-08,0.0051899999380111,0.0053110001608729,0.004329000134021,0.0047940001823008,9714709,[],[],[]
2023-01-15,0.0047940001823008,0.0064429999329149,0.0045810001902282,0.0060760001651942,12767481,['engulfing'],[],[]
2023-01-22,0.0060729999095201,0.0068620000965893,0.0057919998653233,0.0059630000032484,13563889,[],[],[]
2023-01-29,0.0059639997780323,0.0064779999665915,0.0056679998524487,0.005911000072956,12947158,[],[],[]
2023-02-05,0.005911000072956,0.0069729997776448,0.0051830001175403,0.0065449997782707,14334518,['engulfing'],[],[]
2023-02-12,0.0065489998087286,0.0075650000944733,0.0062580001540482,0.0065950001589953,17434821,[],[],[]
2023-02-19,0.0065930001437664,0.0079340003430843,0.0062580001540482,0.0077669997699558,16351181,[],[],[]
2023-02-26,0.007765999995172,0.0091450000181794,0.0068129999563097,0.0090600000694394,19740741,[],[],[]
2023-03-05,0.0090600000694394,0.0148010002449154,0.0083999997004866,0.0124490000307559,48893957,[],[],[]
2023-03-12,0.0124509995803236,0.0143999997526407,0.0093200001865625,0.0120329996570944,45986905,[],[],[]
2023-03-19,0.0120329996570944,0.01698499917984,0.0120230000466108,0.0164930000901222,46766398,['engulfing'],[],[]
2023-03-26,0.0164930000901222,0.0186129994690418,0.0155300004407763,0.0182859990745782,63065284,[],[],[]
2023-04-02,0.0182859990745782,0.0423850007355213,0.0182509999722242,0.0387700013816356,249392736,[],[],[]
2023-04-09,0.0387669987976551,0.0407099984586238,0.0283449999988079,0.0339680016040802,184763398,[],[],[]
2023-04-16,0.0339910015463829,0.0366629995405674,0.0274059996008873,0.0274059996008873,145637064,[],[],[]
2023-04-23,0.02730100043118,0.0298519991338253,0.0221079997718334,0.0240010004490613,108624843,[],[],[]
2023-04-30,0.0240030009299516,0.0327030010521411,0.0239020008593797,0.0283010005950927,102687760,[],[],[]
2023-05-07,0.0282990001142025,0.0296839997172355,0.0232880003750324,0.0249940007925033,101270666,[],[],[]
2023-05-14,0.0249910000711679,0.0250710006803274,0.0188389997929334,0.0221919994801282,86295314,[],[],[]
2023-05-21,0.0221900008618831,0.0227749999612569,0.01566700078547,0.0165909994393587,77155311,[],[],[]
2023-05-28,0.0165899991989135,0.0196189992129802,0.0120400004088878,0.0178149994462728,98238321,['hammer'],[],[]
2023-06-04,0.0178260002285242,0.0184860005974769,0.0144990002736449,0.0160659998655319,64238074,['engulfing'],[],[]
2023-06-11,0.0160700008273124,0.0164330005645751,0.0136010004207491,0.0153510002419352,58496435,['hammer'],[],[]
